输入query,输入query对应的instruction,输入appname,输入大类,模型原输出,标注输出,是否标注,是否为训练集,,,,,,,,,,,,
去快手极速版里哪里可以找到去赚钱签到领金币的功能？,在快手极速版中打开去赚钱签到领金币,快手极速版,签到,<Plan>#签到#在$快手极速版$中找到去赚钱签到领金币的功能</Plan><Finish>,,√,1,,,,,,,,,,,,
拼多多怎么签到啊？,在拼多多中进行签到,拼多多,签到,<Plan>#签到#在$拼多多$中签到</Plan><Finish>,,√,1,,,,,,,,,,,,
帮我打开拼夕夕的签到页面。,在拼多多中进行签到,拼多多,签到,<Plan>#签到#在$拼多多$中打开签到页面</Plan><Finish>,,√,0,,,,,,,,,,,,
在PDD里每天签到有什么奖励？,在拼多多中进行签到,拼多多,签到,<Plan>#签到#在$拼多多$中查看每天签到奖励</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，我忘记在拼多多打卡签到了，现在还能补签吗？,在拼多多中进行签到,拼多多,签到,<Plan>#签到#在$拼多多$中查看签到</Plan><Finish>,,√,1,,,,,,,,,,,,
拼多多签到在哪里签？教教我步骤呗！,在拼多多中进行签到,拼多多,签到,<Plan>#签到#在$拼多多$中打开签到</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝里怎么签到领淘金币啊？,在淘宝中签到领淘金币,淘宝,签到,<Plan>#签到#在$淘宝$中查看签到活动</Plan><Finish>,<Plan>#签到#在$淘宝$中查看签到活动领取淘金币</Plan><Finish>,√,0,,,,,,,,,,,,
YOYO，帮我查一下淘宝网每天签到领金币的入口在哪里。,在淘宝中签到领淘金币,淘宝,签到,<Plan>#签到#在$淘宝$中查看每天签到领金币的入口</Plan><Finish>,,√,0,,,,,,,,,,,,
在淘宝商城连续签到能拿到多少淘金币？,在淘宝中签到领淘金币,淘宝,签到,<Plan>#签到#在$淘宝$中连续签到能拿到多少淘金币</Plan><Finish>,<Plan>#签到#在$淘宝$中连续签到拿淘金币</Plan><Finish>,√,1,,,,,,,,,,,,
我想在淘宝上每天签到领金币，应该怎么操作？,在淘宝中签到领淘金币,淘宝,签到,<Plan>#签到#在$淘宝$中每天签到领金币</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝APP签到领金币的活动现在还能参加吗？,在淘宝中签到领淘金币,淘宝,签到,<Plan>#签到#在$淘宝$中查看签到领金币的活动</Plan><Finish>,,√,1,,,,,,,,,,,,
我在淘宝网每天签到能领多少红包啊？,在淘宝中进行红包签到,淘宝,签到,<Plan>#签到#在$淘宝$中每天签到能领多少红包</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我找到淘宝商城的红包签到入口。,在淘宝中进行红包签到,淘宝,签到,<Plan>#签到#在$淘宝$中打开红包签到入口</Plan><Finish>,,√,0,,,,,,,,,,,,
今天淘宝的签到红包在哪里领？,在淘宝中进行红包签到,淘宝,签到,<Plan>#签到#在$淘宝$中查看签到红包</Plan><Finish>,,√,0,,,,,,,,,,,,
有没有办法在淘宝上连续签到领大红包？,在淘宝中进行红包签到,淘宝,签到,<Plan>#签到#在$淘宝$中连续签到领大红包</Plan><Finish>,,√,1,,,,,,,,,,,,
淘宝签到领红包的活动在哪里能看到？,在淘宝中进行红包签到,淘宝,签到,<Plan>#签到#在$淘宝$中查看签到领红包活动</Plan><Finish>,,√,1,,,,,,,,,,,,
我在京东商城怎么找不到签到领京豆的地方？,在京东中签到领取京豆,京东,签到,<Plan>#签到#在$京东$中查看签到领京豆的地方</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，帮我打开京东的签到领京豆活动页面。,在京东中签到领取京豆,京东,签到,<Plan>#签到#在$京东$中打开签到领京豆活动页面</Plan><Finish>,,√,0,,,,,,,,,,,,
京东APP里每天签到领京豆是在哪个入口啊？,在京东中签到领取京豆,京东,签到,<Plan>#签到#在$京东$中打开每天签到领京豆入口</Plan><Finish>,,√,1,,,,,,,,,,,,
快点告诉我京东里面怎么签到领取京豆！,在京东中签到领取京豆,京东,签到,<Plan>#签到#在$京东$中打开签到页面</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，我想在JD上签到领京豆，该怎么做？,在京东中签到领取京豆,京东,签到,<Plan>#签到#在$京东$中打开签到页面</Plan><Finish>,,√,0,,,,,,,,,,,,
天猫现在有现金红包可以领吗？,在天猫中领取现金,天猫,签到,<Plan>#搜索#在$天猫$中查看现金红包</Plan><Finish>,<Plan>#签到#在$天猫$中查看现金红包</Plan><Finish>,√,1,,,,,,,,,,,,
去天猫帮我看看哪里能领现金优惠。,在天猫中领取现金,天猫,签到,<Plan>#搜索#在$天猫$中搜索现金优惠领取</Plan><Finish>,<Plan>#签到#在$天猫$中搜索现金优惠领取</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，今天天猫有什么现金领取的活动吗？,在天猫中领取现金,天猫,签到,<Plan>#搜索#在$天猫$中查看现金领取活动</Plan><Finish>,<Plan>#签到#在$天猫$中查看现金领取活动</Plan><Finish>,√,1,,,,,,,,,,,,
我想在天猫商城领现金，有没有推荐的入口？,在天猫中领取现金,天猫,签到,<Plan>#搜索#在$天猫$中查看领现金入口</Plan><Finish>,<Plan>#签到#在$天猫$中查看领现金入口</Plan><Finish>,√,0,,,,,,,,,,,,
快告诉我天猫里面哪里能直接领现金！,在天猫中领取现金,天猫,签到,<Plan>#搜索#在$天猫$中搜索领现金</Plan><Finish>,<Plan>#签到#在$天猫$中搜索领现金</Plan><Finish>,√,0,,,,,,,,,,,,
天猫现在有福气红包可以领吗？,在天猫中领取福气红包,天猫,签到,<Plan>#搜索#在$天猫$中查看福气红包</Plan><Finish>,<Plan>#签到#在$天猫$中查看福气红包</Plan><Finish>,√,0,,,,,,,,,,,,
去天猫商城帮我领取一个福气红包。,在天猫中领取福气红包,天猫,签到,<Plan>#搜索#在$天猫$中领取福气红包</Plan><Finish>,<Plan>#签到#在$天猫$中领取福气红包</Plan><Finish>,√,0,,,,,,,,,,,,
YOYO，你知道在天猫哪里能领到福气红包吗？,在天猫中领取福气红包,天猫,签到,<Plan>#搜索#在$天猫$中搜索福气红包领取方式</Plan><Finish>,<Plan>#签到#在$天猫$中搜索福气红包领取方式</Plan><Finish>,√,0,,,,,,,,,,,,
快点打开天猫App让我领个福气红包！,在天猫中领取福气红包,天猫,签到,<Plan>#签到#在$天猫$中打开签到</Plan><Finish>,<Plan>#签到#在$天猫$中领取福气红包</Plan><Finish>,√,1,,,,,,,,,,,,
我在天猫怎么领福气红包啊？,在天猫中领取福气红包,天猫,签到,<Plan>#使用#在$天猫$中使用福气红包</Plan><Finish>,<Plan>#签到#在$天猫$中领取福气红包</Plan><Finish>,√,1,,,,,,,,,,,,
闲鱼怎么签到领闲鱼币啊？,在闲鱼中签到领闲鱼币,闲鱼,签到,<Plan>#签到#在$闲鱼$中签到领取闲鱼币</Plan><Finish>,,√,1,,,,,,,,,,,,
帮我去闲鱼市场看看今天有没有签到送币的活动。,在闲鱼中签到领闲鱼币,闲鱼,签到,<Plan>#搜索#在$闲鱼$中查看今天是否有签到送币活动</Plan><Finish>,<Plan>#签到#在$闲鱼$中查看今天是否有签到送币活动</Plan><Finish>,√,0,,,,,,,,,,,,
快点告诉我怎么在闲鱼二手上每天签到领鱼币！,在闲鱼中签到领闲鱼币,闲鱼,签到,<Plan>#签到#在$闲鱼$中每天签到领鱼币</Plan><Finish>,,√,1,,,,,,,,,,,,
YOYO，我在闲鱼签到领鱼币的入口在哪？,在闲鱼中签到领闲鱼币,闲鱼,签到,<Plan>#签到#在$闲鱼$中打开签到</Plan><Finish>,,√,0,,,,,,,,,,,,
教我在咸鱼上操作每日签到领取闲鱼币的方法。,在闲鱼中签到领闲鱼币,闲鱼,签到,<Plan>#签到#在$闲鱼$中打开签到，领取闲鱼币</Plan><Finish>,,√,0,,,,,,,,,,,,
火山小视频里怎么签到领火苗啊？,在抖音火山版中签到领火苗,抖音火山版,签到,<Plan>#签到#在$火山小视频$中签到领取火苗</Plan><Finish>,<Plan>#签到#在$抖音火山版$中签到领取火苗</Plan><Finish>,√,0,,,,,,,,,,,,
帮我看看抖音火山版今天有没有签到奖励。,在抖音火山版中签到领火苗,抖音火山版,签到,<Plan>#签到#在$抖音火山版$中查看签到奖励</Plan><Finish>,,√,0,,,,,,,,,,,,
在火山app里怎么找到签到领火苗的入口？,在抖音火山版中签到领火苗,抖音火山版,签到,<Plan>#签到#在$得物$中查看签到领火苗的入口</Plan><Finish>,<Plan>#签到#在$抖音火山版$中查看签到领火苗的入口</Plan><Finish>,√,1,,,,,,,,,,,,
抖音火山版每天签到能领多少火苗？,在抖音火山版中签到领火苗,抖音火山版,签到,<Plan>#签到#在$抖音火山版$中查看每天签到能领多少火苗</Plan><Finish>,<Plan>#签到#在$抖音火山版$中查看签到领火苗</Plan><Finish>,√,1,,,,,,,,,,,,
我想在火山版抖音里连续签到领取奖励，怎么操作？,在抖音火山版中签到领火苗,抖音火山版,签到,<Plan>#签到#在$抖音火山版$中连续签到领取奖励</Plan><Finish>,,√,0,,,,,,,,,,,,
我在1688里怎么签到领元宝呀？,在阿里巴巴中签到领元宝,阿里巴巴,签到,<Plan>#签到#在$阿里巴巴$中签到领元宝</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，帮我查一下阿里巴巴哪里能签到领元宝。,在阿里巴巴中签到领元宝,阿里巴巴,签到,<Plan>#签到#在$阿里巴巴$中查看签到领元宝的地方</Plan><Finish>,,√,1,,,,,,,,,,,,
快点告诉我阿里巴巴APP里签到领元宝的入口在哪里！,在阿里巴巴中签到领元宝,阿里巴巴,签到,<Plan>#签到#在$阿里巴巴$中查看签到领元宝的入口</Plan><Finish>,,√,0,,,,,,,,,,,,
今天我在阿里巴巴忘记签到领元宝了怎么办？,在阿里巴巴中签到领元宝,阿里巴巴,签到,<Plan>#签到#在$阿里巴巴$中签到</Plan><Finish>,,√,0,,,,,,,,,,,,
阿里巴巴的签到领元宝活动是不是每天都可以参加啊？,在阿里巴巴中签到领元宝,阿里巴巴,签到,<Plan>#签到#查看阿里巴巴的签到领元宝活动</Plan><Finish>,,√,0,,,,,,,,,,,,
唯品会今天签到领红包了吗？,在唯品会中进行签到,唯品会,签到,<Plan>#签到#在$唯品会$中查看签到奖励</Plan><Finish>,<Plan>#签到#在$唯品会$中打开签到领红包</Plan><Finish>,√,1,,,,,,,,,,,,
帮我去唯品会完成今天的每日签到任务。,在唯品会中进行签到,唯品会,签到,<Plan>#签到#在$唯品会$中完成今天的每日签到任务</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，我在唯品会的签到入口在哪里啊？,在唯品会中进行签到,唯品会,签到,<Plan>#签到#在$唯品会$中打开签到入口</Plan><Finish>,,√,1,,,,,,,,,,,,
唯品会签到积分怎么兑换优惠券？,在唯品会中进行签到,唯品会,签到,<Plan>#签到#在$唯品会$中查看签到积分兑换优惠券的方式</Plan><Finish>,,√,0,,,,,,,,,,,,
快提醒我每天在唯品会签到！,在唯品会中进行签到,唯品会,签到,<Plan>#签到#在$唯品会$中打开签到</Plan><Finish>,,√,0,,,,,,,,,,,,
我在毒app里怎么找不到每日签到的入口？,在得物中购买页面进行每日签到,得物,签到,<Plan>#签到#在$得物$中查找每日签到入口</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我查一下得物潮流里面怎么进行每日签到。,在得物中购买页面进行每日签到,得物,签到,<Plan>#签到#在$得物$中进行每日签到</Plan><Finish>,,√,0,,,,,,,,,,,,
得物每天签到有什么奖励吗？,在得物中购买页面进行每日签到,得物,签到,<Plan>#签到#在$得物$中查看每天签到奖励</Plan><Finish>,,√,0,,,,,,,,,,,,
毒平台的每日签到功能在哪里能找到啊？,在得物中购买页面进行每日签到,得物,签到,<Plan>#签到#在$得物$中打开签到功能</Plan><Finish>,,√,1,,,,,,,,,,,,
教我在dw里操作一下每日签到吧！,在得物中购买页面进行每日签到,得物,签到,<Plan>#签到#在$dw$中打开签到功能</Plan><Finish>,<Plan>#签到#在$得物$中打开签到功能</Plan><Finish>,√,1,,,,,,,,,,,,
我想在抖音视频关注里找一找有没有三只松鼠的店铺。,在抖音中搜索商城关注店铺中的<搜索内容>,抖音,收藏,<Plan>#搜索#在$抖音$中搜索三只松鼠店铺<br>#收藏#在$抖音$中查看关注</Plan><Finish>,<Plan>#收藏#在$抖音$中查看关注的三只松鼠店铺</Plan><Finish>,√,0,,,,,,,,,,,,
YOYO，帮我搜索一下抖音商城里的关注店铺，关键词是良品铺子。,在抖音中搜索商城关注店铺中的<搜索内容>,抖音,收藏,<Plan>#搜索#在$抖音$中搜索关注店铺，关键词是良品铺子</Plan><Finish>,<Plan>#收藏#在$抖音$中搜索关注店铺，关键词是良品铺子</Plan><Finish>,√,0,,,,,,,,,,,,
你知道抖音短视频里面我的关注里有没有卖小米手机的官方店铺吗？,在抖音中搜索商城关注店铺中的<搜索内容>,抖音,收藏,<Plan>#搜索#在$抖音$中查看我的关注里的官方店铺是否销售小米手机</Plan><Finish>,<Plan>#收藏#在$抖音$中查看我的关注里的官方店铺是否销售小米手机</Plan><Finish>,√,0,,,,,,,,,,,,
在dy的商城关注列表里查一下“海尔官方旗舰店”还在不在。,在抖音中搜索商城关注店铺中的<搜索内容>,抖音,收藏,<Plan>#搜索#在$抖音$中打开海尔官方旗舰店的关注列表</Plan><Finish>,<Plan>#收藏#在$抖音$中搜索关注列表中的海尔官方旗舰店</Plan><Finish>,√,1,,,,,,,,,,,,
抖音中能不能找到收藏的优衣库的店铺啊？,在抖音中搜索商城关注店铺中的<搜索内容>,抖音,收藏,<Plan>#收藏#在$抖音$中打开收藏夹，查找优衣库店铺</Plan><Finish>,<Plan>#收藏#在$抖音$中搜索收藏夹中的优衣库店铺</Plan><Finish>,√,1,,,,,,,,,,,,
我想在抖音里看看之前收藏过的那些商品，能帮我查一下吗？,在抖音中查看收藏的商品,抖音,收藏,<Plan>#收藏#在$抖音$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，快帮我打开抖音短视频里的收藏夹，我想找一个之前存的包包。,在抖音中查看收藏的商品,抖音,收藏,<Plan>#收藏#在$抖音$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
我在dy上收藏的东西在哪里看？,在抖音中查看收藏的商品,抖音,收藏,<Plan>#搜索#在$得物$中打开收藏夹<br>#搜索#在$得物$中查找口红</Plan><Finish>,<Plan>#收藏#在$抖音$中打开收藏夹</Plan><Finish>,√,1,,,,,,,,,,,,
抖音里面有没有办法查看我之前收藏的所有商品？,在抖音中查看收藏的商品,抖音,收藏,<Plan>#收藏#在$抖音$中打开收藏夹</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo助手，我在抖音收藏过几个杯子，能帮我找出来吗？,在抖音中查看收藏的商品,抖音,收藏,<Plan>#搜索#在$抖音$中打开收藏<br>#搜索#在$抖音$中查找杯子</Plan><Finish>,<Plan>#收藏#在$抖音$中打开收藏夹查找杯子</Plan><Finish>,√,0,,,,,,,,,,,,
在抖音极速版里帮我找一下有没有收藏三只松鼠这个店铺。,在抖音极速版中搜索商城关注店铺中的<搜索内容>,抖音极速版,收藏,<Plan>#搜索#在$抖音极速版$中查看收藏三只松鼠店铺</Plan><Finish>,<Plan>#收藏#在$抖音极速版$中查看收藏的三只松鼠店铺</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，快帮我查查抖音极速版关注的店铺里有没有良品铺子！,在抖音极速版中搜索商城关注店铺中的<搜索内容>,抖音极速版,收藏,<Plan>#搜索#在$抖音极速版$中查看关注的店铺<br>查找$良品铺子$</Plan><Finish>,<Plan>#搜索#在$抖音极速版$中查看关注的良品铺子店铺</Plan><Finish>,√,0,,,,,,,,,,,,
抖音极速版我的关注店铺里面能搜到小米官方店铺吗？,在抖音极速版中搜索商城关注店铺中的<搜索内容>,抖音极速版,收藏,<Plan>#搜索#在$抖音极速版$中搜索小米官方店铺</Plan><Finish>,<Plan>#收藏#在$抖音极速版$中搜索关注店铺中的小米官方店铺</Plan><Finish>,√,1,,,,,,,,,,,,
我想在极速版抖音里我的关注里找家卖运动鞋的店铺，能帮我看看吗？,在抖音极速版中搜索商城关注店铺中的<搜索内容>,抖音极速版,收藏,<Plan>#搜索#在$抖音极速版$中查找喜爱的卖运动鞋的店铺</Plan><Finish>,<Plan>#收藏#在$抖音极速版$中搜索我的关注中卖运动鞋的店铺</Plan><Finish>,√,1,,,,,,,,,,,,
哎呀，我的抖音极速版里怎么找不到之前关注的那个美妆店铺了？,在抖音极速版中搜索商城关注店铺中的<搜索内容>,抖音极速版,收藏,<Plan>#搜索#在$抖音极速版$中查找关注的美妆店铺</Plan><Finish>,<Plan>#收藏#在$抖音极速版$中查找关注的美妆店铺</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，快帮我打开抖音极速版里的收藏夹看看。,在抖音极速版中查看收藏的商品,抖音极速版,收藏,<Plan>#收藏#在$抖音极速版$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在抖音极速版里查看我之前收藏的商品，能帮我吗？,在抖音极速版中查看收藏的商品,抖音极速版,收藏,<Plan>#收藏#在$抖音极速版$中查看我之前收藏的商品</Plan><Finish>,,√,1,,,,,,,,,,,,
请帮我查一下抖音极速版中有没有收藏这个。,在抖音极速版中查看收藏的商品,抖音极速版,收藏,<Plan>#收藏#在$抖音极速版$中打开收藏夹</Plan><Finish>,,√,1,,,,,,,,,,,,
我在极速版抖音里收藏了一个书包，怎么找回来啊？,在抖音极速版中查看收藏的商品,抖音极速版,收藏,<Plan>#收藏#在$抖音极速版$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我看看我收藏的宝贝都在哪个店铺里吧（抖音极速版）。,在抖音极速版中查看收藏的商品,抖音极速版,收藏,<Plan>#收藏#在$抖音极速版$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，快帮我看看我在快手收藏的商品有哪些。,在快手中查看我的商品收藏,快手,收藏,<Plan>#收藏#在$快手$中查看收藏的商品</Plan><Finish>,,√,0,,,,,,,,,,,,
在快手视频里怎么找不到我之前收藏的那件东西？,在快手中查看我的商品收藏,快手,收藏,<Plan>#搜索#在$快手$中查看收藏的视频<br>#清理#在$快手$中清理收藏</Plan><Finish>,<Plan>#收藏#在$快手$中查看收藏</Plan><Finish>,√,1,,,,,,,,,,,,
快手app里的商品收藏夹怎么打开啊？,在快手中查看我的商品收藏,快手,收藏,<Plan>#收藏#在$快手$中打开商品收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，我想在快手里查看我之前收藏的好物，能教我怎么操作吗？,在快手中查看我的商品收藏,快手,收藏,<Plan>#收藏#在$快手$中查看之前收藏的好物</Plan><Finish>,,√,0,,,,,,,,,,,,
哎，快手短视频里面我的收藏商品怎么不见了？,在快手中查看我的商品收藏,快手,收藏,<Plan>#收藏#在$快手$中查看收藏商品</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，快帮我打开快手极速版里的收藏夹，看看我收藏了哪些商品。,在快手极速版中查看我收藏的商品,快手极速版,收藏,<Plan>#收藏#在$快手极速版$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
在极速版快手里面，怎么找不到我之前收藏的那个东西了？,在快手极速版中查看我收藏的商品,快手极速版,收藏,<Plan>#搜索#在$快手极速版$中查看收藏<br>#清理#在$快手极速版$中清理收藏</Plan><Finish>,<Plan>#收藏#在$快手极速版$中查看收藏</Plan><Finish>,√,1,,,,,,,,,,,,
能不能教我在快手极速版里找到我收藏的商品列表？,在快手极速版中查看我收藏的商品,快手极速版,收藏,<Plan>#收藏#在$快手极速版$中打开收藏夹</Plan><Finish>,,√,1,,,,,,,,,,,,
哎，YoYo，我之前在快手极速里面收藏的东西还能找回来吗？,在快手极速版中查看我收藏的商品,快手极速版,收藏,<Plan>#收藏#在$快手极速版$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
快手极速版中我的收藏商品在哪里查看？告诉我具体的操作步骤呗。,在快手极速版中查看我收藏的商品,快手极速版,收藏,<Plan>#搜索#在$快手极速版$中查看我的收藏商品</Plan><Finish>,<Plan>#收藏#在$快手极速版$中查看我的收藏商品</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，在PDD里帮我找一下关注的露营帐篷。,在拼多多中搜索商品收藏中的<搜索内容>,拼多多,收藏,<Plan>#搜索#在$拼多多$中查找关注的露营帐篷</Plan><Finish>,<Plan>#收藏#在$拼多多$中查找关注的露营帐篷</Plan><Finish>,√,0,,,,,,,,,,,,
我想在拼夕夕里面找找有没有收藏的收纳鞋架。,在拼多多中搜索商品收藏中的<搜索内容>,拼多多,收藏,<Plan>#收藏#在$拼多多$中查看收纳鞋架</Plan><Finish>,<Plan>#收藏#在$拼多多$中搜索收藏中的收纳鞋架</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，快帮我查查拼多多收藏夹里的护腰。,在拼多多中搜索商品收藏中的<搜索内容>,拼多多,收藏,<Plan>#搜索#在$拼多多$中查看护腰在收藏夹里的上新</Plan><Finish>,<Plan>#收藏#在$拼多多$中搜索收藏夹中的护腰</Plan><Finish>,√,1,,,,,,,,,,,,
我在拼多多收藏的商品里有几个是折叠椅，你能帮我找出来吗？,在拼多多中搜索商品收藏中的<搜索内容>,拼多多,收藏,<Plan>#收藏#在$拼多多$中查看折叠椅</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看收藏的折叠椅</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，我在拼多多里收藏的保温杯怎么找不到了？,在拼多多中搜索商品收藏中的<搜索内容>,拼多多,收藏,<Plan>#搜索#在$拼多多$中查看收藏<br>#搜索#在$拼多多$中查找保温杯</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看收藏的保温杯</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，快帮我打开拼夕夕里的收藏夹看看还有哪些没买的东西！,在拼多多中查看商品收藏,拼多多,收藏,<Plan>#收藏#在$拼多多$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
