大类,app,指令,query,是否重复（1/0）,修改后query,plan（在xx中做什么）,问题,标注人,assistant,,,,,,,
购物-搜索,抖音,在抖音的商城中查看<搜索内容>送达<地址>的时间,帮我查一下在抖音极速版里买的iPhone手机壳，地址是杭州市西湖区文三路159号华星时代广场B座503，什么时候能送到。,,帮我查一下在抖音商城里买的iPhone手机壳，地址是杭州市西湖区文三路159号华星时代广场B座503，什么时候能送到。,在抖音中的商城查看iPhone手机壳送达杭州市西湖区文三路159号华星时代广场B座503的时间,√,于玺,好的，已经在抖音商城为您查询了杭州市西湖区文三路159号华星时代广场B座503的iPhone手机壳订单物流信息，目前显示预计在3个工作日内送达。如有其他问题，随时告诉我哦~,,,,,,,
购物-购物车,抖音,在抖音的商城中将<搜索内容>加入购物车,在抖音短视频里把搜索到的蓝牙耳机加入购物车。,,在抖音短视频的商城里把搜索到的蓝牙耳机加入购物车。,在抖音短视频中的商城把蓝牙耳机加入购物车,√,于玺,好的，已帮您将搜索到的蓝牙耳机加入抖音商城的购物车啦，随时可以去结算哦。还有其他需要帮忙的吗？,,,,,,,
购物-购物车,抖音,在抖音的商城中将<搜索内容>加入购物车,帮我把抖音商城中搜索到的保温杯加入购物车。,1,,在抖音中的商城把保温杯加入购物车,√,于玺,已为您将抖音商城中搜索到的保温杯加入购物车啦，随时可以去查看呢~还有其他想要帮忙的，尽管告诉我哦！,,,,,,,
购物-购物车,抖音,在抖音的商城中将<规格>的<搜索内容>加入购物车,帮我把抖音商城里那款粉色手机壳加入购物车。,1,,在抖音中的商城把粉色手机壳加入购物车,√,于玺,好的，已经帮您把抖音商城里的那款粉色手机壳加入购物车啦，快去结算看看还有没有优惠券可以使用哦~,,,,,,,
购物-购物车,抖音,在抖音的商城中将<规格>的<搜索内容>加入购物车,在抖音短视频里把搜索到的男士加绒卫衣加入购物车L码。,,在抖音短视频里把搜索到的L码的男士加绒卫衣加入购物车。,在抖音短视频中的商城把L码的男士加绒卫衣加入购物车,√,于玺,好的，已经帮您把L码的男士加绒卫衣加入购物车啦，随时可以去结算哦～还有其他想买的，可以继续告诉我呢。,,,,,,,
购物-购物车,抖音,在抖音的商城中将<数量>的<搜索内容>加入购物车,在抖音商城里帮我把3件男士卫衣加入购物车。,,,在抖音中的商城把3件男士卫衣加入购物车,√,于玺,好的，已为您将3件男士卫衣加入抖音商城的购物车，随时可以去结算哦～还有其他想逛的也可以告诉我呢！,,,,,,,
购物-购物车,抖音,在抖音的商城中将<数量>的<搜索内容>加入购物车,YoYo，快帮我把抖音商城里的那款无线蓝牙耳机加2个到购物车。,,,在抖音中的商城把2个无线蓝牙耳机加入购物车,√,于玺,好的呀，已经帮您把抖音商城里的那款无线蓝牙耳机加了2个到购物车啦，随时可以去结算哦！还有其他需要帮忙的，尽管跟YoYo说~,,,,,,,
购物-购物车,抖音,在抖音的商城中将送至<地址>的<搜索内容>加入购物车,在抖音商城里帮我把一双李宁运动鞋加入购物车，送至北京市朝阳区建国路88号SOHO现代城3号楼2005室。,,,在抖音中的商城把一双送至北京市朝阳区建国路88号SOHO现代城3号楼2005室的李宁运动鞋加入购物车,√,于玺,好的，已为您将李宁运动鞋成功加入抖音商城购物车，并填写好北京市朝阳区建国路88号SOHO现代城3号楼2005室的收货地址，有其他需要也可以随时告诉我哦～,,,,,,,
购物-购物车,抖音,在抖音的商城中将送至<地址>的<搜索内容>加入购物车,YOYO，我想在抖音商城里搜索一款小米充电宝，并加入购物车，送到上海市浦东新区张江镇科苑路88号一号楼1503。,,,在抖音中的商城把送到上海市浦东新区张江镇科苑路88号一号楼1503的小米充电宝加入购物车,√,于玺,好的呀，亲爱的~已经帮您在抖音商城里找到合适的小米充电宝，并加入购物车啦！地址也已经填写清楚是上海市浦东新区张江镇科苑路88号一号楼1503，坐等发货就可以啦～还有其他想买的，可以随时告诉YoYo哦，爱您~,,,,,,,
购物-购物车,抖音,在抖音的商城中将送至<地址>的<数量><规格>的<搜索内容>加入购物车,在抖音商城里把2件L码的男士卫衣加到购物车，送到朝阳区建国路88号华贸中心小区。,,,在抖音中的商城把2件L码的送到朝阳区建国路88号华贸中心小区的男士卫衣加入购物车,√,于玺,好的，已经帮您将两件L码的男士卫衣加入抖音商城购物车，并选择配送到朝阳区建国路88号华贸中心小区。有其他需要也可以随时告诉我哦~,,,,,,,
购物-购物车,抖音,在抖音的商城中将送至<地址>的<数量><规格>的<搜索内容>加入购物车,YOYO，快帮我把小米13手机6GB+128GB规格的加入购物车，数量1台，地址写清河街道安宁庄东路18号院5号楼。,,YOYO，快帮我把小米13手机6GB+128GB规格的加入抖音商城购物车，数量1台，地址写清河街道安宁庄东路18号院5号楼。,在抖音中的商城把送到清河街道安宁庄东路18号院5号楼的小米13手机6GB+128GB加入购物车,√,于玺,好的呢，已经帮您把小米13手机6GB+128GB规格的加入抖音商城购物车啦，数量是1台，地址也填写清楚啦~ 有其他需要也可以随时找YoYo哦！,,,,,,,
购物-下单,抖音,在抖音的商城中下单<搜索内容>,在抖音商城里帮我下单一双运动鞋。,1,,在抖音中的商城下单运动鞋,√,于玺,好的呀，已经在抖音商城为您下了一双运动鞋的订单，预计不久就会发货啦！有需要随时找我哦~,,,,,,,
购物-下单,抖音,在抖音的商城中下单<搜索内容>,我想在抖音极速版下单一件连衣裙。,1,我想在抖音的商城下单一件连衣裙。,在抖音中的商城下单连衣裙,√,于玺,好的，已为您在抖音商城下单了一件连衣裙，订单信息会通过抖音消息推送给您，有需要可以随时找我哦~,,,,,,,
购物-下单,抖音,在抖音的商城中下单<规格>的<搜索内容>,在抖音商城里帮我下单L号的白色T恤。,1,,在抖音中的商城下单L号的白色T恤,√,于玺,好的，已经为您在抖音商城下单了L号的白色T恤，订单信息已同步到您的账号中，有需要可以随时找YoYo哦。,,,,,,,
购物-下单,抖音,在抖音的商城中下单<规格>的<搜索内容>,我想在抖音极速版里下单42码的运动鞋。,1,YOYO，快帮我在抖音的商城里下单一双42码的运动鞋。,在抖音中的商城下单42码的运动鞋。,√,于玺,好的呀，已经帮您在抖音商城下单了一双42码的运动鞋，订单信息稍后会同步到您的账号中，还有其他需要帮忙的吗？,,,,,,,
购物-下单,抖音,在抖音的商城中下单<数量>的<搜索内容>,在抖音商城里帮我下单2件夏季短袖。,1,,在抖音中的商城下单2件夏季短袖,√,于玺,好的，已在抖音商城为您下单2件夏季短袖，预计近期就能送达，还有其他需要帮忙的吗？,,,,,,,
购物-下单,抖音,在抖音的商城中下单<数量>的<搜索内容>,我想在抖音极速版里买3双男士袜子。,1,我想在抖音的商城里买3双男士袜子。,在抖音中的商城购买3双男士袜子,√,于玺,好的，已为您在抖音商城找到了男士袜子专区，挑选了3双舒适透气的款式加入购物车，随时可以下单哦。需要进一步帮助可以随时叫我YoYo~,,,,,,,
购物-下单,抖音,在抖音的商城中下单<搜索内容>送至<地址>,帮我打开抖音商城，下单一双运动鞋送到北京市朝阳区建国路88号SOHO现代城3号楼2005室。,,,在抖音中的商城下单一双运动鞋送至北京市朝阳区建国路88号SOHO现代城3号楼2005室,√,于玺,好的，已经为您在抖音商城下单了一双运动鞋，并填写了北京市朝阳区建国路88号SOHO现代城3号楼2005室为收货地址。订单信息已同步至您的抖音账号，快递信息更新后会第一时间通知您哦～有其他需要随时找我！,,,,,,,
购物-下单,抖音,在抖音的商城中下单<搜索内容>送至<地址>,抖音极速版里搜索蓝牙耳机，下单送到上海市浦东新区张江路123号华虹大厦B座5楼。,,抖音商城里搜索蓝牙耳机，下单送到上海市浦东新区张江路123号华虹大厦B座5楼。,在抖音中的商城下单蓝牙耳机送至上海市浦东新区张江路123号华虹大厦B座5楼,√,于玺,好的，已为您在抖音商城中搜索蓝牙耳机，并完成下单操作，包裹将准时送往上海市浦东新区张江路123号华虹大厦B座5楼。有需要还可以再叫YoYo哦，祝您生活愉快！,,,,,,,
购物-下单,抖音,在抖音的商城中用<支付方式>下单<搜索内容>,在抖音商城里用微信支付下单连衣裙。,,,在抖音中的商城用微信支付下单连衣裙,√,于玺,好的呀，已经帮您在抖音商城用微信支付成功下单连衣裙啦，期待您收到美美的裙子哦～还有需要YoYo帮忙的吗？,,,,,,,
购物-下单,抖音,在抖音的商城中用<支付方式>下单<搜索内容>,帮我用支付宝在抖音极速版里下单一双运动鞋。,,帮我用支付宝在抖音商城里下单一双运动鞋。,在抖音中的商城用支付宝下单一双运动鞋,√,于玺,好的，已经帮您用支付宝在抖音商城下单了一双运动鞋，订单已确认提交成功。快递信息后续会同步到支付宝中，有需要可以随时找我哦~,,,,,,,
购物-下单,抖音,在抖音的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,在抖音商城里下单2件L码的纯棉T恤用微信支付送到朝阳区建国路88号。,,,在抖音中的商城下单2件L码的纯棉T恤用微信支付送至朝阳区建国路88号,√,于玺,好的呀，已经在抖音商城为您下单了2件L码的纯棉T恤，并用微信完成了支付，包裹会送到朝阳区建国路88号呢～有需要随时找我哦，祝您生活愉快！,,,,,,,
购物-下单,抖音,在抖音的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,YoYo，我要在抖音极速版下单1双42码的运动鞋用支付宝支付送到海淀区中关村大街5号楼。,,YoYo，我要在抖音商城下单1双42码的运动鞋用支付宝支付送到海淀区中关村大街5号楼。,在抖音中的商城下单1双42码的运动鞋用支付宝送至海淀区中关村大街5号楼,√,于玺,好的呀，已经帮您在抖音商城下单了1双42码的运动鞋，并选择支付宝支付，收货地址是海淀区中关村大街5号楼。订单已确认，快递马上为您安排发货啦！还有其他需要帮忙的吗？,,,,,,,
购物-收藏,抖音,在抖音的商城中收藏<搜索内容>,帮我把抖音商城里那个无线蓝牙耳机给收藏了。,,,在抖音中的商城收藏无线蓝牙耳机,√,于玺,好的，已经帮您把抖音商城里的无线蓝牙耳机收藏好啦，随时可以去看看有没有优惠活动呢～还有其他想收藏的商品吗？YoYo随时待命哦！,,,,,,,
购物-收藏,抖音,在抖音的商城中收藏<搜索内容>,在抖音短视频里搜索运动手环，然后帮我收藏一下。,,,在抖音短视频中的商城收藏运动手环,√,于玺,好的，已为您在抖音短视频里搜索并收藏了运动手环，有需要随时告诉我哦~,,,,,,,
购物-搜索,抖音,在抖音的商城直播中搜索<搜索内容>,在抖音短视频的商城直播里帮我找一下运动鞋。,,,在抖音短视频中的商城直播中查找运动鞋,√,于玺,好的，已经在抖音商城直播中为您找到了几款热销的运动鞋，有需要可以随时告诉我帮您进一步筛选哦~,,,,,,,
购物-搜索,抖音,在抖音的商城直播中搜索<搜索内容>,帮我搜索一下dy商城直播里面有没有婴儿奶粉。,,,在dy中的商城直播中搜索婴儿奶粉,√,于玺,好的，已经帮您搜索了dy商城的直播内容，目前有几场直播正在介绍婴儿奶粉，部分品牌还有优惠活动哦。需要我帮您具体了解某个品牌吗？,,,,,,,
购物-打开,抖音,在抖音中打开商城中的<店铺名>店铺,在抖音短视频里帮我打开商城中的优衣库店铺。,,,在抖音短视频中打开商城中的优衣库店铺,√,于玺,好的呀，已经为您打开了抖音商城中的优衣库店铺，您可以尽情浏览喜欢的商品啦，有需要随时找我哦~,,,,,,,
购物-打开,抖音,在抖音中打开商城中的<店铺名>店铺,YOYO，快去极速版抖音的商城里找一下三只松鼠这个店铺。,,YOYO，快去抖音的商城里找一下三只松鼠这个店铺。,在抖音中搜索商城中的三只松鼠店铺,√,于玺,好的呢，已经帮您找到抖音商城中的三只松鼠店铺啦，有需要进一步帮您查看的商品可以随时告诉我哦~,,,,,,,
购物-打开,抖音,在抖音中商城中的<店铺名>店铺内搜索<搜索内容>,在抖音商城里的良品铺子店铺帮我找一下每日坚果。,,,在抖音中商城中的良品铺子内查找每日坚果,√,于玺,好的，已经在抖音商城的良品铺子店铺为您找到了每日坚果，有需要帮您加入购物车或查看优惠活动吗？,,,,,,,
购物-打开,抖音,在抖音中商城中的<店铺名>店铺内搜索<搜索内容>,YoYo，去抖音商城的海尔官方旗舰店里面搜索一下电风扇。,,,在抖音中商城中的海尔官方旗舰店内搜索电风扇,√,于玺,好的，已经在抖音商城的海尔官方旗舰店为您搜索了电风扇，有需要可以再叫YoYo哦。,,,,,,,
购物-打开,抖音,在抖音中打开商城中的<店铺名>店铺的<类别>类别,在抖音短视频里帮我打开商城中的潮流前线店铺的女装类别。,,,在抖音短视频中打开商城中的潮流前线店铺的女装类别,√,于玺,好的，已为您打开抖音商城中的潮流前线店铺女装类别，快去看看有没有喜欢的款式吧~有需要可以随时找我YoYo哦！,,,,,,,
购物-打开,抖音,在抖音中打开商城中的<店铺名>店铺的<类别>类别,YOYO，快去抖音极速里面找一找“数码优选”店铺，点开他们的手机配件类别。,,YOYO，快去抖音商城里面找一找“数码优选”店铺，点开他们的手机配件类别。,在抖音中查找商城中的数码优选店铺的手机配件类别,√,于玺,好的呢，已经帮您找到抖音商城中的“数码优选”店铺，并打开了他们的手机配件分类，有需要可以随时告诉YOYO哦～,,,,,,,
购物-收藏,抖音,在抖音中关注商城中的<店铺名>店铺,在抖音商城里关注一下怎么肥四这家店铺。,,,在抖音中的商城关注怎么肥四店铺,√,于玺,好的呢，已经帮您关注了怎么肥四这家店铺，有新上架或者优惠活动会第一时间通知您哦，需要其他帮助随时找我就好~,,,,,,,
购物-收藏,抖音,在抖音中关注商城中的<店铺名>店铺,抖音极速版中怎么找到并关注怎么肥四建材店？,,抖音商城中怎么找到并关注怎么肥四建材店？,在抖音中的商城查找并关注怎么肥四建材店,√,于玺,好的呀，已经在抖音商城帮您找到并关注了怎么肥四建材店啦，有需要可以随时叫YoYo哦。,,,,,,,
购物-搜索,抖音,在抖音中搜索商城特价中的<搜索内容>,帮我打开抖音极速版，在商城特价里搜一下运动鞋。,,帮我打开抖音，在商城特价里搜一下运动鞋。,在抖音中的商城特价搜索运动鞋,√,于玺,好的，已经为您打开抖音并搜索了商城特价里的运动鞋，有需要可以随时告诉我哦。,,,,,,,
购物-搜索,抖音,在抖音中搜索商城特价中的<搜索内容>,抖音商城特价里能搜到防晒衣吗？,,,在抖音中的商城特价搜索防晒衣,√,于玺,好的，已经在抖音商城的特价专区帮您搜索了防晒衣，找到了不少优惠款式呢，需要我帮您看看具体有哪些推荐吗？,,,,,,,
购物-搜索,抖音,在抖音中搜索商城小时达中的<搜索内容>,帮我打开抖音极速版，在商城小时达里搜一下纸巾。,,帮我打开抖音，在商城小时达里搜一下纸巾。,在抖音中的商城小时达搜索纸巾,√,于玺,好的，已经帮您打开抖音并进入商城小时达，搜索了“纸巾”相关商品。有需要进一步帮您挑选或下单吗？,,,,,,,
购物-搜索,抖音,在抖音中搜索商城小时达中的<搜索内容>,我想在抖音视频里找找看商城小时达有没有卖充电宝。,,,在抖音视频中的商城小时达搜索充电宝,√,于玺,好的，已经帮您在抖音视频中查找了商城小时达的充电宝信息，目前发现有几款充电宝正在热卖中，支持快速配送哦。需要我帮您打开具体链接看看吗？,,,,,,,
购物-搜索,抖音,在抖音中搜索商城中的<搜索内容>筛选<筛选条件>,在抖音短视频里搜索商城中的连衣裙筛选价格500元以下。,,,在抖音短视频中搜索商城中的连衣裙筛选价格500元以下,√,于玺,好的，已经在抖音商城中为您筛选出500元以下的连衣裙，快去看看有没有喜欢的款式吧！有需要进一步帮助可以随时告诉我哦～,,,,,,,
购物-搜索,抖音,在抖音中搜索商城中的<搜索内容>筛选<筛选条件>,帮我找找抖音极速版里的商城，搜索蓝牙耳机筛选发货地为北京。,,帮我看看抖音里的商城，搜索蓝牙耳机筛选发货地为北京。,在抖音中的商城搜索蓝牙耳机筛选发货地为北京,√,于玺,好的，已经为您在抖音商城中筛选出发货地为北京的蓝牙耳机，目前共有32款符合条件的商品，其中销量最高的是一款仅需99元的无线蓝牙运动耳机。需要帮您进一步了解某一款的具体信息吗？,,,,,,,
购物-搜索,抖音,在抖音中打开商城的国家补贴并搜索<搜索内容>,帮我打开抖音商城里的国家补贴专区，然后搜一下电饭煲。,,,在抖音中打开商城的国家补贴专区并搜索电饭煲,√,于玺,好的呢，已经为您打开了抖音商城的国家补贴专区，并搜索了电饭煲，快去看看有没有心仪的款式吧～还有其他需要帮忙的吗？,,,,,,,
购物-搜索,抖音,在抖音中打开商城的国家补贴并搜索<搜索内容>,YoYo，在抖音极速版里能打开商城的国家补贴吗？帮我找找有没有卖儿童玩具的。,,YoYo，在抖音里能打开商城的国家补贴吗？帮我找找有没有卖儿童玩具的。,在抖音中打开商城的国家补贴并查找儿童玩具,√,于玺,您好，已经在抖音商城中为您查找儿童玩具类目，目前发现有多种有趣的玩具正在热卖中，还有部分商品支持国家补贴哦！需要我帮您挑选几款推荐吗？,,,,,,,
购物-物流,抖音,在抖音中查看商城<搜索内容>订单的物流单号,我在抖音短视频里怎么查商城连衣裙订单的物流单号？,,,在抖音短视频中查看商城连衣裙订单的物流单号,√,于玺,好的呢，已经帮您查到了抖音商城连衣裙订单的物流单号，您可以在订单详情页查看最新的物流信息哦。需要我帮您进一步追踪物流进度吗？,,,,,,,
购物-物流,抖音,在抖音中查看商城<搜索内容>订单的物流单号,帮我打开dy商城，查看我最近买的一双运动鞋的物流单号。,,,在dy中查看商城运动鞋订单的物流单号,√,于玺,好的，已经为您打开抖音商城的订单页面，并找到了您最近购买的运动鞋订单，物流单号已为您记录好啦，需要我帮您查询最新的物流信息吗？,,,,,,,
购物-物流,抖音,在抖音中拨打商城<搜索内容>订单的快递电话,在抖音短视频里帮我拨打商城手机壳订单的快递电话。,,,在抖音短视频中拨打商城手机壳订单的快递电话,√,于玺,好的，已经帮您拨打了抖音商城手机壳订单的快递电话，您可以直接与快递员沟通取件啦。还有其他需要协助的吗？,,,,,,,
购物-物流,抖音,在抖音中拨打商城<搜索内容>订单的快递电话,YOYO，帮我联系一下抖音极速版里面那个运动鞋订单的快递电话。,,YOYO，帮我联系一下抖音商城里面那个运动鞋订单的快递电话。,在抖音中联系商城运动鞋订单的快递电话,√,于玺,好的，已经帮您查到了抖音商城中您运动鞋订单的快递电话，快递公司是中通快递，电话是95311。祝您生活愉快，有其他需要随时找我哦~,,,,,,,
购物-物流,抖音,在抖音中给商城<搜索内容>订单催发货,在抖音短视频里帮我给商城下单的运动鞋订单催发货。,,,在抖音短视频中给商城下单的运动鞋订单催发货,√,于玺,好的，已经为您在抖音商城催促了运动鞋订单的发货，还请您稍作等待，有需要随时找我哦~,,,,,,,
购物-物流,抖音,在抖音中给商城<搜索内容>订单催发货,YoYo，我在抖音下单的连衣裙订单怎么还没发货，能帮我催一下吗？,,YoYo，我在抖音商城下单的连衣裙订单怎么还没发货，能帮我催一下吗？,在抖音中给商城下单的连衣裙订单催发货,√,于玺,好的，已经帮您查看并催促了抖音商城那单连衣裙的发货进度，亲亲稍安勿躁哦~ 有最新进展YoYo会第一时间通知您哒！,,,,,,,
购物-物流,抖音,在抖音中给商城<搜索内容>订单催配送,在抖音短视频里帮我给商城下单的连衣裙订单催促一下配送。,1,,在抖音短视频中给商城下单连衣裙订单催配送,√,于玺,好的，已经帮您催促了商城连衣裙订单的配送，预计物流会有更快的更新，请留意查收哦。还有其他需要帮忙的吗？,,,,,,,
购物-物流,抖音,在抖音中给商城<搜索内容>订单催配送,YoYo，我在抖音极速版商城买的运动鞋什么时候能发货，能催下配送吗？,,YoYo，我在抖音商城买的运动鞋什么时候能发货，能催下配送吗？,在抖音中给商城购买的运动鞋订单催配送,√,于玺,您好，已经帮您查询了抖音商城的订单，目前显示运动鞋正在加紧处理中，马上为您发送催促配送的通知，稍后可以在消息中心查看物流动态哦~还有其他需要帮忙的，随时找YoYo！,,,,,,,
购物-物流,抖音,在抖音中给商城<搜索内容>订单确认收货,请帮我给抖音商城里的运动鞋订单确认收货。,,,在抖音中给商城运动鞋订单确认收货,√,于玺,已经帮您顺利确认抖音商城中运动鞋订单的收货啦，有其他需要也可以随时告诉我哦～,,,,,,,
购物-物流,抖音,在抖音中给商城<搜索内容>订单确认收货,YoYo，我在抖音极速版中有一笔连衣裙的订单需要确认收货。,,YoYo，我在抖音商城中有一笔连衣裙的订单需要确认收货。,在抖音中给商城连衣裙订单确认收货,√,于玺,已经帮您确认收货啦，这条连衣裙订单已经完成收货操作，还有其他需要帮忙的吗？,,,,,,,
购物-订单,抖音,在抖音中给商城<搜索内容>订单申请售后,在抖音短视频里帮我给商城里的连衣裙订单申请退货退款。,,,在抖音短视频中给商城连衣裙订单申请退货退款,√,于玺,好的，已经为您在抖音商城里提交了连衣裙订单的退货退款申请，后续有进展会及时通知您，还有其他需要帮忙的吗？,,,,,,,
购物-订单,抖音,在抖音中给商城<搜索内容>订单申请售后,帮我联系抖音极速版商城客服，要给之前买的那双运动鞋申请换货。,,帮我联系抖音商城客服，要给之前买的那双运动鞋申请换货。,在抖音中给商城运动鞋订单申请换货,√,于玺,好的，已经为您联系了抖音商城客服，并提交了关于那双运动鞋的换货申请，客服会在第一时间与您联系处理，有需要可以随时再找我哦～,,,,,,,
购物-订单,抖音,在抖音中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,我在抖音短视频里给商城买手机壳的订单申请退货退款，原因是质量有问题。,,,在抖音短视频中给商城手机壳订单申请退货退款且原因为质量有问题,√,于玺,已为您在抖音商城提交手机壳退货退款申请，目前订单状态已更新，商家会在24小时内处理您的请求。稍后您也可以留意短信或抖音消息通知哦，有需要随时找我~,,,,,,,
购物-订单,抖音,在抖音中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,YoYo，帮我用“质量问题”这个原因，在dy给商城买的一件T恤申请换货。,,,在dy中给商城T恤订单申请换货，原因为质量问题,√,于玺,好的，亲爱的，已经帮你用“质量问题”为那件T恤提交了换货申请啦～现在就等商城处理咯，有进展我再第一时间告诉你。需要我陪你逛逛挑件新的吗？😊,,,,,,,
购物-评价,抖音,在抖音中评价商城<搜索内容>订单,我在抖音短视频里怎么评价商城买的那双运动鞋订单啊？,,,在抖音短视频中评价商城购买的运动鞋订单,√,于玺,好的呢，已经帮您找到抖音商城的订单评价入口啦，现在可以方便地给您的运动鞋写下评价咯~还有其他需要帮忙的吗？,,,,,,,
购物-评价,抖音,在抖音中评价商城<搜索内容>订单,帮我看看抖音极速版里的商城订单，搜索内容是蓝牙耳机，我要写评价。,,帮我看看抖音里的商城蓝牙耳机订单，我要写评价。,在抖音中评价商城蓝牙耳机订单,√,于玺,好的，已为您找到抖音商城中关于蓝牙耳机的订单，您可以开始写评价啦。需要我帮您构思一下评价内容吗？,,,,,,,
购物-评价,抖音,在抖音中评价商城<搜索内容>订单且星级为<星级>,YoYo，我在抖音商城买的那双运动鞋订单怎么评价啊，要给五星好评。,,,在抖音中评价商城运动鞋订单且星级为五星,√,于玺,已经帮您给抖音商城的运动鞋订单提交了五星好评，需要我帮您看看其他订单吗？,,,,,,,
购物-评价,抖音,在抖音中评价商城<搜索内容>订单且星级为<星级>,帮我给抖音极速版里的一个订单评个三星吧，搜索内容是保温杯，星级就是三颗星。,,帮我给抖音商城里的保温杯订单评个三星吧,在抖音中给商城保温杯订单评三星,√,于玺,好的，已为您在抖音商城里给保温杯订单评了三星，操作完成啦~还有其他需要帮忙的吗？,,,,,,,
