类型,轮次,query,plan,reply,assistant,app,大类,origin_instruct,责任人,tag,,,,,,,,,,,,,
单轮-单任务,1,我渴死了，帮我抖音商城小时达里搜搜可口可乐，行不？,在$抖音$中搜索商城小时达中的可口可乐,完成,好的,抖音,搜索,在抖音中搜索商城小时达中的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,小仙女我要在抖音商城搜一下华为Pura70，筛选销量高的，可以吗？,在$抖音$中搜索商城中的华为Pura70筛选销量高的,完成,好的,抖音,搜索,在抖音中搜索商城中的<搜索内容>筛选<筛选条件>,,,,,,,,,,,,,,,
单轮-单任务,1,起床了，帮我打开抖音商城的国家补贴，搜一下美的空调，能办到吗？,在$抖音$中打开商城的国家补贴并搜索美的空调,完成,好的,抖音,打开,在抖音中打开商城的国家补贴并搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,哦，差点忘记查看抖音商城中九阳豆浆机订单的物流单号，没问题吧？,在$抖音$中查看商城九阳豆浆机订单的物流单号,完成,好的,抖音,物流,在抖音中查看商城<搜索内容>订单的物流单号,,,,,,,,,,,,,,,
单轮-单任务,1,抖音商城中联想电脑订单那什么快递电话，帮我拨打一下,在$抖音$中拨打商城联想电脑订单的快递电话,完成,好的,抖音,物流,在抖音中拨打商城<搜索内容>订单的快递电话,,,,,,,,,,,,,,,
单轮-单任务,1,帮我给抖音商城中资生堂洗面奶订单催一下发货，谢谢啦？,在$抖音$中给商城中的资生堂洗面奶订单催发货,完成,好的,抖音,物流,在抖音中给商城<搜索内容>订单催发货,,,,,,,,,,,,,,,
单轮-单任务,1,抖音商城中耐克运动鞋订单，怎么还不配送啊？,在$抖音$中给商城中的耐克运动鞋订单催配送,完成,好的,抖音,物流,在抖音中给商城<搜索内容>订单催配送,,,,,,,,,,,,,,,
单轮-单任务,1,抖音商城中的小米手环订单帮我确认收货,在$抖音$中给商城中的小米手环订单确认收货,完成,好的,抖音,物流,在抖音中给商城<搜索内容>订单确认收货,,,,,,,,,,,,,,,
单轮-单任务,1,抖音商城中vivo手机订单太垃圾了，申请售后吧,在$抖音$中给商城中的vivo手机订单申请售后,完成,好的,抖音,订单,在抖音中给商城<搜索内容>订单申请售后,,,,,,,,,,,,,,,
单轮-单任务,1,抖音商城中格力风扇订单尺寸太小了，帮我退了,在$抖音$中给商城中的格力风扇订单申请退货且原因为尺寸不合适,完成,好的,抖音,订单,在抖音中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，评价一下抖音商城中的欧舒丹护手霜订单,在$抖音$中评价商城中的欧舒丹护手霜订单,完成,好的,抖音,评价,在抖音中评价商城<搜索内容>订单,,,,,,,,,,,,,,,
单轮-单任务,1,抖音商城中的珀莱雅面霜订单打个五星好评吧,在$抖音$中评价商城中的珀莱雅面霜订单且星级为5星,完成,好的,抖音,评价,在抖音中评价商城<搜索内容>订单且星级为<星级>,,,,,,,,,,,,,,,
单轮-单任务,1,"帮我评价抖音商城中的植村秀砍刀眉笔订单，内容为“很好用，上色均匀""啊",在$抖音$中评价商城中的植村秀砍刀眉笔订单且评价内容为“很好用，上色均匀”,完成,好的,抖音,评价,在抖音中评价商城<搜索内容>订单且评价内容为<文本内容>,,,,,,,,,,,,,,,
单轮-单任务,1,给抖音商城中的良品铺子坚果礼盒订单评价一张图,在$抖音$中评价商城中的良品铺子坚果礼盒订单并上传图片,完成,好的,抖音,评价,在抖音中评价商城<搜索内容>订单并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,评价抖音商城中的雅顿粉胶订单打个四星内容是“吸收很快”，再上传图片,在$抖音$中评价商城中的雅顿粉胶订单，星级为4星，评价内容为“吸收很快”，并上传图片,完成,好的,抖音,评价,在抖音中评价商城<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城搜一下汰渍洗衣粉啊,在$抖音极速版$中的商城搜索汰渍洗衣粉,完成,好的,抖音极速版,搜索,在抖音极速版的商城中搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城打开兰芝唇膜的评论好吧？,在$抖音极速版$中的商城打开兰芝唇膜的评论,完成,好的,抖音极速版,打开,在抖音极速版的商城中打开<搜索内容>的评论,,,,,,,,,,,,,,,
单轮-单任务,1,帮我再抖音极速版商城里打开SK-II神仙水的规格啊？,在$抖音极速版$中的商城打开SK-II神仙水的规格,完成,好的,抖音极速版,打开,在抖音极速版的商城中打开<搜索内容>的规格,,,,,,,,,,,,,,,
单轮-单任务,1,能帮我在抖音极速版商城打开苹果iPhone15的参数页面啊？,在$抖音极速版$中的商城打开苹果iPhone15的参数,完成,好的,抖音极速版,打开,在抖音极速版的商城中打开<搜索内容>的参数,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城里打开美的变频空调的详情页呗？,在$抖音极速版$中的商城打开美的变频空调的详情,完成,好的,抖音极速版,打开,在抖音极速版的商城中打开<搜索内容>的详情,,,,,,,,,,,,,,,
单轮-单任务,1,看一下抖音极速版商城中小米手环8送到上海的时间好吧？,在$抖音极速版$中的商城查看小米手环8送达上海的时间,完成,好的,抖音极速版,搜索,在抖音极速版的商城中查看<搜索内容>送达<地址>的时间,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城把兰蔻小黑瓶精华加入购物车咯,在$抖音极速版$中的商城把兰蔻小黑瓶精华加入购物车,完成,好的,抖音极速版,购物车,在抖音极速版的商城中加入购物车<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,能帮我在抖音极速版商城将500ml的海飞丝洗发水加入购物车吗？,在$抖音极速版$中的商城把500ml的海飞丝洗发水加入购物车,完成,好的,抖音极速版,购物车,在抖音极速版的商城中加入购物车<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城把3件南极人保暖内衣加入一下购物车。,在$抖音极速版$中的商城把3件的南极人保暖内衣加入购物车,完成,好的,抖音极速版,购物车,在抖音极速版的商城中加入购物车<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,请在抖音极速版商城将欧莱雅面霜加入购物车然后送到广州花都去吧。,在$抖音极速版$中的商城把欧莱雅面霜加入购物车并送至广州花都,完成,好的,抖音极速版,购物车,在抖音极速版的商城中加入购物车<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城把2瓶500ml的农夫山泉加入购物车送到深圳南山吧？,在$抖音极速版$中的商城把2瓶500ml的农夫山泉加入购物车送至深圳,完成,好的,抖音极速版,购物车,在抖音极速版的商城中加入购物车<规格><数量>的<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo在抖音极速版商城下单雅诗兰黛眼霜。,在$抖音极速版$中的商城下单雅诗兰黛眼霜,完成,好的,抖音极速版,下单,在抖音极速版的商城中下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo抖音极速版商城下单L码的优衣库T恤。,在$抖音极速版$中的商城下单L码的优衣库T恤,完成,好的,抖音极速版,下单,在抖音极速版的商城中下单<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,我需要你在抖音极速版商城下单4盒蒙牛纯牛奶啊？,在$抖音极速版$中的商城下单4盒蒙牛纯牛奶,完成,好的,抖音极速版,下单,在抖音极速版的商城中下单<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo在抖音极速版商城下单华为手机然后送到杭州。,在$抖音极速版$中的商城下单华为手机送至杭州,完成,好的,抖音极速版,下单,在抖音极速版的商城中下单<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo在抖音极速版商城买个SK-II护肤精华露用微信支付。,在$抖音极速版$中的商城用微信支付下单SK-II护肤精华露,完成,好的,抖音极速版,下单,在抖音极速版的商城中用<支付方式>下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城用支付宝下单3个500g的新疆阿克苏苹果送到成都呗？,在$抖音极速版$中的商城下单3个500g的新疆阿克苏苹果用支付宝送至成都,完成,好的,抖音极速版,下单,在抖音极速版的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城收藏一下安踏运动鞋,在$抖音极速版$中的商城收藏安踏运动鞋,完成,好的,抖音极速版,收藏,在抖音极速版的商城中收藏<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,抖音极速版商城直播里帮我搜索一下九阳破壁机呗？,在$抖音极速版$中的商城直播中搜索九阳破壁机,完成,好的,抖音极速版,搜索,在抖音极速版的商城直播中搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,我需要你在抖音极速版中打开商城中的三只松鼠店铺。,在$抖音极速版$中打开商城中的三只松鼠店铺,完成,好的,抖音极速版,打开,在抖音极速版中打开商城中的<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,抖音极速版商城中帮我在小米官方旗舰店搜索红米K60吗？,在$抖音极速版$中商城中的小米官方旗舰店搜索红米K60,完成,好的,抖音极速版,搜索,在抖音极速版中商城中的<店铺名>店铺内搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,抖音极速版商城帮我打开阿迪达斯店铺的运动裤类别呗。,在$抖音极速版$中打开商城中的阿迪达斯店铺的运动裤类别,完成,好的,抖音极速版,打开,在抖音极速版中打开商城中的<店铺名>店铺的<类别>类别,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，帮我在抖音极速版商城关注耐克店铺好吧？,在$抖音极速版$中关注商城中的耐克店铺,完成,好的,抖音极速版,收藏,在抖音极速版中关注商城中的<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城特价里帮我搜搜羽绒服？,在$抖音极速版$中搜索商城特价中的羽绒服,完成,好的,抖音极速版,搜索,在抖音极速版中搜索商城特价中的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,能在抖音极速版商城小时达里搜搜面包吗？,在$抖音极速版$中搜索商城小时达中的面包,完成,好的,抖音极速版,搜索,在抖音极速版中搜索商城小时达中的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城搜搜牛仔裤，帮我筛选下蓝色的。,在$抖音极速版$中搜索商城的牛仔裤筛选蓝色的,完成,好的,抖音极速版,搜索,在抖音极速版中搜索商城中的<搜索内容>筛选<筛选条件>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在抖音极速版商城查看华为P60订单的物流单号。,在$抖音极速版$中查看商城华为P60订单的物流单号,完成,好的,抖音极速版,物流,在抖音极速版中查看商城<搜索内容>订单的物流单号,,,,,,,,,,,,,,,
单轮-单任务,1,我需要你能在抖音极速版商城拨打美的电饭煲订单的快递电话吗？,在$抖音极速版$中拨打商城美的电饭煲订单的快递电话,完成,好的,抖音极速版,物流,在抖音极速版中拨打商城<搜索内容>订单的快递电话,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，在抖音极速版商城帮我给安踏运动鞋订单催一下发货。,在$抖音极速版$中给商城安踏运动鞋订单催发货,完成,好的,抖音极速版,物流,在抖音极速版中给商城<搜索内容>订单催发货,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城帮我给戴尔笔记本电脑订单催一下配送吧？,在$抖音极速版$中给商城戴尔笔记本电脑订单催配送,完成,好的,抖音极速版,物流,在抖音极速版中给商城<搜索内容>订单催配送,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在抖音极速版商城给苹果AirPods订单确认收货。,在$抖音极速版$中给商城苹果AirPods订单确认收货,完成,好的,抖音极速版,物流,在抖音极速版中给商城<搜索内容>订单确认收货,,,,,,,,,,,,,,,
单轮-单任务,1,我需要在抖音极速版商城给我的索尼耳机申请售后,在$抖音极速版$中给商城索尼耳机订单申请售后,完成,好的,抖音极速版,订单,在抖音极速版中给商城<搜索内容>订单申请售后,,,,,,,,,,,,,,,
单轮-单任务,1,请在抖音极速版商城帮我给联想电脑尺寸太小了，帮我退一下,在$抖音极速版$中给商城联想电脑订单申请退货且原因为尺寸不符,完成,好的,抖音极速版,订单,在抖音极速版中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在抖音极速版商城的海底捞自热火锅订单给一下评价,在$抖音极速版$中评价商城海底捞自热火锅订单,完成,好的,抖音极速版,评价,在抖音极速版中评价商城<搜索内容>订单,,,,,,,,,,,,,,,
单轮-单任务,1,能在抖音极速版商城给良品铺子零食订单打个五星评价,在$抖音极速版$中评价商城良品铺子零食订单且星级为5星,完成,好的,抖音极速版,评价,在抖音极速版中评价商城<搜索内容>订单且星级为<星级>,,,,,,,,,,,,,,,
单轮-单任务,1,请在抖音极速版商城给九阳豆浆机订单评价一个“很好用，打豆浆很细腻”。,在$抖音极速版$中评价商城九阳豆浆机订单且评价内容为“很好用，打豆浆很细腻”,完成,好的,抖音极速版,评价,在抖音极速版中评价商城<搜索内容>订单且评价内容为<文本内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在抖音极速版商城给周大福项链订单打个评价然后上传个图片,在$抖音极速版$中评价商城周大福项链订单并上传图片,完成,好的,抖音极速版,评价,在抖音极速版中评价商城<搜索内容>订单并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,请在抖音极速版商城给兰芝唇膜订单打个四星评价，评价内容为“滋润效果很好”,在$抖音极速版$中评价商城兰芝唇膜订单，星级为4星，评价内容为“滋润效果很好”，并上传图片,完成,好的,抖音极速版,评价,在抖音极速版中评价商城<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音极速版商城打开国家补贴然后搜一下冰箱好吗？,在$抖音极速版$中打开商城的国家补贴并搜索冰箱,完成,好的,抖音极速版,打开,在抖音极速版中打开商城的国家补贴并搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手商城搜一下苏泊尔电压力锅呗？,在$快手$中的商城搜索苏泊尔电压力锅,完成,好的,快手,搜索,在快手的商城中搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo能在快手商城打开自然堂冰肌水的评论吗？,在$快手$中的商城打开自然堂冰肌水的评论,完成,好的,快手,打开,在快手的商城中打开<搜索内容>的评论,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手商城中打开李宁运动鞋的规格页面好吗？,在$快手$中的商城打开李宁运动鞋的规格,完成,好的,快手,打开,在快手的商城中打开<搜索内容>的规格,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手商城帮我打开荣耀Magic6的参数行不？,在$快手$中的商城打开荣耀Magic6的参数,完成,好的,快手,打开,在快手的商城中打开<搜索内容>的参数,,,,,,,,,,,,,,,
单轮-单任务,1,在快手商城打开TCL智能电视的打开一下详情页呗？,在$快手$中的商城打开TCL智能电视的详情,完成,好的,快手,打开,在快手的商城中打开<搜索内容>的详情,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，帮我把珀莱雅红宝石面霜加入快手商城的购物车。,在$快手$中的商城把珀莱雅红宝石面霜加入购物车,完成,好的,快手,购物车,在快手的商城中加入购物车<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，把128G的vivoS17加入快手商城购物车吗？,在$快手$中的商城把128G的vivoS17加入购物车,完成,好的,快手,购物车,在快手的商城中加入购物车<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo麻烦在快手商城把2箱伊利纯牛奶加入购物车。,在$快手$中的商城把2箱的伊利纯牛奶加入购物车,完成,好的,快手,购物车,在快手的商城中加入购物车<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,请在快手商城将3支40ml的兰蔻粉水加入购物车，谢谢你yoyo。,在$快手$中的商城把3支40ml的兰蔻粉水加入购物车,完成,好的,快手,购物车,在快手的商城中加入购物车<规格><数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,我需要在快手商城下单欧舒丹护手霜呗？,在$快手$中的商城下单欧舒丹护手霜,完成,好的,快手,下单,在快手的商城中下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,我需要在快手商城下单XL码的Levi's牛仔裤吗？,在$快手$中的商城下单XL码的Levi's牛仔裤,完成,好的,快手,下单,在快手的商城中下单<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,我需要在快手商城下单5包抽纸。,在$快手$中的商城下单5包抽纸,完成,好的,快手,下单,在快手的商城中下单<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在快手商城帮我下单华为平板并送到武汉。,在$快手$中的商城下单华为平板送至武汉,完成,好的,快手,下单,在快手的商城中下单<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我用支付宝在快手商城下单戴森吹风机,在$快手$中的商城用支付宝下单戴森吹风机,完成,好的,快手,下单,在快手的商城中用<支付方式>下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手商城用微信支付下单2条1.8m的富安娜床单送到南京吧？,在$快手$中的商城下单2条1.8m的富安娜床单用微信支付送至南京,完成,好的,快手,下单,在快手的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手商城收藏一下匡威帆布鞋呗？,在$快手$中的商城收藏匡威帆布鞋,完成,好的,快手,收藏,在快手的商城中收藏<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在快手商城直播里搜索一下科沃斯扫地机器人好吧？,在$快手$中的商城直播中搜索科沃斯扫地机器人,完成,好的,快手,搜索,在快手的商城直播中搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo帮我在快手打开商城中的百草味店铺。,在$快手$中打开商城中的百草味店铺,完成,好的,快手,打开,在快手中打开商城中的<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,我需要yoyo你在快手商城的华为官方店搜索MateBook XPro好吗？,在$快手$中商城中的华为官方店搜索MateBook XPro,完成,好的,快手,搜索,在快手中商城中的<店铺名>店铺内搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,请在快手商城yoyo帮我打开优衣库店铺的衬衫类别。,在$快手$中打开商城中的优衣库店铺的衬衫类别,完成,好的,快手,打开,在快手中打开商城中的<店铺名>店铺的<类别>类别,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手关注一下商城中的资生堂店铺？,在$快手$中关注商城中的资生堂店铺,完成,好的,快手,收藏,在快手中关注商城中的<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,在快手商城搜搜运动鞋，帮我筛选下白色的哈。,在$快手$中搜索商城搜索运动鞋筛选白色的,完成,好的,快手,搜索,在快手中搜索商城中的<搜索内容>筛选<筛选条件>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手查看商城中三星手机订单的物流单号呗？,在$快手$中查看商城三星手机订单的物流单号,完成,好的,快手,物流,在快手中查看商城<搜索内容>订单的物流单号,,,,,,,,,,,,,,,
单轮-单任务,1,能在快手拨打商城中欧莱雅订单的快递电话吗？,在$快手$中拨打商城欧莱雅订单的快递电话,完成,好的,快手,物流,在快手中拨打商城<搜索内容>订单的快递电话,,,,,,,,,,,,,,,
单轮-单任务,1,请在快手给商城中的飞利浦剃须刀订单催发货。,在$快手$中给商城飞利浦剃须刀订单催发货,完成,好的,快手,物流,在快手中给商城<搜索内容>订单催发货,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手给商城中的催一下大疆无人机的配送。,在$快手$中给商城大疆无人机订单催配送,完成,好的,快手,物流,在快手中给商城<搜索内容>订单催配送,,,,,,,,,,,,,,,
单轮-单任务,1,在快手给商城中的施华洛世奇项链订单确认一哈收货？,在$快手$中给商城施华洛世奇项链订单确认收货,完成,好的,快手,物流,在快手中给商城<搜索内容>订单确认收货,,,,,,,,,,,,,,,
单轮-单任务,1,我需要在快手商城中的申请一下小米路由器的售后？,在$快手$中给商城小米路由器订单申请售后,完成,好的,快手,订单,在快手中给商城<搜索内容>订单申请售后,,,,,,,,,,,,,,,
单轮-单任务,1,快手给商城中的码数太小了，需要到Nike运动鞋订单申请换货。,在$快手$中给商城Nike运动鞋订单申请换货且原因为码数偏小,完成,好的,快手,订单,在快手中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,,,,,,,,,,,,,,,
单轮-单任务,1,快手商城中的自嗨锅订单帮我评价一下哈？,在$快手$中评价商城自嗨锅订单,完成,好的,快手,评价,在快手中评价商城<搜索内容>订单,,,,,,,,,,,,,,,
单轮-单任务,1,在快手给商城中的花西子眉笔订单打个四星评价呗,在$快手$中评价商城花西子眉笔订单且星级为4星,完成,好的,快手,评价,在快手中评价商城<搜索内容>订单且星级为<星级>,,,,,,,,,,,,,,,
单轮-单任务,1,请在快手给商城中的九阳空气炸锅订单打个评价“操作简单，炸物很美味”。,在$快手$中评价商城九阳空气炸锅订单且评价内容为“操作简单，炸物很美味”,完成,好的,快手,评价,在快手中评价商城<搜索内容>订单且评价内容为<文本内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在快手给商城中的周大生戒指订单评价并上传图片呗？,在$快手$中评价商城周大生戒指订单并上传图片,完成,好的,快手,评价,在快手中评价商城<搜索内容>订单并上传图片,,,,,,,,,,,,,,,
