user_prompt_task,ground_truth,model_output,is_perfect_match,fn_accuracy,required_param_recall,param_f1,param_bleu_1,param_bleu_2,param_bleu_3,param_bleu_4,param_rouge_1,param_rouge_2,param_rouge_l,delay_seconds
在闲鱼中查看我的收藏小物件,"[['1', 'open_favorite_goods(app=""闲鱼"", order_type=""无"", filter_type=""无"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '闲鱼'}}]",0.0000,1.0000,1.0000,0.5000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.8303
在阿里巴巴中查看收藏中的低价补货商品,"[['1', 'open_favorite_goods(app=""阿里巴巴"", order_type=""无"", filter_type=""低价补货"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '阿里巴巴', 'filter_type': '低价补货'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1410
在抖音火山版中查看商城订单待取件的物流,"[['1', 'open_logistics_receive(app=""抖音火山版"", filter_type=""待取件"")']]","[{'name': 'open_logistics_receive', 'parameters': {'app': '抖音火山版', 'filter_type': '待取件'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3511
在抖音火山版中查看商城中待发货商品,"[['1', 'open_orders_bought(app=""抖音火山版"", order_status=""待发货"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '抖音火山版', 'order_status': '待发货'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1534
在京东中查看收藏中的下架商品,"[['1', 'open_favorite_goods(app=""京东"", order_type=""无"", filter_type=""下架"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '京东', 'filter_type': '下架'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0793
在天猫中查看购物车中的好货,"[['1', 'open_cart_content(app=""天猫"", filter_type=""无"")']]","[{'name': 'open_cart_content', 'parameters': {'app': '天猫'}}]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.7841
在闲鱼中查看已卖出的货的收货情况,"[['1', 'open_orders_sold(app=""闲鱼"", order_status=""待收货"")']]","[{'name': 'open_orders_sold', 'parameters': {'app': '闲鱼', 'order_status': '待收货'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1264
在闲鱼中查看我卖出的宝贝,"[['1', 'open_orders_sold(app=""闲鱼"", order_status=""无"")']]","[{'name': 'open_orders_sold', 'parameters': {'app': '闲鱼', 'order_status': '我卖出的'}}]",0.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000,0.0000,0.5000,0.5000,0.5000,1.1263
在闲鱼中查看我淘的宝贝待付款,"[['1', 'open_orders_bought(app=""闲鱼"", order_status=""待付款"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '闲鱼', 'order_status': '待付款'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1264
在天猫中查看退款和售后订单,"[['1', 'open_orders_bought(app=""天猫"", order_status=""退款售后"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '天猫', 'order_status': '退款售后'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1033
在唯品会中清空搜索记录,"[['1', 'delete_search_history(app=""唯品会"")']]","[{'name': 'delete_search_history', 'parameters': {'app': '唯品会'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8429
"在抖音商城中搜索购物车里的""DIY手工材料","[['1', 'search_cart_content(app=""抖音"", search_info=""DIY手工材料"")']]","[{'name': 'search_cart_content', 'parameters': {'app': '抖音商城', 'search_info': 'DIY手工材料'}}]",0.0000,1.0000,1.0000,1.0000,0.7500,0.6667,0.5000,0.5000,0.8333,0.7500,0.8333,1.1834
在拼多多中搜索量化交易工具店铺,"[['1', 'search_stores(app=""拼多多"", search_info=""量化交易工具"", order_type=""无 "", filter_type=""无"")']]","[{'name': 'search_stores', 'parameters': {'app': '拼多多', 'search_info': '量化交易工具店铺'}}]",0.0000,1.0000,1.0000,0.6667,0.8750,0.8571,0.8333,0.3000,0.9286,0.9167,0.9286,1.1024
在唯品会中搜索手账本按销量排序,"[['1', 'search_goods(app=""唯品会"", search_info=""手账本"", order_type=""销量"")']]","[{'name': 'search_goods', 'parameters': {'app': '唯品会', 'search_info': '手账本', 'order_type': '销量'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3883
在闲鱼中搜索有机种子，信用高的优先,"[['1', 'search_goods(app=""闲鱼"", search_info=""有机种子"", order_type=""信用"")']]","[{'name': 'search_goods', 'parameters': {'app': '闲鱼', 'search_info': '有机种子', 'order_type': '信用'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2754
在淘宝中搜索登机箱按销量排序,"[['1', 'search_goods(app=""淘宝"", search_info=""登机箱"", order_type=""销量"")']]","[{'name': 'search_goods', 'parameters': {'app': '淘宝', 'search_info': '登机箱', 'order_type': '销量'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2751
在淘宝中搜索手账贴纸套装并进行综合排序,"[['1', 'search_goods(app=""淘宝"", search_info=""手账贴纸套装"", order_type=""综合 "")']]","[{'name': 'search_goods', 'parameters': {'app': '淘宝', 'search_info': '手账贴纸套装', 'order_type': '综合 '}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3574
在拼多多中查找显微镜店铺并按销量排序,"[['1', 'search_stores(app=""拼多多"", search_info=""显微镜"", order_type=""销量"")']]","[{'name': 'search_stores', 'parameters': {'app': '拼多多', 'search_info': '显微镜', 'order_type': '销量'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2756
在得物中查看想要的园艺花盆,"[['1', 'open_cart_content(app=""得物"", filter_type=""无"")']]","[[""1"", ""open_cart_content(app='得物', filter_type='园艺花盆')""]]",0.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000,0.0000,0.5000,0.5000,0.5000,0.8379
在抖音极速版中查找商城店铺的‘校园潮服’按最火的排序,"[['1', 'search_stores(app=""抖音极速版"", search_info=""校园潮服"", order_type=""人气"", filter_type=""无"")']]","[{'name': 'search_stores', 'parameters': {'app': '抖音极速版', 'search_info': '校园潮服', 'order_type': '销量'}}]",0.0000,1.0000,1.0000,0.8571,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,1.4029
在抖音极速版中的商城查找'诗集',"[['1', 'search_goods(app=""抖音极速版"", search_info=""诗集"", order_type=""无"")']]","[{'name': 'search_goods', 'parameters': {'app': '抖音极速版', 'search_info': '诗集'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0869
在京东中查找购物车中的凑单商品,"[['1', 'open_cart_content(app=""京东"", filter_type=""凑单"")']]","[{'name': 'search_cart_content', 'parameters': {'app': '京东', 'search_info': '凑单'}}]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0354
在拼多多中查找厨师刀按好评排序,"[['1', 'search_goods(app=""拼多多"", search_info=""厨师刀"", order_type=""好评"")']]","[{'name': 'search_goods', 'parameters': {'app': '拼多多', 'search_info': '厨师刀', 'order_type': '好评'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2540
在淘宝中使用拍照功能查找复古手链的类似款,"[['1', 'open_camera_search(app=""淘宝"")']]","[{'name': 'open_camera_search', 'parameters': {'app': '淘宝'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7522
在天猫中领取福气红包,"[['1', 'sign_in(app=""天猫"", page_type=""红包"")']]","[{'name': 'sign_in', 'parameters': {'app': '天猫', 'page_type': '红包'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9674
在唯品会中查看卡夫卡小说集,"[['1', 'search_goods(app=""唯品会"", search_info=""卡夫卡小说集"", order_type=""无"")']]","[{'name': 'search_goods', 'parameters': {'app': '唯品会', 'search_info': '卡夫卡小说集'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,1.1609
在闲鱼中搜索我买到的实验设备,"[['1', 'search_order(app=""闲鱼"", search_info=""实验设备"", order_status=""我买到的"")']]","[{'name': 'search_order', 'parameters': {'app': '闲鱼', 'search_info': '实验设备', 'order_status': '我买到的'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3283
在转转中查找二手诗集并将价格从高到低排序,"[['1', 'search_goods(app=""转转"", search_info=""二手诗集"", order_type=""价格从高到低"")']]","[{'name': 'search_goods', 'parameters': {'app': '转转', 'search_info': '二手诗集', 'order_type': '价格从高到低'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.4413
在闲鱼中查找厨师刀按价格降序排列,"[['1', 'search_goods(app=""闲鱼"", search_info=""厨师刀"", order_type=""价格从高到低"")']]","[{'name': 'search_goods', 'parameters': {'app': '闲鱼', 'search_info': '厨师刀', 'order_type': '价格从高到低'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3872
在天猫中查找毛线编织手工店,"[['1', 'search_stores(app=""天猫"", search_info=""毛线编织手工店"", order_type=""无"", filter_type=""无"")']]","[{'name': 'search_stores', 'parameters': {'app': '天猫', 'search_info': '毛线编织手工店'}}]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0934
在抖音中查找涂鸦工具的订单,"[['1', 'search_order(app=""抖音"", search_info=""涂鸦工具"", order_status=""无"")']]","[{'name': 'search_order', 'parameters': {'app': '抖音', 'search_info': '涂鸦工具'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,0.9882
在拼多多中查找按综合排序的搞笑实用的创意厨具店铺,"[['1', 'search_stores(app=""拼多多"", search_info=""创意厨具"", order_type=""综合 "", filter_type=""无"")']]","[{'name': 'search_stores', 'parameters': {'app': '拼多多', 'search_info': '搞笑实用的创意厨具', 'order_type': '综合 '}}]",0.0000,1.0000,1.0000,0.8571,0.8148,0.7917,0.7619,0.0556,0.8718,0.8485,0.8718,1.4400
在转转中查找买的牡丹花种子订单,"[['1', 'search_order(app=""转转"", search_info=""牡丹花种子"", order_status=""我买到的"")']]","[{'name': 'search_order', 'parameters': {'app': '转转', 'search_info': '牡丹花种子', 'order_status': '我买到的'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3640
在抖音商城中删除搜索历史,"[['1', 'delete_search_history(app=""抖音"")']]","[{'name': 'delete_search_history', 'parameters': {'app': '抖音商城'}}]",0.0000,1.0000,1.0000,1.0000,0.5000,0.3333,0.0000,0.0000,0.6667,0.5000,0.6667,0.7138
在转转中彻底清理搜索历史,"[['1', 'delete_search_history(app=""转转"")']]","[{'name': 'delete_search_history', 'parameters': {'app': '转转'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7137
在淘宝中查看收藏里即将卖光的商品,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""低库存"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '淘宝', 'filter_type': '低库存'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,1.0024
在得物中查看我的评价,"[['1', 'open_orders_bought(app=""得物"", order_status=""我的评价"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '得物', 'order_status': '我的评价'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0794
在抖音极速版中的商城查看待收货订单,"[['1', 'open_orders_bought(app=""抖音极速版"", order_status=""待收货"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '抖音极速版', 'order_status': '待收货'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1325
在京东中查询我寄出的快递拒收状态,"[['1', 'open_logistics_send(app=""京东"", filter_type=""已拒收"")']]","[{'name': 'open_logistics_send', 'parameters': {'app': '京东', 'filter_type': '已拒收'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0595
在淘宝中查看收藏中的不粘锅,"[['1', 'search_in_favorite_goods(app=""淘宝"", search_info=""不粘锅"")']]","[{'name': 'search_in_favorite_goods', 'parameters': {'app': '淘宝', 'search_info': '不粘锅'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0593
在闲鱼中查看我的草稿作品,"[['1', 'open_orders_sold(app=""闲鱼"", order_status=""草稿"")']]","[{'name': 'open_orders_sold', 'parameters': {'app': '闲鱼', 'order_status': '草稿'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0572
在阿里巴巴中查看待发货订单,"[['1', 'open_orders_bought(app=""阿里巴巴"", order_status=""待发货"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '阿里巴巴', 'order_status': '待发货'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0573
在阿里巴巴中搜索'多功能厨具'并将搜索结果按照回头率从高到低排序,"[['1', 'search_goods(app=""阿里巴巴"", search_info=""多功能厨具"", order_type=""回头率从高到低"")']]","[{'name': 'search_goods', 'parameters': {'app': '阿里巴巴', 'search_info': '多功能厨具', 'order_type': '回头率从高到低'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.5666
在阿里巴巴中显示待评价订单,"[['1', 'open_orders_bought(app=""阿里巴巴"", order_status=""待评价"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '阿里巴巴', 'order_status': '待评价'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0669
在阿里巴巴中查找我关注店铺里的旅行收纳包,"[['1', 'search_in_favorite_stores(app=""阿里巴巴"", search_info=""旅行收纳包"")']]","[{'name': 'search_in_favorite_stores', 'parameters': {'app': '阿里巴巴', 'search_info': '旅行收纳包'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1759
在得物中搜索科学仪器按价格从低到高排序,"[['1', 'search_goods(app=""得物"", search_info=""科学仪器"", order_type=""价格从低到高"")']]","[{'name': 'search_goods', 'parameters': {'app': '得物', 'search_info': '科学仪器', 'order_type': '价格从低到高'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.4707
在得物中搜索涂鸦喷漆,"[['1', 'search_goods(app=""得物"", search_info=""涂鸦喷漆"", order_type=""无"")']]","[{'name': 'search_goods', 'parameters': {'app': '得物', 'search_info': '涂鸦喷漆'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,1.0732
在抖音中查看商城订单派送中的物流状态,"[['1', 'open_logistics_receive(app=""抖音"", filter_type=""派送中"")']]","[{'name': 'open_logistics_receive', 'parameters': {'app': '抖音', 'filter_type': '派送中'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1125
在抖音火山版中查看商城订单运送中的物流状态,"[['1', 'open_logistics_receive(app=""抖音火山版"", filter_type=""运输中"")']]","[{'name': 'open_logistics_receive', 'parameters': {'app': '抖音火山版', 'filter_type': '派送中'}}]",0.0000,1.0000,1.0000,1.0000,0.6667,0.5000,0.5000,0.5000,0.6667,0.5000,0.6667,1.2014
在抖音火山版中查看购物车中的便宜商品,"[['1', 'open_cart_content(app=""抖音火山版"", filter_type=""降价"")']]","[{'name': 'open_cart_content', 'parameters': {'app': '抖音火山版', 'filter_type': '降价'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0587
在抖音火山版中查看购物车,"[['1', 'open_cart_content(app=""抖音火山版"", filter_type=""无"")']]","[[""1"", ""open_cart_content(app=抖音火山版)""]]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5687
在抖音极速版中查看商城订单物流,"[['1', 'open_logistics_receive(app=""抖音极速版"", filter_type=""无"")']]","[[""1"", ""open_logistics_receive(app=抖音极速版)""]]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6218
在抖音极速版中打开客服页面,"[['1', 'open_customer_service(app=""抖音极速版"")']]","[{'name': 'open_customer_service', 'parameters': {'app': '抖音极速版'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8265
在抖音极速版中搜索商城店铺的智能投资手表按销量排序,"[['1', 'search_stores(app=""抖音极速版"", search_info=""智能投资手表"", order_type=""销量"")']]","[{'name': 'search_stores', 'parameters': {'app': '抖音极速版', 'search_info': '智能投资手表', 'order_type': '销量'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.4144
在抖音极速版中显示商城订单运送中的物流信息,"[['1', 'open_logistics_receive(app=""抖音极速版"", filter_type=""运输中"")']]","[{'name': 'open_logistics_receive', 'parameters': {'app': '抖音极速版', 'filter_type': '派送中'}}]",0.0000,1.0000,1.0000,1.0000,0.6667,0.5000,0.5000,0.5000,0.6667,0.5000,0.6667,1.1650
在抖音极速版中搜索商城店铺‘街头涂鸦工具’按人气排出来,"[['1', 'search_stores(app=""抖音极速版"", search_info=""街头涂鸦工具"", order_type=""人气"", filter_type=""无"")']]","[{'name': 'search_stores', 'parameters': {'app': '抖音极速版', 'search_info': '街头涂鸦工具', 'order_type': '人气'}}]",0.0000,1.0000,1.0000,0.8571,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000,1.4145
在抖音商城中查看便携旅行箱店铺并按销量排序,"[['1', 'search_stores(app=""抖音"", search_info=""便携旅行箱"", order_type=""销量"")']]","[{'name': 'search_stores', 'parameters': {'app': '抖音商城', 'search_info': '便携旅行箱', 'order_type': '销量'}}]",0.0000,1.0000,1.0000,1.0000,0.8333,0.7778,0.3333,0.3333,0.8889,0.8333,0.8889,1.4585
在抖音商城中查看多功能料理机并按综合排序,"[['1', 'search_goods(app=""抖音"", search_info=""多功能料理机"", order_type=""综合 "")']]","[{'name': 'search_goods', 'parameters': {'app': '抖音商城', 'search_info': '多功能料理机', 'order_type': '综合 '}}]",0.0000,1.0000,1.0000,1.0000,0.8333,0.7778,0.6667,0.3333,0.8889,0.8333,0.8889,1.3847
在抖音商城中查看玉米种子店铺并按综合排序,"[['1', 'search_stores(app=""抖音"", search_info=""玉米种子"", order_type=""综合 "", filter_type=""无"")']]","[{'name': 'search_stores', 'parameters': {'app': '抖音商城', 'search_info': '玉米种子', 'order_type': '综合 '}}]",0.0000,1.0000,1.0000,0.8571,0.8333,0.7778,0.6667,0.3333,0.8889,0.8333,0.8889,1.4524
在抖音商城中拍照找同款,"[['1', 'open_camera_search(app=""抖音"")']]","[{'name': 'open_camera_search', 'parameters': {'app': '抖音商城'}}]",0.0000,1.0000,1.0000,1.0000,0.5000,0.3333,0.0000,0.0000,0.6667,0.5000,0.6667,0.7766
在抖音中搜索商城中的店铺行李收纳按人气排序,"[['1', 'search_stores(app=""抖音"", search_info=""行李收纳"", order_type=""人气"", filter_type=""无"")']]","[{'name': 'search_stores', 'parameters': {'app': '抖音', 'search_info': '行李收纳', 'order_type': '人气'}}]",0.0000,1.0000,1.0000,0.8571,1.0000,1.0000,0.3333,0.3333,1.0000,1.0000,1.0000,1.3502
在抖音中打开我的客服页面,"[['1', 'open_customer_service(app=""抖音"")']]","[{'name': 'open_customer_service', 'parameters': {'app': '抖音'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7454
在京东中查看拒收快递状态,"[['1', 'open_logistics_receive(app=""京东"", filter_type=""已拒收"")']]","[{'name': 'open_logistics_receive', 'parameters': {'app': '京东', 'filter_type': '已拒收'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1355
在京东中查看发票全部,"[['1', 'open_invoice_page(app=""京东"", page_type=""全部发票"")']]","[{'name': 'open_invoice_page', 'parameters': {'app': '京东', 'page_type': '全部发票'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0595
在京东中打开相机,"[['1', 'open_camera_search(app=""京东"")']]","[{'name': 'open_camera_search', 'parameters': {'app': '京东'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6927
在快手极速版中的商城查看订单,"[['1', 'open_orders_bought(app=""快手极速版"", order_status=""无"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '快手极速版'}}]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8285
在快手商城中搜索实验室显微镜并按价格从高到低排序,"[['1', 'search_goods(app=""快手"", search_info=""实验室显微镜"", order_type=""价格从高到低"")']]","[{'name': 'search_goods', 'parameters': {'app': '快手商城', 'search_info': '实验室显微镜', 'order_type': '价格从高到低'}}]",0.0000,1.0000,1.0000,1.0000,0.8333,0.7778,0.6667,0.6667,0.8889,0.8333,0.8889,1.5561
在拼多多中联系官方客服查看待取件的物流状态,"[['1', 'open_logistics_receive(app=""拼多多"", filter_type=""待取件"")']]","[{'name': 'open_logistics_receive', 'parameters': {'app': '拼多多', 'filter_type': '待取件'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1532
