user_prompt_task,ground_truth,model_output,is_perfect_match,fn_accuracy,required_param_recall,param_f1,param_bleu_1,param_bleu_2,param_bleu_3,param_bleu_4,param_rouge_1,param_rouge_2,param_rouge_l,delay_seconds
在京东中查看待评价订单,"[['1', 'open_orders_bought(app=""京东"", order_status=""待评价"")']]","[['1', 'open_orders_bought(app=""京东"", order_status=""待评价"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9778
在快手中联系官方客服,"[['1', 'open_customer_service(app=""快手"")']]","[['1', 'open_customer_service(app=""快手"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7479
在天猫中打开收藏夹按最近收藏的顺序排列,"[['1', 'open_favorite_goods(app=""天猫"", order_type=""最近收藏在前"", filter_type=""无"")']]","[['2', 'open_favorite_goods(app=""天猫"", filter_type=""无"", order_type=""最近收藏在前"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3531
在闲鱼中查看我的收藏小物件,"[['1', 'open_favorite_goods(app=""闲鱼"", order_type=""无"", filter_type=""无"")']]","[['2', 'open_favorite_goods(app=""闲鱼"", filter_type=""无"", order_type=""无"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2283
在阿里巴巴中查看收藏中的低价补货商品,"[['1', 'open_favorite_goods(app=""阿里巴巴"", order_type=""无"", filter_type=""低价补货"")']]","[['3', 'open_favorite_goods(app=""阿里巴巴"", filter_type=""低价补货"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9779
在抖音火山版中查看商城订单待取件的物流,"[['1', 'open_logistics_receive(app=""抖音火山版"", filter_type=""待取件"")']]","[['1', 'open_logistics_receive(app=""抖音火山版"", filter_type=""待取件"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2019
在抖音火山版中查看商城中待发货商品,"[['1', 'open_orders_bought(app=""抖音火山版"", order_status=""待发货"")']]","[['1', 'open_orders_bought(app=""抖音火山版"", order_status=""待发货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8758
在京东中查看收藏中的下架商品,"[['1', 'open_favorite_goods(app=""京东"", order_type=""无"", filter_type=""下架"")']]","[['3', 'open_favorite_goods(app=""京东"", filter_type=""下架"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.7778
在天猫中查看购物车中的好货,"[['1', 'open_cart_content(app=""天猫"", filter_type=""无"")']]","[['1', 'open_cart_content(app=""天猫"", filter_type=""无"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7911
在闲鱼中查看已卖出的货的收货情况,"[['1', 'open_orders_sold(app=""闲鱼"", order_status=""待收货"")']]","[['2', 'open_orders_sold(app=""闲鱼"", order_status=""待收货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8900
在闲鱼中查看我卖出的宝贝,"[['1', 'open_orders_sold(app=""闲鱼"", order_status=""无"")']]","[['2', 'open_orders_sold(app=""闲鱼"", order_status=""我卖出的"")']]",0.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000,0.0000,0.5000,0.5000,0.5000,0.8901
在闲鱼中查看我淘的宝贝待付款,"[['1', 'open_orders_bought(app=""闲鱼"", order_status=""待付款"")']]","[['1', 'open_orders_bought(app=""闲鱼"", order_status=""待付款"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8893
在天猫中查看退款和售后订单,"[['1', 'open_orders_bought(app=""天猫"", order_status=""退款售后"")']]","[['1', 'search_order(app=""天猫"", search_info=""退款售后"", order_status=""退款售后"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0183
在唯品会中清空搜索记录,"[['1', 'delete_search_history(app=""唯品会"")']]","[['3', 'delete_search_history(app=""唯品会"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6192
"在抖音商城中搜索购物车里的""DIY手工材料","[['1', 'search_cart_content(app=""抖音"", search_info=""DIY手工材料"")']]","[['2', 'search_cart_content(app=""抖音商城"", search_info=""DIY手工材料"")']]",0.0000,1.0000,1.0000,1.0000,0.7500,0.6667,0.5000,0.5000,0.8333,0.7500,0.8333,0.8886
在拼多多中搜索量化交易工具店铺,"[['1', 'search_stores(app=""拼多多"", search_info=""量化交易工具"", order_type=""无 "", filter_type=""无"")']]","[['2', 'search_stores(app=""拼多多"", search_info=""量化交易工具"", order_type=""销量"")']]",0.0000,1.0000,1.0000,0.8571,0.6667,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.0431
在唯品会中搜索手账本按销量排序,"[['1', 'search_goods(app=""唯品会"", search_info=""手账本"", order_type=""销量"")']]","[['1', 'search_goods(app=""唯品会"", search_info=""手账本"", order_type=""销量"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0184
在闲鱼中搜索有机种子，信用高的优先,"[['1', 'search_goods(app=""闲鱼"", search_info=""有机种子"", order_type=""信用"")']]","[['1', 'search_goods(app=""闲鱼"", search_info=""有机种子"", order_type=""信用"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9426
在淘宝中搜索登机箱按销量排序,"[['1', 'search_goods(app=""淘宝"", search_info=""登机箱"", order_type=""销量"")']]","[['1', 'search_goods(app=""淘宝"", search_info=""登机箱"", order_type=""销量"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9424
在淘宝中搜索手账贴纸套装并进行综合排序,"[['1', 'search_goods(app=""淘宝"", search_info=""手账贴纸套装"", order_type=""综合 "")']]","[['1', 'search_goods(app=""淘宝"", search_info=""手账贴纸套装"", order_type=""综合 "")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0446
在拼多多中查找显微镜店铺并按销量排序,"[['1', 'search_stores(app=""拼多多"", search_info=""显微镜"", order_type=""销量"")']]","[['2', 'search_stores(app=""拼多多"", search_info=""显微镜"", order_type=""销量"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9964
在得物中查看想要的园艺花盆,"[['1', 'open_cart_content(app=""得物"", filter_type=""无"")']]","[['1', 'open_cart_content(app=""得物"", filter_type=""无"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7202
在抖音极速版中查找商城店铺的‘校园潮服’按最火的排序,"[['1', 'search_stores(app=""抖音极速版"", search_info=""校园潮服"", order_type=""人气"", filter_type=""无"")']]","[['2', 'search_stores(app=""抖音极速版"", search_info=""校园潮服"", order_type=""人气"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1210
在抖音极速版中的商城查找'诗集',"[['1', 'search_goods(app=""抖音极速版"", search_info=""诗集"", order_type=""无"")']]","[['1', 'search_goods(app=""抖音极速版"", search_info=""诗集"", order_type=""综合 "")']]",0.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.3333,0.3333,0.6667,0.6667,0.6667,1.0215
在京东中查找购物车中的凑单商品,"[['1', 'open_cart_content(app=""京东"", filter_type=""凑单"")']]","[['1', 'search_cart_content(app=""京东"", search_info=""凑单"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7985
在拼多多中查找厨师刀按好评排序,"[['1', 'search_goods(app=""拼多多"", search_info=""厨师刀"", order_type=""好评"")']]","[['1', 'search_goods(app=""拼多多"", search_info=""厨师刀"", order_type=""好评"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9049
在淘宝中使用拍照功能查找复古手链的类似款,"[['1', 'open_camera_search(app=""淘宝"")']]","[['1', 'open_camera_search(app=""淘宝"")'], ['2', 'search_goods(app=""淘宝"", search_info=""复古手链"", order_type=""综合 "")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.5313
在天猫中领取福气红包,"[['1', 'sign_in(app=""天猫"", page_type=""红包"")']]","[['1', 'sign_in(app=""天猫"", page_type=""红包"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7059
在唯品会中查看卡夫卡小说集,"[['1', 'search_goods(app=""唯品会"", search_info=""卡夫卡小说集"", order_type=""无"")']]","[['1', 'search_goods(app=""唯品会"", search_info=""卡夫卡小说集"", order_type=""综合 "")']]",0.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.1751
在闲鱼中搜索我买到的实验设备,"[['1', 'search_order(app=""闲鱼"", search_info=""实验设备"", order_status=""我买到的"")']]","[['1', 'search_order(app=""闲鱼"", search_info=""实验设备"", order_status=""我买到的"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0321
在转转中查找二手诗集并将价格从高到低排序,"[['1', 'search_goods(app=""转转"", search_info=""二手诗集"", order_type=""价格从高到低"")']]","[['1', 'search_goods(app=""转转"", search_info=""二手诗集"", order_type=""价格从高到低"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1711
在闲鱼中查找厨师刀按价格降序排列,"[['1', 'search_goods(app=""闲鱼"", search_info=""厨师刀"", order_type=""价格从高到低"")']]","[['1', 'search_goods(app=""闲鱼"", search_info=""厨师刀"", order_type=""价格从高到低"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1200
在天猫中查找毛线编织手工店,"[['1', 'search_stores(app=""天猫"", search_info=""毛线编织手工店"", order_type=""无"", filter_type=""无"")']]","[['2', 'search_stores(app=""天猫"", search_info=""毛线编织手工店"")']]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,0.8967
在抖音中查找涂鸦工具的订单,"[['1', 'search_order(app=""抖音"", search_info=""涂鸦工具"", order_status=""无"")']]","[['2', 'search_order(app=""抖音"", search_info=""涂鸦工具"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,0.7546
在拼多多中查找按综合排序的搞笑实用的创意厨具店铺,"[['1', 'search_stores(app=""拼多多"", search_info=""创意厨具"", order_type=""综合 "", filter_type=""无"")']]","[['2', 'search_stores(app=""拼多多"", search_info=""搞笑实用的创意厨具"", order_type=""综合 "")']]",0.0000,1.0000,1.0000,0.8571,0.8148,0.7917,0.7619,0.0556,0.8718,0.8485,0.8718,1.1542
在转转中查找买的牡丹花种子订单,"[['1', 'search_order(app=""转转"", search_info=""牡丹花种子"", order_status=""我买到的"")']]","[['1', 'search_order(app=""转转"", search_info=""牡丹花种子"", order_status=""我买到的"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1015
在抖音商城中删除搜索历史,"[['1', 'delete_search_history(app=""抖音"")']]","[['3', 'delete_search_history(app=""抖音商城"")']]",0.0000,1.0000,1.0000,1.0000,0.5000,0.3333,0.0000,0.0000,0.6667,0.5000,0.6667,0.5243
在转转中彻底清理搜索历史,"[['1', 'delete_search_history(app=""转转"")']]","[['3', 'delete_search_history(app=""转转"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5242
在淘宝中查看收藏里即将卖光的商品,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""低库存"")']]","[['1', 'open_favorite_goods(app=""淘宝"", filter_type=""低库存"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,0.7451
在得物中查看我的评价,"[['1', 'open_orders_bought(app=""得物"", order_status=""我的评价"")']]","[['1', 'open_orders_bought(app=""得物"", order_status=""我的评价"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8967
在抖音极速版中的商城查看待收货订单,"[['1', 'open_orders_bought(app=""抖音极速版"", order_status=""待收货"")']]","[['1', 'open_orders_bought(app=""抖音极速版"", order_status=""待收货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9720
在京东中查询我寄出的快递拒收状态,"[['1', 'open_logistics_send(app=""京东"", filter_type=""已拒收"")']]","[['1', 'open_logistics_send(app=""京东"", filter_type=""已拒收"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8702
在淘宝中查看收藏中的不粘锅,"[['1', 'search_in_favorite_goods(app=""淘宝"", search_info=""不粘锅"")']]","[['1', 'search_in_favorite_goods(app=""淘宝"", search_info=""不粘锅"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8723
在闲鱼中查看我的草稿作品,"[['1', 'open_orders_sold(app=""闲鱼"", order_status=""草稿"")']]","[['2', 'open_orders_sold(app=""闲鱼"", order_status=""草稿"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8197
在阿里巴巴中查看待发货订单,"[['1', 'open_orders_bought(app=""阿里巴巴"", order_status=""待发货"")']]","[['1', 'open_orders_bought(app=""阿里巴巴"", order_status=""待发货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8563
在阿里巴巴中搜索'多功能厨具'并将搜索结果按照回头率从高到低排序,"[['1', 'search_goods(app=""阿里巴巴"", search_info=""多功能厨具"", order_type=""回头率从高到低"")']]","[['1', 'search_goods(app=""阿里巴巴"", search_info=""多功能厨具"", order_type=""回头率从高到低"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1553
在阿里巴巴中显示待评价订单,"[['1', 'open_orders_bought(app=""阿里巴巴"", order_status=""待评价"")']]","[['1', 'open_orders_bought(app=""阿里巴巴"", order_status=""待评价"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8299
在阿里巴巴中查找我关注店铺里的旅行收纳包,"[['1', 'search_in_favorite_stores(app=""阿里巴巴"", search_info=""旅行收纳包"")']]","[[""1"", ""search_in_favorite_stores(app='阿里巴巴', search_info='旅行收纳包')""]]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9100
在得物中搜索科学仪器按价格从低到高排序,"[['1', 'search_goods(app=""得物"", search_info=""科学仪器"", order_type=""价格从低到高"")']]","[['1', 'search_goods(app=""得物"", search_info=""科学仪器"", order_type=""价格从低到高"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1448
在得物中搜索涂鸦喷漆,"[['1', 'search_goods(app=""得物"", search_info=""涂鸦喷漆"", order_type=""无"")']]","[['1', 'search_goods(app=""得物"", search_info=""涂鸦喷漆"", order_type=""无"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0698
在抖音中查看商城订单派送中的物流状态,"[['1', 'open_logistics_receive(app=""抖音"", filter_type=""派送中"")']]","[['1', 'open_logistics_receive(app=""抖音"", filter_type=""派送中"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7840
在抖音火山版中查看商城订单运送中的物流状态,"[['1', 'open_logistics_receive(app=""抖音火山版"", filter_type=""运输中"")']]","[['1', 'open_logistics_receive(app=""抖音火山版"", filter_type=""派送中"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8875
在抖音火山版中查看购物车中的便宜商品,"[['1', 'open_cart_content(app=""抖音火山版"", filter_type=""降价"")']]","[['1', 'open_cart_content(app=""抖音火山版"", filter_type=""降价"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7821
在抖音火山版中查看购物车,"[['1', 'open_cart_content(app=""抖音火山版"", filter_type=""无"")']]","[['1', 'open_cart_content(app=""抖音火山版"", filter_type=""无"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7560
在抖音极速版中查看商城订单物流,"[['1', 'open_logistics_receive(app=""抖音极速版"", filter_type=""无"")']]","[['1', 'open_logistics_receive(app=""抖音极速版"", filter_type=""无"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8401
在抖音极速版中打开客服页面,"[['1', 'open_customer_service(app=""抖音极速版"")']]","[['1', 'open_customer_service(app=""抖音极速版"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5845
在抖音极速版中搜索商城店铺的智能投资手表按销量排序,"[['1', 'search_stores(app=""抖音极速版"", search_info=""智能投资手表"", order_type=""销量"")']]","[['2', 'search_stores(app=""抖音极速版"", search_info=""智能投资手表"", order_type=""销量"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0557
在抖音极速版中显示商城订单运送中的物流信息,"[['1', 'open_logistics_receive(app=""抖音极速版"", filter_type=""运输中"")']]","[['1', 'open_logistics_receive(app=""抖音极速版"", filter_type=""派送中"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8778
在抖音极速版中搜索商城店铺‘街头涂鸦工具’按人气排出来,"[['1', 'search_stores(app=""抖音极速版"", search_info=""街头涂鸦工具"", order_type=""人气"", filter_type=""无"")']]","[['2', 'search_stores(app=""抖音极速版"", search_info=""街头涂鸦工具"", order_type=""人气"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0821
在抖音商城中查看便携旅行箱店铺并按销量排序,"[['1', 'search_stores(app=""抖音"", search_info=""便携旅行箱"", order_type=""销量"")']]","[['2', 'search_stores(app=""抖音商城"", search_info=""便携旅行箱"", order_type=""销量"")']]",0.0000,1.0000,1.0000,1.0000,0.8333,0.7778,0.3333,0.3333,0.8889,0.8333,0.8889,1.0284
在抖音商城中查看多功能料理机并按综合排序,"[['1', 'search_goods(app=""抖音"", search_info=""多功能料理机"", order_type=""综合 "")']]","[['1', 'search_goods(app=""抖音商城"", search_info=""多功能料理机"", order_type=""综合 "")']]",0.0000,1.0000,1.0000,1.0000,0.8333,0.7778,0.6667,0.3333,0.8889,0.8333,0.8889,0.9438
在抖音商城中查看玉米种子店铺并按综合排序,"[['1', 'search_stores(app=""抖音"", search_info=""玉米种子"", order_type=""综合 "", filter_type=""无"")']]","[['2', 'search_stores(app=""抖音商城"", search_info=""玉米种子"", order_type=""综合 "")']]",0.0000,1.0000,1.0000,0.8571,0.8333,0.7778,0.6667,0.3333,0.8889,0.8333,0.8889,0.9430
在抖音商城中拍照找同款,"[['1', 'open_camera_search(app=""抖音"")']]","[['1', 'open_camera_search(app=""抖音商城"")']]",0.0000,1.0000,1.0000,1.0000,0.5000,0.3333,0.0000,0.0000,0.6667,0.5000,0.6667,0.5439
在抖音中搜索商城中的店铺行李收纳按人气排序,"[['1', 'search_stores(app=""抖音"", search_info=""行李收纳"", order_type=""人气"", filter_type=""无"")']]","[['2', 'search_stores(app=""抖音"", search_info=""行李收纳"", order_type=""人气"")']]",0.0000,1.0000,1.0000,0.8571,1.0000,1.0000,0.3333,0.3333,1.0000,1.0000,1.0000,0.9414
在抖音中打开我的客服页面,"[['1', 'open_customer_service(app=""抖音"")']]","[['1', 'open_customer_service(app=""抖音"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4674
在京东中查看拒收快递状态,"[['1', 'open_logistics_receive(app=""京东"", filter_type=""已拒收"")']]","[['1', 'open_logistics_receive( app=""京东"", filter_type=""已拒收"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8385
在京东中查看发票全部,"[['1', 'open_invoice_page(app=""京东"", page_type=""全部发票"")']]","[['1', 'open_invoice_page(app=""京东"", page_type=""全部发票"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7391
在京东中打开相机,"[['1', 'open_camera_search(app=""京东"")']]","[['1', 'open_camera_search(app=""京东"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4402
在快手极速版中的商城查看订单,"[['1', 'open_orders_bought(app=""快手极速版"", order_status=""无"")']]","[['1', 'search_order(app=""快手极速版"", search_info=""无"")'], ['2', 'open_orders_bought(app=""快手极速版"", order_status=""无"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5675
在快手商城中搜索实验室显微镜并按价格从高到低排序,"[['1', 'search_goods(app=""快手"", search_info=""实验室显微镜"", order_type=""价格从高到低"")']]","[['1', 'search_goods(app=""快手商城"", search_info=""实验室显微镜"", order_type=""价格从高到低"")']]",0.0000,1.0000,1.0000,1.0000,0.8333,0.7778,0.6667,0.6667,0.8889,0.8333,0.8889,1.1725
在拼多多中联系官方客服查看待取件的物流状态,"[['1', 'open_logistics_receive(app=""拼多多"", filter_type=""待取件"")']]","[['1', 'open_logistics_receive(app=""拼多多"", filter_type=""待取件"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7916
在拼多多中联系客服查看待发货的物流,"[['1', 'open_logistics_receive(app=""拼多多"", filter_type=""待发货"")']]","[['1', 'open_logistics_receive(app=""拼多多"", filter_type=""待发货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7067
在拼多多中显示全部发票,"[['1', 'open_invoice_page(app=""拼多多"", page_type=""全部发票"")']]","[['1', 'open_invoice_page(app=""拼多多"", page_type=""全部发票"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7875
在拼多多中查看申请中发票,"[['1', 'open_invoice_page(app=""拼多多"", page_type=""申请中发票"")']]","[['1', 'open_invoice_page(app=""拼多多"", page_type=""申请中发票"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8617
在淘宝中联系客服,"[['1', 'open_customer_service(app=""淘宝"")']]","[['1', 'open_customer_service(app=""淘宝"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5357
在淘宝中打开发票中心,"[['1', 'open_invoice_page(app=""淘宝"", page_type=""全部发票"")']]","[['1', 'open_invoice_page(app=""淘宝"", page_type=""申请中发票"")']]",0.0000,1.0000,1.0000,1.0000,0.7000,0.6250,0.0000,0.0000,0.7222,0.6429,0.7222,0.8360
