大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
购物-搜索,抖音,帮我搜索一下dy商城直播里面有没有婴儿奶粉。,在dy中的商城直播中搜索婴儿奶粉,在抖音的商城直播中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音,YOYO，快去极速版抖音的商城里找一下三只松鼠这个店铺。,在抖音中搜索商城中的三只松鼠店铺,在抖音中打开商城中的<店铺名>店铺,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音,YoYo，去抖音商城的海尔官方旗舰店里面搜索一下电风扇。,在抖音中商城中的海尔官方旗舰店内搜索电风扇,在抖音中商城中的<店铺名>店铺内搜索<搜索内容>,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音,YOYO，快去抖音极速里面找一找“数码优选”店铺，点开他们的手机配件类别。,在抖音中查找商城中的数码优选店铺的手机配件类别,在抖音中打开商城中的<店铺名>店铺的<类别>类别,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-收藏,抖音,抖音极速版中怎么找到并关注怎么肥四建材店？,在抖音中的商城查找并关注怎么肥四建材店,在抖音中关注商城中的<店铺名>店铺,"[{""name"": ""add_into_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""}]"
购物-搜索,抖音,抖音商城特价里能搜到防晒衣吗？,在抖音中的商城特价搜索防晒衣,在抖音中搜索商城特价中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,我想在抖音视频里找找看商城小时达有没有卖充电宝。,在抖音视频中的商城小时达搜索充电宝,在抖音中搜索商城小时达中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,帮我找找抖音极速版里的商城，搜索蓝牙耳机筛选发货地为北京。,在抖音中的商城搜索蓝牙耳机筛选发货地为北京,在抖音中搜索商城中的<搜索内容>筛选<筛选条件>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,YoYo，在抖音极速版里能打开商城的国家补贴吗？帮我找找有没有卖儿童玩具的。,在抖音中打开商城的国家补贴并查找儿童玩具,在抖音中打开商城的国家补贴并搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-物流,抖音,帮我打开dy商城，查看我最近买的一双运动鞋的物流单号。,在dy中查看商城运动鞋订单的物流单号,在抖音中查看商城<搜索内容>订单的物流单号,"[{""name"": ""open_order_tracking_number(app, search_info_slot)"", ""description"": ""在app中查询指定订单的物流单号""}]"
购物-物流,抖音,YOYO，帮我联系一下抖音极速版里面那个运动鞋订单的快递电话。,在抖音中联系商城运动鞋订单的快递电话,在抖音中拨打商城<搜索内容>订单的快递电话,"[{""name"": ""call_order_courier(app, search_info_slot)"", ""description"": ""在app中拨打指定订单的快递电话""}]"
购物-物流,抖音,YoYo，我在抖音下单的连衣裙订单怎么还没发货，能帮我催一下吗？,在抖音中给商城下单的连衣裙订单催发货,在抖音中给商城<搜索内容>订单催发货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,YoYo，我在抖音极速版商城买的运动鞋什么时候能发货，能催下配送吗？,在抖音中给商城购买的运动鞋订单催配送,在抖音中给商城<搜索内容>订单催配送,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,YoYo，我在抖音极速版中有一笔连衣裙的订单需要确认收货。,在抖音中给商城连衣裙订单确认收货,在抖音中给商城<搜索内容>订单确认收货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-订单,抖音,帮我联系抖音极速版商城客服，要给之前买的那双运动鞋申请换货。,在抖音中给商城运动鞋订单申请换货,在抖音中给商城<搜索内容>订单申请售后,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-订单,抖音,YoYo，帮我用“质量问题”这个原因，在dy给商城买的一件T恤申请换货。,在dy中给商城T恤订单申请换货，原因为质量问题,在抖音中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-评价,抖音,帮我看看抖音极速版里的商城订单，搜索内容是蓝牙耳机，我要写评价。,在抖音中评价商城蓝牙耳机订单,在抖音中评价商城<搜索内容>订单,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,帮我给抖音极速版里的一个订单评个三星吧，搜索内容是保温杯，星级就是三颗星。,在抖音中给商城保温杯订单评三星,在抖音中评价商城<搜索内容>订单且星级为<星级>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,帮我直接在抖音极速版里面给之前买的那件卫衣订单写个评价，内容是“颜色和图片差太多，很失望”。,在抖音中给商城卫衣订单写评价，内容为颜色和图片差太多，很失望,在抖音中评价商城<搜索内容>订单且评价内容为<文本内容>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,在抖音极速版里怎么给我刚收到的手机壳评价并上传图片呀？,在抖音中评价商城手机壳订单并上传图片,在抖音中评价商城<搜索内容>订单并上传图片,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,在抖音极速版里找到我之前买的小米手机壳的订单，帮我评价为5星，并填写评价内容为“非常满意，物超所值”，然后上传一张商品实物图。,在抖音中查找商城小米手机壳订单，评价为5星，填写评价内容为非常满意，物超所值，并上传一张商品实物图,在抖音中评价商城<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-搜索,抖音极速版,在抖音极速里面找一下运动鞋。,在抖音极速中的商城查找运动鞋,在抖音极速版的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音极速版,帮我打开抖音极速里面运动鞋的评论区。,在抖音极速中的商城打开运动鞋的评论区,在抖音极速版的商城中打开<搜索内容>的评论,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音极速版,YoYo，我在极速版抖音搜索了运动鞋，能帮我看看有哪些规格可选吗？,在极速版抖音中的商城查看运动鞋的可选规格,在抖音极速版的商城中打开<搜索内容>的规格,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音极速版,在极速版抖音里能搜到无线蓝牙耳机吗？,在极速版抖音中的商城查找无线蓝牙耳机的详细参数,在抖音极速版的商城中打开<搜索内容>的参数,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音极速版,帮我查一下抖音极速版商城里的运动鞋详情。,在抖音极速版中的商城打开运动鞋的详情,在抖音极速版的商城中打开<搜索内容>的详情,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-搜索,抖音极速版,抖音极速里搜索小米电视送到深圳市南山区科技园A座什么时候能到？,在抖音极速中的商城搜索小米电视送达深圳市南山区科技园A座的时间,在抖音极速版的商城中查看<搜索内容>送达<地址>的时间,"[{""name"": ""search_delivery_time(app, search_info_slot, address_slot)"", ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""}]"
购物-购物车,抖音极速版,在极速版抖音商城中加入购物车儿童防晒衣。,在极速版抖音中的商城把儿童防晒衣加入购物车,在抖音极速版的商城中将<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音极速版,我想在抖音短视频商城里加一双42码的运动鞋到购物车里。,在抖音极速版中的商城把一双42码的运动鞋加入购物车,在抖音极速版的商城中将<规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音极速版,我想在抖音短视频商城里加入2个无线蓝牙耳机到购物车。,在抖音极速版中的商城把2个无线蓝牙耳机加入购物车,在抖音极速版的商城中将<数量>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音极速版,YoYo，帮我把红色无线蓝牙耳机加入抖音短视频商城的购物车，地址是上海市浦东新区张江镇科苑路88号腾讯大厦一楼收发室。,在抖音极速版中的商城把送到上海市浦东新区张江镇科苑路88号腾讯大厦一楼收发室的红色无线蓝牙耳机加入购物车,在抖音极速版的商城中将送至<地址>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音极速版,我在抖音极速版商城看到一款家用榨汁机，能直接加入购物车吗？规格选不锈钢材质的，买2台，送到海淀区中关村大街58号科技大厦B座305号。,在抖音极速版中的商城把一款送到海淀区中关村大街58号科技大厦B座305号的不锈钢材质的家用榨汁机加入购物车,在抖音极速版的商城中将送至<地址>的<数量><规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-下单,抖音极速版,抖音极速版商城里能下单搜索儿童玩具吗？,在抖音极速版中的商城下单维达抽纸,在抖音极速版的商城中下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,抖音极速版里能下单购买42码的运动鞋吗？,在抖音极速版中的商城购买42码的运动鞋,在抖音极速版的商城中下单<规格>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,帮我打开抖音极速版商城，买三盒巧克力。,在抖音极速版中的商城购买三盒巧克力,在抖音极速版的商城中下单<数量>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,我想在抖音极速版里买一双运动鞋送到北京市朝阳区建国门外大街88号金茂府3号楼。,在抖音极速版中的商城购买一双运动鞋送至北京市朝阳区建国门外大街88号金茂府3号楼,在抖音极速版的商城中下单<搜索内容>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,抖音极速里能用花呗付款买手机壳吗？,在抖音极速中的商城用花呗付款购买手机壳,在抖音极速版的商城中用<支付方式>下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,帮我下单1双42码的运动鞋用支付宝支付送到海淀区中关村大街5号院2号楼603室，就在抖音极速里面找。,在抖音极速中的商城下单1双42码的运动鞋用支付宝支付送至海淀区中关村大街5号院2号楼603室,在抖音极速版的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-收藏,抖音极速版,我在极速版抖音里怎么找不到收藏商品的地方啊？,在极速版抖音中的商城收藏维达抽纸,在抖音极速版的商城中收藏<搜索内容>,"[{""name"": ""add_into_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中搜索商品,并将其添加到商品收藏夹中""}]"
购物-搜索,抖音极速版,有没有人在抖音极速版看过卖手机壳的直播？,在抖音极速版的商城中查看卖手机壳直播,在抖音极速版的商城直播中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音极速版,帮我打开抖音极速版里的小米官方店铺。,在抖音极速版中打开商城中的小米官方店铺,在抖音极速版中打开商城中的<店铺名>店铺,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音极速版,帮我去极速版抖音的店铺怎么肥四里面搜下连衣裙。,在极速版抖音中商城中的怎么肥四店铺内搜索连衣裙,在抖音极速版中商城中的<店铺名>店铺内搜索<搜索内容>,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音极速版,我想在极速版抖音的商城里查看一下三只松鼠店铺的零食类商品。,在极速版抖音中查看商城中的三只松鼠店铺的零食类商品,在抖音极速版中打开商城中的<店铺名>店铺的<类别>类别,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-收藏,抖音极速版,帮我打开极速版抖音，去商城里关注一下星月家居这个店铺。,在极速版抖音中的商城关注星月家居店铺,在抖音极速版中关注商城中的<店铺名>店铺,"[{""name"": ""add_into_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""}]"
购物-搜索,抖音极速版,帮我搜索抖音极速版商城特价里的夏季连衣裙。,在抖音极速版中搜索商城特价中的夏季连衣裙,在抖音极速版中搜索商城特价中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音极速版,帮我找找抖音极速里面商城小时达有没有卖充电宝的。,在抖音极速中查找商城小时达中的充电宝,在抖音极速版中搜索商城小时达中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音极速版,帮我搜索抖音极速版里的连衣裙，筛选发货地为广州的商品。,在抖音极速版中搜索商城中的连衣裙，筛选发货地为广州,在抖音极速版中搜索商城中的<搜索内容>筛选<筛选条件>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-物流,抖音极速版,我想在极速版抖音里查一下商城运动鞋订单的物流信息。,在极速版抖音中查看商城运动鞋订单的物流单号,在抖音极速版中查看商城<搜索内容>订单的物流单号,"[{""name"": ""open_order_tracking_number(app, search_info_slot)"", ""description"": ""在app中查询指定订单的物流单号""}]"
购物-物流,抖音极速版,YoYo，我在极速版抖音买的洗发水订单怎么联系快递？,在极速版抖音中联系商城洗发水订单的快递员,在抖音极速版中拨打商城<搜索内容>订单的快递电话,"[{""name"": ""call_order_courier(app, search_info_slot)"", ""description"": ""在app中拨打指定订单的快递电话""}]"
购物-物流,抖音极速版,YoYo，快帮我催一下抖音极速版商城里那双运动鞋订单的发货速度！,在抖音极速版中催促商城运动鞋订单的发货速度,在抖音极速版中给商城<搜索内容>订单催发货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音极速版,抖音极速里我买的那件外套什么时候能发货啊？,在抖音极速中给商城外套订单催配送,在抖音极速版中给商城<搜索内容>订单催配送,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音极速版,在极速版抖音中，我想给商城里那笔买运动鞋的订单确认收货。,在极速版抖音中给商城运动鞋订单确认收货,在抖音极速版中给商城<搜索内容>订单确认收货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-订单,抖音极速版,我想在极速版抖音商城里对购买的运动鞋订单发起售后换货流程。,在极速版抖音中的商城对运动鞋订单发起售后换货流程,在抖音极速版中给商城<搜索内容>订单申请售后,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-订单,抖音极速版,我想在抖音极速版上对商城连衣裙订单申请换货，原因是发货慢。,在抖音极速版中给商城连衣裙订单申请换货且原因为发货慢,在抖音极速版中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-评价,抖音极速版,帮我给抖音极速版里的运动鞋订单写一个好评，内容要真实具体。,在抖音极速版中给商城运动鞋订单写好评,在抖音极速版中评价商城<搜索内容>订单,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
