query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10,标注结果（n=1）,标注结果（n=3）,标注结果（n=5）
请搜索抖音商城中的花店，按销量排序,在$抖音$中的商城搜索花店按销量排序,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.95691497,"search_in_favorite_stores(app, search_info_slot)",0.879195963,"search_cart_content(app, search_info_slot)",0.874085381,"search_order(app, search_info_slot, order_status)",0.824842201,"open_cart_content(app, filter_type, filter_detail_slot)",0.802815463,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.800326041,"open_favorite_stores(app, filter_type)",0.695627362,"sign_in(app, page_type)",0.689251225,open_search_history(app),0.032724189,0,1,1
我想要在抖音商城中按销量排序来搜索花店,在$抖音商城$中搜索花店并按销量排序,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.962119347,"search_cart_content(app, search_info_slot)",0.875160464,"search_in_favorite_stores(app, search_info_slot)",0.868923347,"search_order(app, search_info_slot, order_status)",0.821994753,"open_cart_content(app, filter_type, filter_detail_slot)",0.799014944,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.791040169,"sign_in(app, page_type)",0.691989408,"open_favorite_stores(app, filter_type)",0.680277292,open_search_history(app),0.033433436,0,1,1
请按人气排序搜索抖音商城中的笔记本店,在$抖音$中的商城中搜索笔记本店并按人气排序,search_stores,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.983673329,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.957929593,"search_cart_content(app, search_info_slot)",0.894179057,"search_in_favorite_stores(app, search_info_slot)",0.857328392,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.805838793,"search_order(app, search_info_slot, order_status)",0.799899845,"open_cart_content(app, filter_type, filter_detail_slot)",0.794353208,"sign_in(app, page_type)",0.689031872,open_search_history(app),0.028908054,delete_search_history(app),0.028153593,1,1,1
请搜索抖音商城中的笔记本店，按销量排序,在$抖音$中的商城搜索笔记本店并按销量排序,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.986101966,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.957868035,"search_cart_content(app, search_info_slot)",0.869616281,"search_in_favorite_stores(app, search_info_slot)",0.828227708,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.788667812,"search_order(app, search_info_slot, order_status)",0.776466388,"open_cart_content(app, filter_type, filter_detail_slot)",0.771372644,open_search_history(app),0.028934174,delete_search_history(app),0.028179032,open_camera_search(app),0.025417385,0,1,1
快点儿在抖音商城中按销量排序来搜索笔记本店,在$抖音商城$中搜索笔记本店并按销量排序,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.987584226,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.929689522,"search_cart_content(app, search_info_slot)",0.830084916,"search_in_favorite_stores(app, search_info_slot)",0.786576231,"search_order(app, search_info_slot, order_status)",0.743903578,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.743801722,"open_cart_content(app, filter_type, filter_detail_slot)",0.728745271,open_search_history(app),0.029974254,delete_search_history(app),0.029191968,open_camera_search(app),0.026331049,0,1,1
我想要去抖音的购物车中搜索衣服,在$抖音$中的购物车搜索衣服,search_cart_content,"search_cart_content(app, search_info_slot)",0.999999995,"open_cart_content(app, filter_type, filter_detail_slot)",0.95220555,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.900594414,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.893048444,"search_in_favorite_stores(app, search_info_slot)",0.871697389,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.857390525,"search_order(app, search_info_slot, order_status)",0.83321199,"sign_in(app, page_type)",0.69913374,open_search_history(app),0.053489529,delete_search_history(app),0.052093527,1,1,1
帮我看看抖音的购物车中的衣服,在$抖音$中查看购物车中的衣服,open_cart_content,"open_cart_content(app, filter_type, filter_detail_slot)",0.999999995,"search_cart_content(app, search_info_slot)",0.877752299,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.857821099,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.766110826,"search_order(app, search_info_slot, order_status)",0.756503013,"search_in_favorite_stores(app, search_info_slot)",0.735547028,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.734568769,"open_orders_bought(app, order_status, filter_detail_slot)",0.703628251,"open_favorite_stores(app, filter_type)",0.059727126,"open_logistics_receive(app, filter_type)",0.059711093,1,1,1
请搜索一下衣服，在抖音的购物车中,在$抖音$中的购物车搜索衣服,search_cart_content,"search_cart_content(app, search_info_slot)",0.999999995,"open_cart_content(app, filter_type, filter_detail_slot)",0.95220555,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.900594414,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.893048444,"search_in_favorite_stores(app, search_info_slot)",0.871697389,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.857390525,"search_order(app, search_info_slot, order_status)",0.83321199,"sign_in(app, page_type)",0.69913374,open_search_history(app),0.053489529,delete_search_history(app),0.052093527,1,1,1
在抖音的关注店铺中搜索鞋子,在$抖音$中的关注店铺中搜索鞋子,search_in_favorite_stores,"search_in_favorite_stores(app, search_info_slot)",0.968767519,"search_cart_content(app, search_info_slot)",0.943527579,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.928707267,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.92869336,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.857361145,"open_cart_content(app, filter_type, filter_detail_slot)",0.851340445,"search_order(app, search_info_slot, order_status)",0.847975016,"open_favorite_stores(app, filter_type)",0.8230891,"open_customer_service(app, order_slot, store_slot)",0.738707474,"sign_in(app, page_type)",0.735529006,1,1,1
请搜索鞋子，在抖音关注的店铺中,在$抖音$中搜索鞋子关注的店铺,search_in_favorite_stores,"search_in_favorite_stores(app, search_info_slot)",0.961843188,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.933577101,"search_cart_content(app, search_info_slot)",0.931680238,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.921744228,"search_order(app, search_info_slot, order_status)",0.842785307,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.819945498,"open_cart_content(app, filter_type, filter_detail_slot)",0.81869542,"open_favorite_stores(app, filter_type)",0.818153036,"sign_in(app, page_type)",0.736703367,"open_customer_service(app, order_slot, store_slot)",0.728894015,1,1,1
快去抖音关注的店铺中看一下鞋子,在$抖音$中的关注店铺中查看鞋子,search_in_favorite_stores,"search_in_favorite_stores(app, search_info_slot)",0.947948083,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.923847821,"search_cart_content(app, search_info_slot)",0.921409276,"open_cart_content(app, filter_type, filter_detail_slot)",0.914416089,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.910466265,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.902524671,"open_favorite_stores(app, filter_type)",0.9024682,"search_order(app, search_info_slot, order_status)",0.838915229,"open_orders_bought(app, order_status, filter_detail_slot)",0.799749269,"open_customer_service(app, order_slot, store_slot)",0.772048216,1,1,1
给我在抖音商城中搜索杯子按综合排序,在$抖音商城$中搜索杯子按综合排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.958275935,"search_cart_content(app, search_info_slot)",0.856052967,"search_in_favorite_stores(app, search_info_slot)",0.845198076,"search_order(app, search_info_slot, order_status)",0.818196409,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.793474419,"open_cart_content(app, filter_type, filter_detail_slot)",0.756541967,open_search_history(app),0.032739305,delete_search_history(app),0.031884854,open_camera_search(app),0.028760023,1,1,1
麻烦你在抖音商城中按综合排序搜索杯子,在$抖音商城$中搜索杯子按综合排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.958275935,"search_cart_content(app, search_info_slot)",0.856052967,"search_in_favorite_stores(app, search_info_slot)",0.845198076,"search_order(app, search_info_slot, order_status)",0.818196409,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.793474419,"open_cart_content(app, filter_type, filter_detail_slot)",0.756541967,open_search_history(app),0.032739305,delete_search_history(app),0.031884854,open_camera_search(app),0.028760023,1,1,1
按综合排序找一下杯子，在抖音商城中,在$抖音商城$中查找杯子按综合排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.932910337,"search_cart_content(app, search_info_slot)",0.825661127,"search_in_favorite_stores(app, search_info_slot)",0.813152903,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.805683037,"search_order(app, search_info_slot, order_status)",0.791169302,"open_cart_content(app, filter_type, filter_detail_slot)",0.770473232,"sign_in(app, page_type)",0.676410109,"open_customer_service(app, order_slot, store_slot)",0.02585023,"open_orders_bought(app, order_status, filter_detail_slot)",0.019791447,1,1,1
我要在抖音商城中搜索纸巾按销量排序,在$抖音商城$中搜索纸巾并按销量排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.929169959,"search_cart_content(app, search_info_slot)",0.845729896,"search_in_favorite_stores(app, search_info_slot)",0.805454116,"search_order(app, search_info_slot, order_status)",0.766623587,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.764199959,"open_cart_content(app, filter_type, filter_detail_slot)",0.750877041,"sign_in(app, page_type)",0.683718728,open_search_history(app),0.033433436,delete_search_history(app),0.03256087,1,1,1
给老子在抖音商城中按销量排序搜索纸巾,在$抖音商城$中搜索纸巾并按销量排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.929169959,"search_cart_content(app, search_info_slot)",0.845729896,"search_in_favorite_stores(app, search_info_slot)",0.805454116,"search_order(app, search_info_slot, order_status)",0.766623587,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.764199959,"open_cart_content(app, filter_type, filter_detail_slot)",0.750877041,"sign_in(app, page_type)",0.683718728,open_search_history(app),0.033433436,delete_search_history(app),0.03256087,1,1,1
按销量排序找一下纸巾，在抖音商城中,在$抖音商城$中查找纸巾并按销量排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.902955284,"search_cart_content(app, search_info_slot)",0.813303357,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.771390473,"search_in_favorite_stores(app, search_info_slot)",0.771068289,"open_cart_content(app, filter_type, filter_detail_slot)",0.75768106,"search_order(app, search_info_slot, order_status)",0.732658343,"sign_in(app, page_type)",0.678907912,"open_customer_service(app, order_slot, store_slot)",0.026488566,"open_orders_bought(app, order_status, filter_detail_slot)",0.020280169,1,1,1
我想在抖音的商城中搜索汽水按价格从低到高排序,在$抖音$中的商城搜索汽水按价格从低到高排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.816978847,"search_cart_content(app, search_info_slot)",0.75732348,"search_in_favorite_stores(app, search_info_slot)",0.738973148,"search_order(app, search_info_slot, order_status)",0.713098357,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.702505712,"open_cart_content(app, filter_type, filter_detail_slot)",0.68165473,"open_logistics_receive(app, filter_type)",0.020061872,open_search_history(app),0.017980556,delete_search_history(app),0.017511288,1,1,1
快点儿在抖音的商城中按价格从低到高排序搜索汽水,在$抖音$中的商城搜索汽水并按价格从低到高排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.835866665,"search_cart_content(app, search_info_slot)",0.777990496,"search_in_favorite_stores(app, search_info_slot)",0.759700007,"search_order(app, search_info_slot, order_status)",0.727932105,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.71263576,"open_cart_content(app, filter_type, filter_detail_slot)",0.691993692,"open_logistics_receive(app, filter_type)",0.020061872,open_search_history(app),0.017980556,delete_search_history(app),0.017511288,1,1,1
请按价格从低到高的排序搜索汽水，在抖音商城中,在$抖音商城$中搜索汽水并按价格从低到高排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.814280058,"search_cart_content(app, search_info_slot)",0.757621542,"search_in_favorite_stores(app, search_info_slot)",0.730629915,"search_order(app, search_info_slot, order_status)",0.700046409,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.689813951,"open_cart_content(app, filter_type, filter_detail_slot)",0.6743544,open_search_history(app),0.01819261,delete_search_history(app),0.017717808,"open_logistics_receive(app, filter_type)",0.017131161,1,1,1
我想在抖音的商城中搜索台灯按价格从高到低排序,在$抖音$中的商城搜索台灯按价格从高到低排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.780962923,"search_cart_content(app, search_info_slot)",0.702644502,"search_in_favorite_stores(app, search_info_slot)",0.684757242,"search_order(app, search_info_slot, order_status)",0.668644178,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.65122859,"open_cart_content(app, filter_type, filter_detail_slot)",0.619566128,open_search_history(app),0.019227408,delete_search_history(app),0.018725599,open_camera_search(app),0.016890423,1,1,1
快点去在抖音的商城中按价格从高到低排序搜索台灯,在$抖音$中的商城搜索台灯按价格从高到低排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.780962923,"search_cart_content(app, search_info_slot)",0.702644502,"search_in_favorite_stores(app, search_info_slot)",0.684757242,"search_order(app, search_info_slot, order_status)",0.668644178,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.65122859,"open_cart_content(app, filter_type, filter_detail_slot)",0.619566128,open_search_history(app),0.019227408,delete_search_history(app),0.018725599,open_camera_search(app),0.016890423,1,1,1
请按价格从高到低的排序搜索台灯，在抖音商城中,在$抖音商城$中搜索台灯按价格从高到低排序,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.79292443,"search_cart_content(app, search_info_slot)",0.716043697,"search_in_favorite_stores(app, search_info_slot)",0.693954836,"search_order(app, search_info_slot, order_status)",0.67320129,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.652615024,"open_cart_content(app, filter_type, filter_detail_slot)",0.621288754,open_search_history(app),0.01947009,delete_search_history(app),0.018961947,open_camera_search(app),0.017103608,1,1,1
我想在抖音中搜索足球订单,在$抖音$中搜索足球订单,search_order,"search_order(app, search_info_slot, order_status)",0.999999995,"search_cart_content(app, search_info_slot)",0.866077233,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.852604875,"search_in_favorite_stores(app, search_info_slot)",0.841221618,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.829113717,"open_cart_content(app, filter_type, filter_detail_slot)",0.812927807,"open_orders_bought(app, order_status, filter_detail_slot)",0.811319486,"sign_in(app, page_type)",0.754501856,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.745730868,"open_customer_service(app, order_slot, store_slot)",0.732318551,1,1,1
请搜索一下足球的订单，在抖音中,在$抖音$中搜索足球订单,search_order,"search_order(app, search_info_slot, order_status)",0.999999995,"search_cart_content(app, search_info_slot)",0.866077233,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.852604875,"search_in_favorite_stores(app, search_info_slot)",0.841221618,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.829113717,"open_cart_content(app, filter_type, filter_detail_slot)",0.812927807,"open_orders_bought(app, order_status, filter_detail_slot)",0.811319486,"sign_in(app, page_type)",0.754501856,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.745730868,"open_customer_service(app, order_slot, store_slot)",0.732318551,1,1,1
请帮我在抖音订单中搜索一下足球,在$抖音$中的订单搜索足球,search_order,"search_order(app, search_info_slot, order_status)",0.999999995,"search_cart_content(app, search_info_slot)",0.851535192,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.836392309,"search_in_favorite_stores(app, search_info_slot)",0.817593026,"open_orders_bought(app, order_status, filter_detail_slot)",0.81305256,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.812049836,"open_cart_content(app, filter_type, filter_detail_slot)",0.806810807,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.778752419,"open_logistics_receive(app, filter_type)",0.723640343,open_search_history(app),0.719254593,1,1,1
立刻去抖音极速版中搜索运动鞋,在$抖音极速版$中搜索运动鞋,search_goods,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.986782279,"search_order(app, search_info_slot, order_status)",0.961709256,"search_cart_content(app, search_info_slot)",0.941128002,"open_cart_content(app, filter_type, filter_detail_slot)",0.911527944,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.908497484,"search_in_favorite_stores(app, search_info_slot)",0.886119957,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.866485382,"sign_in(app, page_type)",0.84898275,open_search_history(app),0.780186375,"open_customer_service(app, order_slot, store_slot)",0.758291362,1,1,1
