大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
购物-搜索,抖音,在抖音的商城直播里搜一下雅诗兰黛口红，行不行啊yoyo？,在抖音中的商城直播中搜索雅诗兰黛口红,在抖音的商城直播中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音,yoyo帮忙打开抖音的商城中的小米官方旗舰店，可以吗？,在抖音中打开商城的小米官方旗舰店,在抖音中打开商城中的<店铺名>店铺,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-搜索,抖音,傻yoyo，帮你爹在抖音的商城的苹果官方旗舰店搜一下iPhone 15Pro，好吗？,在抖音中商城中的苹果官方旗舰店店铺内搜索iPhone 15Pro,在抖音中商城中的<店铺名>店铺内搜索<搜索内容>,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音,帮老子打开抖音的商城中安踏官方店的运动鞋类别，谢谢？,在抖音中打开商城中的安踏官方店的运动鞋类别,在抖音中打开商城中的<店铺名>店铺的<类别>类别,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-收藏,抖音,你爹我需要关注抖音的商城中的无印良品店铺，能做到吗？,在抖音中关注商城中的无印良品店铺,在抖音中关注商城中的<店铺名>店铺,"[{""name"": ""add_into_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""}]"
购物-搜索,抖音,宇宙无敌美少女需要在抖音搜索商城特价中的奥妙洗衣液，能找到吗？,在抖音中搜索商城特价中的奥妙洗衣液,在抖音中搜索商城特价中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,我渴死了，帮我抖音的商城小时达里搜搜可口可乐，行不？,在抖音中搜索商城小时达中的可口可乐,在抖音中搜索商城小时达中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,小仙女我要在抖音的商城搜一下华为Pura70，筛选销量高的，可以吗？,在抖音中搜索商城中的华为Pura70筛选销量高的,在抖音中搜索商城中的<搜索内容>筛选<筛选条件>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音,起床了，帮我打开抖音的商城的国家补贴，搜一下美的空调，能办到吗？,在抖音中打开商城的国家补贴并搜索美的空调,在抖音中打开商城的国家补贴并搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-物流,抖音,哦，差点忘记查看抖音的商城中九阳豆浆机订单的物流单号，没问题吧？,在抖音中查看商城九阳豆浆机订单的物流单号,在抖音中查看商城<搜索内容>订单的物流单号,"[{""name"": ""open_order_tracking_number(app, search_info_slot)"", ""description"": ""在app中查询指定订单的物流单号""}]"
购物-物流,抖音,抖音的商城中联想电脑订单那什么快递电话，帮我拨打一下,在抖音中拨打商城联想电脑订单的快递电话,在抖音中拨打商城<搜索内容>订单的快递电话,"[{""name"": ""call_order_courier(app, search_info_slot)"", ""description"": ""在app中拨打指定订单的快递电话""}]"
购物-物流,抖音,帮我给抖音的商城中资生堂洗面奶订单催一下发货，谢谢啦？,在抖音中给商城中的资生堂洗面奶订单催发货,在抖音中给商城<搜索内容>订单催发货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,抖音的商城中耐克运动鞋订单，怎么还不配送啊？,在抖音中给商城中的耐克运动鞋订单催配送,在抖音中给商城<搜索内容>订单催配送,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,抖音的商城中的小米手环订单帮我确认收货,在抖音中给商城中的小米手环订单确认收货,在抖音中给商城<搜索内容>订单确认收货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-订单,抖音,抖音的商城中vivo手机订单太垃圾了，申请售后吧,在抖音中给商城中的vivo手机订单申请售后,在抖音中给商城<搜索内容>订单申请售后,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-订单,抖音,抖音的商城中格力风扇订单尺寸太小了，帮我退了,在抖音中给商城中的格力风扇订单申请退货且原因为尺寸不合适,在抖音中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-评价,抖音,yoyo，评价一下抖音的商城中的欧舒丹护手霜订单,在抖音中评价商城中的欧舒丹护手霜订单,在抖音中评价商城<搜索内容>订单,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,抖音的商城中的珀莱雅面霜订单打个五星好评吧,在抖音中评价商城中的珀莱雅面霜订单且星级为5星,在抖音中评价商城<搜索内容>订单且星级为<星级>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,"帮我评价抖音的商城中的植村秀砍刀眉笔订单，内容为“很好用，上色均匀""啊",在抖音中评价商城中的植村秀砍刀眉笔订单且评价内容为“很好用，上色均匀”,在抖音中评价商城<搜索内容>订单且评价内容为<文本内容>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,给抖音的商城中的良品铺子坚果礼盒订单评价一张图,在抖音中评价商城中的良品铺子坚果礼盒订单并上传图片,在抖音中评价商城<搜索内容>订单并上传图片,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,评价抖音的商城中的雅顿粉胶订单打个四星内容是“吸收很快”，再上传图片,在抖音中评价商城中的雅顿粉胶订单，星级为4星，评价内容为“吸收很快”，并上传图片,在抖音中评价商城<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-搜索,抖音极速版,在抖音极速版商城搜一下汰渍洗衣粉啊,在抖音极速版中的商城搜索汰渍洗衣粉,在抖音极速版的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音极速版,在抖音极速版商城打开蓝月亮洗衣液,在抖音极速版中的商城打开蓝月亮洗衣液,在抖音极速版的商城中打开<搜索内容>,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音极速版,在抖音极速版商城打开兰芝唇膜的评论好吧？,在抖音极速版中的商城打开兰芝唇膜的评论,在抖音极速版的商城中打开<搜索内容>的评论,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音极速版,帮我再抖音极速版商城里打开SK-II神仙水的规格啊？,在抖音极速版中的商城打开SK-II神仙水的规格,在抖音极速版的商城中打开<搜索内容>的规格,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音极速版,能帮我在抖音极速版商城打开苹果iPhone15的参数页面啊？,在抖音极速版中的商城打开苹果iPhone15的参数,在抖音极速版的商城中打开<搜索内容>的参数,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音极速版,在抖音极速版商城里打开美的变频空调的详情页呗？,在抖音极速版中的商城打开美的变频空调的详情,在抖音极速版的商城中打开<搜索内容>的详情,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-搜索,抖音极速版,看一下抖音极速版商城中小米手环8送到上海的时间好吧？,在抖音极速版中的商城查看小米手环8送达上海的时间,在抖音极速版的商城中查看<搜索内容>送达<地址>的时间,"[{""name"": ""search_delivery_time(app, search_info_slot, address_slot)"", ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""}]"
购物-购物车,抖音极速版,在抖音极速版商城把兰蔻小黑瓶精华加入购物车咯,在抖音极速版中的商城把兰蔻小黑瓶精华加入购物车,在抖音极速版的商城中将<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音极速版,能帮我在抖音极速版商城将500ml的海飞丝洗发水加入购物车吗？,在抖音极速版中的商城把500ml的海飞丝洗发水加入购物车,在抖音极速版的商城中将<规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音极速版,在抖音极速版商城把3件南极人保暖内衣加入一下购物车。,在抖音极速版中的商城把3件的南极人保暖内衣加入购物车,在抖音极速版的商城中将<数量>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音极速版,请在抖音极速版商城将送到广州花都去的欧莱雅面霜加入购物车吧。,在抖音极速版中的商城把送至广州花都的欧莱雅面霜加入购物车,在抖音极速版的商城中将送至<地址>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音极速版,在抖音极速版商城把送到深圳南山的2瓶500ml的农夫山泉加入购物车可以吗？,在抖音极速版中的商城把送至深圳的2瓶500ml的农夫山泉加入购物车,在抖音极速版的商城中将送至<地址>的<数量><规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-下单,抖音极速版,yoyo在抖音极速版商城下单雅诗兰黛眼霜。,在抖音极速版中的商城下单雅诗兰黛眼霜,在抖音极速版的商城中下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,yoyo抖音极速版商城下单L码的优衣库T恤。,在抖音极速版中的商城下单L码的优衣库T恤,在抖音极速版的商城中下单<规格>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,我需要你在抖音极速版商城下单4盒蒙牛纯牛奶啊？,在抖音极速版中的商城下单4盒蒙牛纯牛奶,在抖音极速版的商城中下单<数量>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,yoyo在抖音极速版商城下单华为手机然后送到杭州。,在抖音极速版中的商城下单华为手机送至杭州,在抖音极速版的商城中下单<搜索内容>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,yoyo在抖音极速版商城买个SK-II护肤精华露用微信支付。,在抖音极速版中的商城用微信支付下单SK-II护肤精华露,在抖音极速版的商城中用<支付方式>下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音极速版,在抖音极速版商城用支付宝下单3个500g的新疆阿克苏苹果送到成都呗？,在抖音极速版中的商城下单3个500g的新疆阿克苏苹果用支付宝送至成都,在抖音极速版的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-收藏,抖音极速版,在抖音极速版商城收藏一下安踏运动鞋,在抖音极速版中的商城收藏安踏运动鞋,在抖音极速版的商城中收藏<搜索内容>,"[{""name"": ""add_into_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中搜索商品,并将其添加到商品收藏夹中""}]"
购物-搜索,抖音极速版,抖音极速版商城直播里帮我搜索一下九阳破壁机呗？,在抖音极速版中的商城直播中搜索九阳破壁机,在抖音极速版的商城直播中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音极速版,我需要你在抖音极速版中打开商城中的三只松鼠店铺。,在抖音极速版中打开商城中的三只松鼠店铺,在抖音极速版中打开商城中的<店铺名>店铺,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-搜索,抖音极速版,抖音极速版商城中帮我在小米官方旗舰店搜索红米K60吗？,在抖音极速版中商城中的小米官方旗舰店搜索红米K60,在抖音极速版中商城中的<店铺名>店铺内搜索<搜索内容>,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音极速版,抖音极速版商城帮我打开阿迪达斯店铺的运动裤类别呗。,在抖音极速版中打开商城中的阿迪达斯店铺的运动裤类别,在抖音极速版中打开商城中的<店铺名>店铺的<类别>类别,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-收藏,抖音极速版,yoyo，帮我在抖音极速版商城关注耐克店铺好吧？,在抖音极速版中关注商城中的耐克店铺,在抖音极速版中关注商城中的<店铺名>店铺,"[{""name"": ""add_into_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""}]"
购物-搜索,抖音极速版,在抖音极速版商城特价里帮我搜搜羽绒服？,在抖音极速版中搜索商城特价中的羽绒服,在抖音极速版中搜索商城特价中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音极速版,能在抖音极速版商城小时达里搜搜面包吗？,在抖音极速版中搜索商城小时达中的面包,在抖音极速版中搜索商城小时达中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音极速版,在抖音极速版商城搜搜牛仔裤，帮我筛选下蓝色的。,在抖音极速版中搜索商城的牛仔裤筛选蓝色的,在抖音极速版中搜索商城中的<搜索内容>筛选<筛选条件>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-物流,抖音极速版,帮我在抖音极速版商城查看华为P60订单的物流单号。,在抖音极速版中查看商城华为P60订单的物流单号,在抖音极速版中查看商城<搜索内容>订单的物流单号,"[{""name"": ""open_order_tracking_number(app, search_info_slot)"", ""description"": ""在app中查询指定订单的物流单号""}]"
购物-物流,抖音极速版,我需要你能在抖音极速版商城拨打美的电饭煲订单的快递电话吗？,在抖音极速版中拨打商城美的电饭煲订单的快递电话,在抖音极速版中拨打商城<搜索内容>订单的快递电话,"[{""name"": ""call_order_courier(app, search_info_slot)"", ""description"": ""在app中拨打指定订单的快递电话""}]"
购物-物流,抖音极速版,yoyo，在抖音极速版商城帮我给安踏运动鞋订单催一下发货。,在抖音极速版中给商城安踏运动鞋订单催发货,在抖音极速版中给商城<搜索内容>订单催发货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音极速版,在抖音极速版商城帮我给戴尔笔记本电脑订单催一下配送吧？,在抖音极速版中给商城戴尔笔记本电脑订单催配送,在抖音极速版中给商城<搜索内容>订单催配送,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音极速版,帮我在抖音极速版商城给苹果AirPods订单确认收货。,在抖音极速版中给商城苹果AirPods订单确认收货,在抖音极速版中给商城<搜索内容>订单确认收货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-订单,抖音极速版,我需要在抖音极速版商城给我的索尼耳机申请售后,在抖音极速版中给商城索尼耳机订单申请售后,在抖音极速版中给商城<搜索内容>订单申请售后,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-订单,抖音极速版,请在抖音极速版商城帮我给联想电脑尺寸太小了，帮我退一下,在抖音极速版中给商城联想电脑订单申请退货且原因为尺寸不符,在抖音极速版中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-评价,抖音极速版,帮我在抖音极速版商城的海底捞自热火锅订单给一下评价,在抖音极速版中评价商城海底捞自热火锅订单,在抖音极速版中评价商城<搜索内容>订单,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
