大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
购物-搜索,抖音,在抖音中搜索商城里的“智能手表”，记得按销量排序哦。,在抖音中搜索商城里的“智能手表”按销量排序,在抖音中搜索商城中的<搜索内容>按销量排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音,嘿YOYO，帮我找到抖音商城里的瑜伽垫，按价格升序排列。,在抖音商城中查找瑜伽垫按价格升序排列,在抖音中搜索商城中的<搜索内容>按价格从低到高排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音,在抖音中搜索商城中的户外野餐篮，并按照价格从低到高排序。,在抖音中搜索商城中的户外野餐篮并按价格从低到高排序,在抖音中搜索商城中的<搜索内容>按价格从低到高排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音,嘿YOYO，帮我打开抖音，在商城里搜一下“复古风家居装饰”，然后按价格降序排列。,在抖音中搜索商城里的“复古风家居装饰”按价格降序排列,在抖音中搜索商城中的<搜索内容>按价格从高到低排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音,在抖音里面给我找找“户外运动装备”，记得按照价格从贵到便宜排。,在抖音中查找并按价格从高到低排序“户外运动装备”,在抖音中搜索商城中的<搜索内容>按价格从高到低排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音,嘿YOYO，帮我看看抖音里有没有关于“环保生活小技巧”的视频,在抖音中查看“环保垃圾袋”的订单,在抖音中搜索<搜索内容>订单,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,抖音,抖音上搜一下“智能手表评测”,在抖音中搜索“智能手表”订单,在抖音中搜索<搜索内容>订单,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，帮我查一下抖音极速版商城里的“复古相机”吧。,在抖音极速版中的商城查看复古相机,在抖音极速版的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版的商城中快速找到“智能手表”。,在抖音极速版中的商城查找“智能手表”,在抖音极速版的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，帮我找到抖音极速版里的那个卖复古相机配件的店铺吧。,在抖音极速版中查找卖复古相机配件的店铺,在抖音极速版中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版中快速定位到那个叫‘智能生活小工具’的商城店铺。,在抖音极速版中定位智能生活小工具的商城店铺,在抖音极速版中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，在抖音极速版的商城店铺里帮我搜一下“复古风家居装饰”，按综合排序。,在抖音极速版中的商城店铺搜索“复古风家居装饰”按综合排序,在抖音极速版中搜索商城店铺<搜索内容>按综合排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,YOYO，打开抖音极速版，去商城店铺搜索“智能健康手环”，记得选综合排序哦。,在抖音极速版中的商城店铺搜索“智能健康手环”并选择综合排序,在抖音极速版中搜索商城店铺<搜索内容>按综合排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，在抖音极速版的商城店铺里帮我找找‘复古风家居装饰’，按销量排。,在抖音极速版中的商城店铺查找‘复古风家居装饰’按销量排列,在抖音极速版中搜索商城店铺<搜索内容>按销量排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,YOYO，打开抖音极速版，去商城店铺搜‘智能手表’，记得按销量排序哦。,在抖音极速版中的商城店铺搜索智能手表按销量排序,在抖音极速版中搜索商城店铺<搜索内容>按销量排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，帮我找到抖音极速版里的那个卖复古相机配件的店铺，按人气排。,在抖音极速版中查找卖复古相机配件的店铺并按人气排序,在抖音极速版中搜索商城店铺<搜索内容>按人气排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版中搜索商城店铺，关键词是‘智能手表’，记得按人气排序哦。,在抖音极速版中搜索商城店铺，关键词是智能手表并按人气排序,在抖音极速版中搜索商城店铺<搜索内容>按人气排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，帮我看看抖音极速版里的购物车有没有“复古风家居装饰”,在抖音极速版中查找购物车中的“复古风家居装饰”,在抖音极速版中搜索商城购物车中的<搜索内容>,"[{""name"": ""search_cart_content(app, search_info_slot)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版中查找我的购物车里是否有“智能语音助手,在抖音极速版中查找我的购物车中的智能语音助手,在抖音极速版中搜索商城购物车中的<搜索内容>,"[{""name"": ""search_cart_content(app, search_info_slot)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，帮我看看抖音极速版里的关注店铺有没有更新的瑜伽装备,在抖音极速版中查看关注店铺中的瑜伽装备更新,在抖音极速版中搜索商城关注店铺中的<搜索内容>,"[{""name"": ""search_in_favorite_stores(app, search_info_slot)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版中查找我关注的店铺里有没有新的户外露营用品,在抖音极速版中查找我关注的店铺中的新的户外露营用品,在抖音极速版中搜索商城关注店铺中的<搜索内容>,"[{""name"": ""search_in_favorite_stores(app, search_info_slot)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，在抖音极速版的商城里帮我搜一下“复古风家居装饰”，按综合排序显示。,在抖音极速版中的商城搜索“复古风家居装饰”按综合排序显示,在抖音极速版中搜索商城中的<搜索内容>按综合排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,YOYO，打开抖音极速版，去商城搜索“智能手环”，记得选综合排序哦。,在抖音极速版中的商城搜索智能手环并选择综合排序,在抖音极速版中搜索商城中的<搜索内容>按综合排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，帮我打开抖音极速版，在商城里找找‘复古风家居装饰’，销量高的优先。,在抖音极速版中的商城查找‘复古风家居装饰’按销量排序,在抖音极速版中搜索商城中的<搜索内容>按销量排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版的商城中搜索‘智能运动手表’，记得按销量排序哦。,在抖音极速版中的商城搜索‘智能运动手表’按销量排序,在抖音极速版中搜索商城中的<搜索内容>按销量排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，在抖音极速版的商城里帮我找到一些关于瑜伽垫的东西，记得按价格从低到高排。,在抖音极速版中的商城查找关于瑜伽垫的东西并按照价格由低到高排序,在抖音极速版中搜索商城中的<搜索内容>按价格从低到高排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版中，去商城看看有没有适合学生用的笔记本电脑，价格从低到高排列。,在抖音极速版中的商城查找适合学生用的笔记本电脑按价格从低到高排列,在抖音极速版中搜索商城中的<搜索内容>按价格从低到高排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，帮我打开抖音极速版，在商城里搜寻一下“复古风家具”，然后把价格高的排在前面。,在抖音极速版中的商城搜索“复古风家具”并按照价格从高到低排序,在抖音极速版中搜索商城中的<搜索内容>按价格从高到低排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版的商城中查找“智能手表”，并按照价格降序排列。,在抖音极速版中的商城查找“智能手表”并按价格降序排列“智能手表”,在抖音极速版中搜索商城中的<搜索内容>按价格从高到低排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,嘿YOYO，帮我查一下抖音极速版里的“复古风家居装饰”订单,在抖音极速版中查看“复古风家居装饰”订单,在抖音极速版中搜索<搜索内容>订单,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,抖音极速版,在抖音极速版中搜索“智能手表”订单,在抖音极速版中搜索“智能手表”订单,在抖音极速版中搜索<搜索内容>订单,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,快手,嘿YOYO，在快手中的商城里帮我找找‘复古风家居装饰’吧。,在快手中的商城查找‘复古风家居装饰’,在快手中搜索商城中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,YOYO，快手商城里的‘智能手表’给我搜一下。,在快手商城中搜索智能手表,在快手中搜索商城中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,嘿YOYO，帮我快手商城里找找那个最近很火的手工皂店铺吧,在快手商城中查找最近很火的手工皂店铺,在快手中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,快手里搜索一下商城店铺，看看有没有卖那种复古相机的,在快手中搜索商城店铺中查找售卖复古相机,在快手中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,嘿YOYO，在快手中的商城里帮我找到一些关于瑜伽装备的东西，按照综合排序。,在快手中的商城查找关于瑜伽装备的内容并按综合排序,在快手中搜索商城中的<搜索内容>按综合排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,快手商城里有没有最新的科技产品？给我按综合排序看看。,在快手商城中查看最新的科技产品并按综合排序,在快手中搜索商城中的<搜索内容>按综合排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,嘿YOYO，帮我快手商城搜一下最新的瑜伽垫，销量高的。,在快手商城中搜索最新的高销量瑜伽垫,在快手中搜索商城中的<搜索内容>按销量排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,快手里面商城的运动鞋，按销量给我排一下。,在快手中的商城按销量查看运动鞋,在快手中搜索商城中的<搜索内容>按销量排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,嘿YOYO，在快手中的商城里帮我找到一些关于瑜伽垫的东西，记得按价格从低到高排。,在快手中的商城查找关于瑜伽垫的内容并按照价格从低到高排序,在快手中搜索商城中的<搜索内容>按价格从低到高排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,YOYO，快手商城里的户外运动装备，特别是帐篷，给我按价格升序排列一下。,在快手商城中按价格升序排列户外运动装备特别是帐篷,在快手中搜索商城中的<搜索内容>按价格从低到高排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,嘿YOYO，在快手中的商城里帮我找到最新的时尚女装，然后按照价格降序排列。,在快手中的商城查找最新的时尚女装并按照价格降序排列,在快手中搜索商城中的<搜索内容>按价格从高到低排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,YOYO，快手商城里的户外运动装备给我搜一下，记得按价格从高到低排好。,在快手商城中搜索户外运动装备并按价格从高到低排序,在快手中搜索商城中的<搜索内容>按价格从高到低排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手,嘿YOYO，帮我查一下快手上的“有机蔬菜”订单,在快手中查看“有机蔬菜”的订单,在快手中搜索<搜索内容>订单,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,快手,快手里有没有“股票入门教程”的相关订单？,在快手中查找“股票入门教程”的相关订单,在快手中搜索<搜索内容>订单,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,嘿YOYO，在快手极速版的商城里帮我找找‘复古风连衣裙’吧。,在快手极速版中的商城查找‘复古风连衣裙’,在快手极速版中搜索商城中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,快手极速版商城里有没有‘智能手环’？,在快手极速版中的商城查看智能手环,在快手极速版中搜索商城中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,嘿YOYO，在快手极速版帮我找到那个卖复古风衣的商城店铺吧。,在快手极速版中查找卖复古风衣的商城店铺,在快手极速版中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,快手极速版里，搜索商城店铺‘户外运动装备’。,在快手极速版中搜索商城店铺‘户外运动装备’,在快手极速版中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,嘿YOYO，在快手极速版的商城里帮我找找‘复古风家居装饰’，按综合排序。,在快手极速版中的商城查找‘复古风家居装饰’按综合排序,在快手极速版中搜索商城中的<搜索内容>按综合排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,YOYO，打开快手极速版，去商城搜索‘户外运动装备’，记得选综合排序哦。,在快手极速版中的商城搜索'户外运动装备'并选择综合排序,在快手极速版中搜索商城中的<搜索内容>按综合排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,嘿YOYO，在快手极速版的商城里帮我找找销量最高的瑜伽垫,在快手极速版中的商城查找销量最高的瑜伽垫,在快手极速版中搜索商城中的<搜索内容>按销量排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,YOYO，打开快手极速版，去商城搜索电动牙刷，并按销量排序,在快手极速版中的商城搜索电动牙刷按销量排序,在快手极速版中搜索商城中的<搜索内容>按销量排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,嘿YOYO，在快手极速版的商城里帮我找找‘复古风家居装饰’，按价格从低到高排。,在快手极速版中的商城查找‘复古风家居装饰’按价格从低到高排序,在快手极速版中搜索商城中的<搜索内容>按价格从低到高排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,YOYO，打开快手极速版，去商城搜索‘户外运动装备’，记得按价格升序排列哦。,在快手极速版中的商城搜索户外运动装备按价格升序排列,在快手极速版中搜索商城中的<搜索内容>按价格从低到高排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,嘿YOYO，在快手极速版的商城里帮我找找‘复古风家居装饰’，然后按价格降序排列。,在快手极速版中的商城查找‘复古风家居装饰’并按价格降序排列,在快手极速版中搜索商城中的<搜索内容>按价格从高到低排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,YOYO，打开快手极速版，去商城搜‘智能手表’，记得把结果按照价格从贵到便宜排一下。,在快手极速版中的商城搜索智能手表并按照价格从高到低排序,在快手极速版中搜索商城中的<搜索内容>按价格从高到低排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,嘿YOYO，在快手极速版里帮我找到那件我上次看中的羊毛大衣吧。,在快手极速版中查找我上次看中的羊毛大衣订单,在快手极速版中搜索<搜索内容>订单,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,快手极速版,YOYO，快去快手极速版给我搜一下那个复古相机订单。,在快手极速版中搜索复古相机订单,在快手极速版中搜索<搜索内容>订单,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,嘿YOYO，帮我查一下拼多多上的复古风口红,在拼多多中查看复古风口红,在拼多多中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,在拼多多上搜索一下智能保温杯,在拼多多中搜索智能保温杯,在拼多多中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,嘿YOYO，帮我找到拼多多上卖复古风衣的店铺吧。,在拼多多的店铺中查找售卖复古风衣的,在拼多多的店铺中搜索<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,YOYO，在拼多多的店铺中查找智能手表。,在拼多多的店铺中查找卖智能手表的,在拼多多的店铺中搜索<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,嘿YOYO，帮我看看拼多多上有没有关于瑜伽垫的东西,在拼多多的订单中查看瑜伽垫,在拼多多的订单中搜索<搜索内容>,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,在拼多多的订单里找找那个保温杯,在拼多多中查找订单中的保温杯,在拼多多的订单中搜索<搜索内容>,"[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,嘿YOYO，帮我看看拼多多里的收藏夹有没有关于‘复古相机’的东西,在拼多多中查找收藏夹中的复古相机相关内容,在拼多多中搜索商品收藏中的<搜索内容>,"[{""name"": ""search_in_favorite_goods(app, search_info_slot)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,YOYO，在拼多多的商品收藏中查找‘智能手表’,在拼多多中查找商品收藏中的‘智能手表’,在拼多多中搜索商品收藏中的<搜索内容>,"[{""name"": ""search_in_favorite_goods(app, search_info_slot)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,嘿YOYO，帮我打开拼多多，搜一下‘复古风连衣裙’，然后按综合排序看看,在拼多多中搜索复古风连衣裙并综合排序,在拼多多中搜索<搜索内容>按综合排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,YOYO，在拼多多上找‘智能语音助手’，记得选综合排序,在拼多多中查找智能语音助手并选择综合排序,在拼多多中搜索<搜索内容>按综合排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
购物-搜索,拼多多,嘿YOYO，帮我打开拼多多，搜一下‘复古风连衣裙’，销量高的优先显示。,在拼多多中搜索复古风连衣裙，按销量高优先显示,在拼多多中搜索<搜索内容>按销量排序,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""xxx""}]"
