大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
购物-购物车,抖音,在抖音商城里帮我把一双李宁运动鞋加入购物车，送至北京市朝阳区建国路88号SOHO现代城3号楼2005室。,在抖音中的商城把一双送至北京市朝阳区建国路88号SOHO现代城3号楼2005室的李宁运动鞋加入购物车,在抖音的商城中将送至<地址>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音,YOYO，我想在抖音商城里搜索一款小米充电宝，并加入购物车，送到上海市浦东新区张江镇科苑路88号一号楼1503。,在抖音中的商城把送到上海市浦东新区张江镇科苑路88号一号楼1503的小米充电宝加入购物车,在抖音的商城中将送至<地址>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音,在抖音商城里把2件L码的男士卫衣加到购物车，送到朝阳区建国路88号华贸中心小区。,在抖音中的商城把2件L码的送到朝阳区建国路88号华贸中心小区的男士卫衣加入购物车,在抖音的商城中将送至<地址>的<数量><规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音,YOYO，快帮我把小米13手机6GB+128GB规格的加入购物车，数量1台，地址写清河街道安宁庄东路18号院5号楼。,在抖音中的商城把送到清河街道安宁庄东路18号院5号楼的小米13手机6GB+128GB加入购物车,在抖音的商城中将送至<地址>的<数量><规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-下单,抖音,在抖音商城里帮我下单一双运动鞋。,在抖音中的商城下单运动鞋,在抖音的商城中下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,我想在抖音极速版下单一件连衣裙。,在抖音中的商城下单连衣裙,在抖音的商城中下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,在抖音商城里帮我下单L号的白色T恤。,在抖音中的商城下单L号的白色T恤,在抖音的商城中下单<规格>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,我想在抖音极速版里下单42码的运动鞋。,在抖音中的商城下单42码的运动鞋。,在抖音的商城中下单<规格>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,在抖音商城里帮我下单2件夏季短袖。,在抖音中的商城下单2件夏季短袖,在抖音的商城中下单<数量>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,我想在抖音极速版里买3双男士袜子。,在抖音中的商城购买3双男士袜子,在抖音的商城中下单<数量>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,帮我打开抖音商城，下单一双运动鞋送到北京市朝阳区建国路88号SOHO现代城3号楼2005室。,在抖音中的商城下单一双运动鞋送至北京市朝阳区建国路88号SOHO现代城3号楼2005室,在抖音的商城中下单<搜索内容>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,抖音极速版里搜索蓝牙耳机，下单送到上海市浦东新区张江路123号华虹大厦B座5楼。,在抖音中的商城下单蓝牙耳机送至上海市浦东新区张江路123号华虹大厦B座5楼,在抖音的商城中下单<搜索内容>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,在抖音商城里用微信支付下单连衣裙。,在抖音中的商城用微信支付下单连衣裙,在抖音的商城中用<支付方式>下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,帮我用支付宝在抖音极速版里下单一双运动鞋。,在抖音中的商城用支付宝下单一双运动鞋,在抖音的商城中用<支付方式>下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,在抖音商城里下单2件L码的纯棉T恤用微信支付送到朝阳区建国路88号。,在抖音中的商城下单2件L码的纯棉T恤用微信支付送至朝阳区建国路88号,在抖音的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-下单,抖音,YoYo，我要在抖音极速版下单1双42码的运动鞋用支付宝支付送到海淀区中关村大街5号楼。,在抖音中的商城下单1双42码的运动鞋用支付宝送至海淀区中关村大街5号楼,在抖音的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
购物-收藏,抖音,帮我把抖音商城里那个无线蓝牙耳机给收藏了。,在抖音中的商城收藏无线蓝牙耳机,在抖音的商城中收藏<搜索内容>,"[{""name"": ""add_into_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中搜索商品,并将其添加到商品收藏夹中""}]"
购物-收藏,抖音,在抖音短视频里搜索运动手环，然后帮我收藏一下。,在抖音短视频中的商城收藏运动手环,在抖音的商城中收藏<搜索内容>,"[{""name"": ""add_into_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中搜索商品,并将其添加到商品收藏夹中""}]"
购物-搜索,抖音,在抖音短视频的商城直播里帮我找一下运动鞋。,在抖音短视频中的商城直播中查找运动鞋,在抖音的商城直播中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,帮我搜索一下dy商城直播里面有没有婴儿奶粉。,在dy中的商城直播中搜索婴儿奶粉,在抖音的商城直播中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音,在抖音短视频里帮我打开商城中的优衣库店铺。,在抖音短视频中打开商城中的优衣库店铺,在抖音中打开商城中的<店铺名>店铺,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音,YOYO，快去极速版抖音的商城里找一下三只松鼠这个店铺。,在抖音中搜索商城中的三只松鼠店铺,在抖音中打开商城中的<店铺名>店铺,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音,在抖音商城里的良品铺子店铺帮我找一下每日坚果。,在抖音中商城中的良品铺子内查找每日坚果,在抖音中商城中的<店铺名>店铺内搜索<搜索内容>,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音,YoYo，去抖音商城的海尔官方旗舰店里面搜索一下电风扇。,在抖音中商城中的海尔官方旗舰店内搜索电风扇,在抖音中商城中的<店铺名>店铺内搜索<搜索内容>,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音,在抖音短视频里帮我打开商城中的潮流前线店铺的女装类别。,在抖音短视频中打开商城中的潮流前线店铺的女装类别,在抖音中打开商城中的<店铺名>店铺的<类别>类别,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-打开,抖音,YOYO，快去抖音极速里面找一找“数码优选”店铺，点开他们的手机配件类别。,在抖音中查找商城中的数码优选店铺的手机配件类别,在抖音中打开商城中的<店铺名>店铺的<类别>类别,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
购物-收藏,抖音,在抖音商城里关注一下怎么肥四这家店铺。,在抖音中的商城关注怎么肥四店铺,在抖音中关注商城中的<店铺名>店铺,"[{""name"": ""add_into_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""}]"
购物-收藏,抖音,抖音极速版中怎么找到并关注怎么肥四建材店？,在抖音中的商城查找并关注怎么肥四建材店,在抖音中关注商城中的<店铺名>店铺,"[{""name"": ""add_into_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""}]"
购物-搜索,抖音,帮我打开抖音极速版，在商城特价里搜一下运动鞋。,在抖音中的商城特价搜索运动鞋,在抖音中搜索商城特价中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,抖音商城特价里能搜到防晒衣吗？,在抖音中的商城特价搜索防晒衣,在抖音中搜索商城特价中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,帮我打开抖音极速版，在商城小时达里搜一下纸巾。,在抖音中的商城小时达搜索纸巾,在抖音中搜索商城小时达中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,我想在抖音视频里找找看商城小时达有没有卖充电宝。,在抖音视频中的商城小时达搜索充电宝,在抖音中搜索商城小时达中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,在抖音短视频里搜索商城中的连衣裙筛选价格500元以下。,在抖音短视频中搜索商城中的连衣裙筛选价格500元以下,在抖音中搜索商城中的<搜索内容>筛选<筛选条件>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,帮我找找抖音极速版里的商城，搜索蓝牙耳机筛选发货地为北京。,在抖音中的商城搜索蓝牙耳机筛选发货地为北京,在抖音中搜索商城中的<搜索内容>筛选<筛选条件>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,帮我打开抖音商城里的国家补贴专区，然后搜一下电饭煲。,在抖音中打开商城的国家补贴专区并搜索电饭煲,在抖音中打开商城的国家补贴并搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,YoYo，在抖音极速版里能打开商城的国家补贴吗？帮我找找有没有卖儿童玩具的。,在抖音中打开商城的国家补贴并查找儿童玩具,在抖音中打开商城的国家补贴并搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-物流,抖音,我在抖音短视频里怎么查商城连衣裙订单的物流单号？,在抖音短视频中查看商城连衣裙订单的物流单号,在抖音中查看商城<搜索内容>订单的物流单号,"[{""name"": ""open_order_tracking_number(app, search_info_slot)"", ""description"": ""在app中查询指定订单的物流单号""}]"
购物-物流,抖音,帮我打开dy商城，查看我最近买的一双运动鞋的物流单号。,在dy中查看商城运动鞋订单的物流单号,在抖音中查看商城<搜索内容>订单的物流单号,"[{""name"": ""open_order_tracking_number(app, search_info_slot)"", ""description"": ""在app中查询指定订单的物流单号""}]"
购物-物流,抖音,在抖音短视频里帮我拨打商城手机壳订单的快递电话。,在抖音短视频中拨打商城手机壳订单的快递电话,在抖音中拨打商城<搜索内容>订单的快递电话,"[{""name"": ""call_order_courier(app, search_info_slot)"", ""description"": ""在app中拨打指定订单的快递电话""}]"
购物-物流,抖音,YOYO，帮我联系一下抖音极速版里面那个运动鞋订单的快递电话。,在抖音中联系商城运动鞋订单的快递电话,在抖音中拨打商城<搜索内容>订单的快递电话,"[{""name"": ""call_order_courier(app, search_info_slot)"", ""description"": ""在app中拨打指定订单的快递电话""}]"
购物-物流,抖音,在抖音短视频里帮我给商城下单的运动鞋订单催发货。,在抖音短视频中给商城下单的运动鞋订单催发货,在抖音中给商城<搜索内容>订单催发货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,YoYo，我在抖音下单的连衣裙订单怎么还没发货，能帮我催一下吗？,在抖音中给商城下单的连衣裙订单催发货,在抖音中给商城<搜索内容>订单催发货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,在抖音短视频里帮我给商城下单的连衣裙订单催促一下配送。,在抖音短视频中给商城下单连衣裙订单催配送,在抖音中给商城<搜索内容>订单催配送,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,YoYo，我在抖音极速版商城买的运动鞋什么时候能发货，能催下配送吗？,在抖音中给商城购买的运动鞋订单催配送,在抖音中给商城<搜索内容>订单催配送,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,请帮我给抖音商城里的运动鞋订单确认收货。,在抖音中给商城运动鞋订单确认收货,在抖音中给商城<搜索内容>订单确认收货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-物流,抖音,YoYo，我在抖音极速版中有一笔连衣裙的订单需要确认收货。,在抖音中给商城连衣裙订单确认收货,在抖音中给商城<搜索内容>订单确认收货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
购物-订单,抖音,在抖音短视频里帮我给商城里的连衣裙订单申请退货退款。,在抖音短视频中给商城连衣裙订单申请退货退款,在抖音中给商城<搜索内容>订单申请售后,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-订单,抖音,帮我联系抖音极速版商城客服，要给之前买的那双运动鞋申请换货。,在抖音中给商城运动鞋订单申请换货,在抖音中给商城<搜索内容>订单申请售后,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-订单,抖音,我在抖音短视频里给商城买手机壳的订单申请退货退款，原因是质量有问题。,在抖音短视频中给商城手机壳订单申请退货退款且原因为质量有问题,在抖音中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-订单,抖音,YoYo，帮我用“质量问题”这个原因，在dy给商城买的一件T恤申请换货。,在dy中给商城T恤订单申请换货，原因为质量问题,在抖音中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
购物-评价,抖音,我在抖音短视频里怎么评价商城买的那双运动鞋订单啊？,在抖音短视频中评价商城购买的运动鞋订单,在抖音中评价商城<搜索内容>订单,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,帮我看看抖音极速版里的商城订单，搜索内容是蓝牙耳机，我要写评价。,在抖音中评价商城蓝牙耳机订单,在抖音中评价商城<搜索内容>订单,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,YoYo，我在抖音商城买的那双运动鞋订单怎么评价啊，要给五星好评。,在抖音中评价商城运动鞋订单且星级为五星,在抖音中评价商城<搜索内容>订单且星级为<星级>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,帮我给抖音极速版里的一个订单评个三星吧，搜索内容是保温杯，星级就是三颗星。,在抖音中给商城保温杯订单评三星,在抖音中评价商城<搜索内容>订单且星级为<星级>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,我在抖音短视频里怎么评价商城买的运动鞋订单啊，评价内容要写“鞋子质量一般，不太舒服”。,在抖音短视频中评价商城运动鞋订单且评价内容为鞋子质量一般，不太舒服,在抖音中评价商城<搜索内容>订单且评价内容为<文本内容>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,帮我直接在抖音极速版里面给之前买的那件卫衣订单写个评价，内容是“颜色和图片差太多，很失望”。,在抖音中给商城卫衣订单写评价，内容为颜色和图片差太多，很失望,在抖音中评价商城<搜索内容>订单且评价内容为<文本内容>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
购物-评价,抖音,YoYo，我在抖音商城买了双运动鞋，怎么评价订单啊，还要上传图片。,在抖音中评价商城运动鞋订单并上传图片,在抖音中评价商城<搜索内容>订单并上传图片,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
