车列表,taxiSkuList,query,sysSessionId,模型1返回结果,模型2返回结果,模型2正确结果,备注,标注人,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'carModel': '曹操出行', 'price': '10.1'}, {'index': '1', 'carModel': '如祺出行', 'price': '12.0'}, {'index': '2', 'carModel': '特惠快车', 'price': '26.2'}, {'index': '3', 'carModel': '快车', 'price': '30.1'}, {'index': '4', 'carModel': '宽敞好车', 'price': '32.3'}, {'index': '5', 'carModel': '花小猪外接版', 'price': '17.0'}, {'index': '6', 'carModel': '花小猪正价版', 'price': '20.3'}, {'index': '7', 'carModel': '极速拼车', 'price': '24.0-30.0'}, {'index': '8', 'carModel': '出租车', 'price': '32.6'}, {'index': '9', 'carModel': '滴滴特快', 'price': '33.9'}, {'index': '10', 'carModel': '滴滴轻享', 'price': '34.2'}, {'index': '11', 'carModel': '专车', 'price': '45.4'}, {'index': '12', 'carModel': '六座专车', 'price': '60.7'}, {'index': '13', 'carModel': '豪华车', 'price': '120.5'}, {'index': '14', 'carModel': '六座豪华车', 'price': '251.4'}]}",打车去白石龙地铁站，选择六座专车,sessionId20250626lhx0053,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}",['12'],['12'],,陆迎,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'carModel': '花小猪外接版', 'price': '11.1'}, {'index': '1', 'carModel': '花小猪正价版', 'price': '12.3'}, {'index': '2', 'carModel': '特惠快车', 'price': '13.1'}, {'index': '3', 'carModel': '快车', 'price': '15.4'}, {'index': '4', 'carModel': '宽敞好车', 'price': '17.7'}, {'index': '5', 'carModel': '极速拼车', 'price': '13.3-15.5'}, {'index': '6', 'carModel': '曹操出行', 'price': '13.6'}, {'index': '7', 'carModel': '如祺出行', 'price': '15.7'}, {'index': '8', 'carModel': '滴滴特快', 'price': '16.7'}, {'index': '9', 'carModel': '出租车', 'price': '17.3'}, {'index': '10', 'carModel': '滴滴轻享', 'price': '19.5'}, {'index': '11', 'carModel': '专车', 'price': '28.1'}, {'index': '12', 'carModel': '六座专车', 'price': '37.3'}, {'index': '13', 'carModel': '豪华车', 'price': '87.7'}, {'index': '14', 'carModel': '六座豪华车', 'price': '203.0'}]}", 打车去白石龙地铁站，选择六座专车,sessionId20250626lhx0054,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}",['12'],['12'],,陆迎,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '13.1'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '15.4'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '17.7'}, {'index': '3', 'category': '推荐', 'carModel': '如祺出行', 'price': '15.7'}, {'index': '4', 'category': '推荐', 'carModel': '滴滴特快', 'price': '16.7'}, {'index': '5', 'category': '推荐', 'carModel': '出租车', 'price': '17.3'}, {'index': '6', 'category': '推荐', 'carModel': '滴滴专车', 'price': '28.1'}, {'index': '7', 'category': '拼车', 'carModel': '极速拼车', 'price': '13.3-15.5'}, {'index': '8', 'category': '特价', 'carModel': '花小猪外接版', 'price': '11.1'}, {'index': '9', 'category': '快速', 'carModel': '花小猪正价版', 'price': '12.3'}, {'index': '10', 'category': '快速', 'carModel': '曹操出行', 'price': '13.6'}, {'index': '11', 'category': '快速', 'carModel': '滴滴轻享', 'price': '19.5'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '87.7'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '37.3'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '203.0'}]}",打车去白石龙地铁站，选择六座专车,sessionId20250626lhx0055,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}",['13'],['13'],,陆迎,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '13.7'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '16.2'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '18.5'}, {'index': '3', 'category': '推荐', 'carModel': '如祺出行', 'price': '15.6'}, {'index': '4', 'category': '推荐', 'carModel': '滴滴特快', 'price': '17.6'}, {'index': '5', 'category': '推荐', 'carModel': '出租车', 'price': '18.1'}, {'index': '6', 'category': '推荐', 'carModel': '滴滴专车', 'price': '29.0'}, {'index': '7', 'category': '拼车', 'carModel': '极速拼车', 'price': '13.3-15.5'}, {'index': '8', 'category': '特价', 'carModel': '花小猪外接版', 'price': '11.1'}, {'index': '9', 'category': '快速', 'carModel': '花小猪正价版', 'price': '12.3'}, {'index': '10', 'category': '快速', 'carModel': '曹操出行', 'price': '13.2'}, {'index': '11', 'category': '快速', 'carModel': '滴滴轻享', 'price': '20.4'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '87.7'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '38.3'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '203.0'}]}","打车去白石龙地铁站，选择六座专车
",sessionId20250626lhx0056,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}",['13'],['13'],,陆迎,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '13.7'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '16.2'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '18.5'}, {'index': '3', 'category': '推荐', 'carModel': '如祺出行', 'price': '16.0'}, {'index': '4', 'category': '推荐', 'carModel': '滴滴特快', 'price': '17.6'}, {'index': '5', 'category': '推荐', 'carModel': '出租车', 'price': '18.1'}, {'index': '6', 'category': '推荐', 'carModel': '滴滴专车', 'price': '29.0'}, {'index': '7', 'category': '拼车', 'carModel': '极速拼车', 'price': '13.3-15.5'}, {'index': '8', 'category': '特价', 'carModel': '花小猪外接版', 'price': '11.1'}, {'index': '9', 'category': '快速', 'carModel': '花小猪正价版', 'price': '12.3'}, {'index': '10', 'category': '快速', 'carModel': '曹操出行', 'price': '12.9'}, {'index': '11', 'category': '快速', 'carModel': '滴滴轻享', 'price': '20.4'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '87.7'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '38.3'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '203.0'}]}",打车去白石龙地铁站，选择六座专车,sessionId20250626lhx0057,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}",['13'],['13'],,陆迎,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '14.2'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '16.6'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '18.9'}, {'index': '3', 'category': '推荐', 'carModel': '如祺出行', 'price': '16.0'}, {'index': '4', 'category': '推荐', 'carModel': '滴滴特快', 'price': '18.1'}, {'index': '5', 'category': '推荐', 'carModel': '出租车', 'price': '18.9'}, {'index': '6', 'category': '推荐', 'carModel': '滴滴专车', 'price': '29.5'}, {'index': '7', 'category': '拼车', 'carModel': '极速拼车', 'price': '13.3-15.5'}, {'index': '8', 'category': '特价', 'carModel': '花小猪外接版', 'price': '11.3'}, {'index': '9', 'category': '快速', 'carModel': '花小猪正价版', 'price': '12.5'}, {'index': '10', 'category': '快速', 'carModel': '曹操出行', 'price': '12.5'}, {'index': '11', 'category': '快速', 'carModel': '滴滴轻享', 'price': '23.4'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '87.7'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '38.8'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '203.0'}]}",打车去白石龙地铁站，选择六座专车,sessionId20250626lhx0058,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}",['13'],['13'],,陆迎,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '极速拼车', 'price': '14.5-24.0'}, {'index': '1', 'category': '', 'carModel': '特惠快车', 'price': '16.5-23.9'}, {'index': '2', 'category': '经济型', 'carModel': '曹操出行', 'price': '19'}, {'index': '3', 'category': '经济型', 'carModel': '900出行', 'price': '19'}, {'index': '4', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '19'}, {'index': '5', 'category': '经济型', 'carModel': '如祺出行', 'price': '19'}, {'index': '6', 'category': '经济型', 'carModel': '神州专车', 'price': '19'}, {'index': '7', 'category': '经济型', 'carModel': '全民GO', 'price': '20'}, {'index': '8', 'category': '经济型', 'carModel': '妥妥E行', 'price': '20'}, {'index': '9', 'category': '经济型', 'carModel': '中交出行', 'price': '20'}, {'index': '10', 'category': '经济型', 'carModel': '5U出行', 'price': '21'}, {'index': '11', 'category': '经济型', 'carModel': '东潮出行', 'price': '21'}, {'index': '12', 'category': '经济型', 'carModel': '及时用车', 'price': '21'}, {'index': '13', 'category': '经济型', 'carModel': '斑马快跑', 'price': '23'}, {'index': '14', 'category': '经济型', 'carModel': 'T3出行', 'price': '23'}, {'index': '15', 'category': '经济型', 'carModel': '享道出行', 'price': '24'}, {'index': '16', 'category': '经济型', 'carModel': '中军出行', 'price': '24'}, {'index': '17', 'category': '经济型', 'carModel': '首汽约车', 'price': '27'}, {'index': '18', 'category': '经济型', 'carModel': '阳光出行', 'price': '27'}, {'index': '19', 'category': '经济型', 'carModel': '聚的新出租', 'price': '30'}, {'index': '20', 'category': '经济型', 'carModel': '深圳出租', 'price': '30'}, {'index': '21', 'category': '特快车', 'carModel': 'undefined', 'price': '29'}, {'index': '22', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '23', 'category': '优享型', 'carModel': '享道出行', 'price': '21'}, {'index': '24', 'category': '优享型', 'carModel': '曹操出行', 'price': '22'}, {'index': '25', 'category': '优享型', 'carModel': '东潮出行', 'price': '23'}, {'index': '26', 'category': '优享型', 'carModel': '神州专车', 'price': '23'}, {'index': '27', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '24'}, {'index': '28', 'category': '优享型', 'carModel': '中交出行', 'price': '24'}, {'index': '29', 'category': '优享型', 'carModel': '妥妥E行', 'price': '24'}, {'index': '30', 'category': '优享型', 'carModel': '全民GO', 'price': '25'}, {'index': '31', 'category': '优享型', 'carModel': 'T3出行', 'price': '25'}, {'index': '32', 'category': '优享型', 'carModel': '及时用车', 'price': '25'}, {'index': '33', 'category': '优享型', 'carModel': '斑马快跑', 'price': '26'}, {'index': '34', 'category': '优享型', 'carModel': '首汽约车', 'price': '27'}, {'index': '35', 'category': '轻享专车', 'carModel': 'undefined', 'price': '28-39'}, {'index': '36', 'category': '六座商务', 'carModel': 'undefined', 'price': '50-60'}, {'index': '37', 'category': '豪华型', 'carModel': 'undefined', 'price': '55-63'}]}",打车去深圳北站，选择10元以内的车,sessionId20250626lhx0059,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,陆迎,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '极速拼车', 'price': '14.7-24.0'}, {'index': '1', 'category': '', 'carModel': '特惠快车', 'price': '16.5-23.9'}, {'index': '2', 'category': '经济型', 'carModel': '曹操出行', 'price': '19'}, {'index': '3', 'category': '经济型', 'carModel': '900出行', 'price': '19'}, {'index': '4', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '19'}, {'index': '5', 'category': '经济型', 'carModel': '如祺出行', 'price': '19'}, {'index': '6', 'category': '经济型', 'carModel': '神州专车', 'price': '20'}, {'index': '7', 'category': '经济型', 'carModel': '全民GO', 'price': '20'}, {'index': '8', 'category': '经济型', 'carModel': '中交出行', 'price': '21'}, {'index': '9', 'category': '经济型', 'carModel': '妥妥E行', 'price': '21'}, {'index': '10', 'category': '经济型', 'carModel': '5U出行', 'price': '21'}, {'index': '11', 'category': '经济型', 'carModel': '及时用车', 'price': '21'}, {'index': '12', 'category': '经济型', 'carModel': '斑马快跑', 'price': '23'}, {'index': '13', 'category': '经济型', 'carModel': 'T3出行', 'price': '23'}, {'index': '14', 'category': '经济型', 'carModel': '享道出行', 'price': '24'}, {'index': '15', 'category': '经济型', 'carModel': '中军出行', 'price': '24'}, {'index': '16', 'category': '经济型', 'carModel': '阳光出行', 'price': '27'}, {'index': '17', 'category': '经济型', 'carModel': '首汽约车', 'price': '28'}, {'index': '18', 'category': '经济型', 'carModel': '聚的新出租', 'price': '30'}, {'index': '19', 'category': '经济型', 'carModel': '深圳出租', 'price': '30'}, {'index': '20', 'category': '特快车', 'carModel': 'undefined', 'price': '29'}, {'index': '21', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '22', 'category': '优享型', 'carModel': '享道出行', 'price': '21'}, {'index': '23', 'category': '优享型', 'carModel': '曹操出行', 'price': '22'}, {'index': '24', 'category': '优享型', 'carModel': '东潮出行', 'price': '24'}, {'index': '25', 'category': '优享型', 'carModel': '神州专车', 'price': '24'}, {'index': '26', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '24'}, {'index': '27', 'category': '优享型', 'carModel': '中交出行', 'price': '24'}, {'index': '28', 'category': '优享型', 'carModel': '妥妥E行', 'price': '25'}, {'index': '29', 'category': '优享型', 'carModel': 'T3出行', 'price': '25'}, {'index': '30', 'category': '优享型', 'carModel': '全民GO', 'price': '25'}, {'index': '31', 'category': '优享型', 'carModel': '及时用车', 'price': '26'}, {'index': '32', 'category': '优享型', 'carModel': '斑马快跑', 'price': '26'}, {'index': '33', 'category': '优享型', 'carModel': '首汽约车', 'price': '28'}, {'index': '34', 'category': '轻享专车', 'carModel': 'undefined', 'price': '28-39'}, {'index': '35', 'category': '六座商务', 'carModel': 'undefined', 'price': '51-60'}, {'index': '36', 'category': '豪华型', 'carModel': 'undefined', 'price': '56-64'}]}",打车去深圳北站，选择10元以内的车,sessionId20250626lhx0060,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,陆迎,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '经济型', 'carModel': 'T3出行', 'price': '222'}, {'index': '1', 'category': '经济型', 'carModel': '斑马快跑', 'price': '251'}, {'index': '2', 'category': '经济型', 'carModel': '及时用车', 'price': '258'}, {'index': '3', 'category': '经济型', 'carModel': '东潮出行', 'price': '264'}, {'index': '4', 'category': '经济型', 'carModel': '全民GO', 'price': '268'}, {'index': '5', 'category': '经济型', 'carModel': '如祺出行', 'price': '274'}, {'index': '6', 'category': '经济型', 'carModel': '阳光出行', 'price': '277'}, {'index': '7', 'category': '经济型', 'carModel': '中交出行', 'price': '281'}, {'index': '8', 'category': '经济型', 'carModel': '享道出行', 'price': '283'}, {'index': '9', 'category': '经济型', 'carModel': '5U出行', 'price': '297'}, {'index': '10', 'category': '经济型', 'carModel': '中军出行', 'price': '346'}, {'index': '11', 'category': '经济型', 'carModel': '聚的新出租', 'price': '492'}, {'index': '12', 'category': '经济型', 'carModel': '深圳出租', 'price': '492'}, {'index': '13', 'category': '特快车', 'carModel': 'undefined', 'price': '432'}, {'index': '14', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '15', 'category': '优享型', 'carModel': '阳光出行', 'price': '344'}, {'index': '16', 'category': '优享型', 'carModel': '中交出行', 'price': '344'}, {'index': '17', 'category': '优享型', 'carModel': '东潮出行', 'price': '352'}, {'index': '18', 'category': '优享型', 'carModel': '斑马快跑', 'price': '353'}, {'index': '19', 'category': '优享型', 'carModel': 'T3出行', 'price': '359'}, {'index': '20', 'category': '优享型', 'carModel': '曹操出行', 'price': '360'}, {'index': '21', 'category': '优享型', 'carModel': '全民GO', 'price': '372'}, {'index': '22', 'category': '优享型', 'carModel': '及时用车', 'price': '387'}, {'index': '23', 'category': '轻享专车', 'carModel': 'undefined', 'price': '432-548'}, {'index': '24', 'category': '六座商务', 'carModel': 'undefined', 'price': '742-817'}, {'index': '25', 'category': '豪华型', 'carModel': 'undefined', 'price': '748-877'}]}",打车去广州南站，选10元内的车型,sessionId20250626lhx0061,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,杨丽丽,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '经济型', 'carModel': 'T3出行', 'price': '223'}, {'index': '1', 'category': '经济型', 'carModel': '斑马快跑', 'price': '252'}, {'index': '2', 'category': '经济型', 'carModel': '及时用车', 'price': '259'}, {'index': '3', 'category': '经济型', 'carModel': '东潮出行', 'price': '265'}, {'index': '4', 'category': '经济型', 'carModel': '阳光出行', 'price': '279'}, {'index': '5', 'category': '经济型', 'carModel': '全民GO', 'price': '279'}, {'index': '6', 'category': '经济型', 'carModel': '中交出行', 'price': '281'}, {'index': '7', 'category': '经济型', 'carModel': '如祺出行', 'price': '282'}, {'index': '8', 'category': '经济型', 'carModel': '享道出行', 'price': '284'}, {'index': '9', 'category': '经济型', 'carModel': '5U出行', 'price': '297'}, {'index': '10', 'category': '经济型', 'carModel': '中军出行', 'price': '346'}, {'index': '11', 'category': '经济型', 'carModel': '聚的新出租', 'price': '492'}, {'index': '12', 'category': '经济型', 'carModel': '深圳出租', 'price': '492'}, {'index': '13', 'category': '特快车', 'carModel': 'undefined', 'price': '433'}, {'index': '14', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '15', 'category': '惠享专车', 'carModel': 'undefined', 'price': '470-539'}, {'index': '16', 'category': '优享型', 'carModel': '阳光出行', 'price': '344'}, {'index': '17', 'category': '优享型', 'carModel': '中交出行', 'price': '344'}, {'index': '18', 'category': '优享型', 'carModel': '东潮出行', 'price': '353'}, {'index': '19', 'category': '优享型', 'carModel': '曹操出行', 'price': '353'}, {'index': '20', 'category': '优享型', 'carModel': '斑马快跑', 'price': '354'}, {'index': '21', 'category': '优享型', 'carModel': 'T3出行', 'price': '360'}, {'index': '22', 'category': '优享型', 'carModel': '全民GO', 'price': '372'}, {'index': '23', 'category': '优享型', 'carModel': '及时用车', 'price': '387'}, {'index': '24', 'category': '轻享专车', 'carModel': 'undefined', 'price': '432-491'}, {'index': '25', 'category': '六座商务', 'carModel': 'undefined', 'price': '744-819'}, {'index': '26', 'category': '豪华型', 'carModel': 'undefined', 'price': '750-879'}]}",打车去广州南站，选10元内的车型,sessionId20250626lhx0062,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,杨丽丽,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '经济型', 'carModel': 'T3出行', 'price': '223'}, {'index': '1', 'category': '经济型', 'carModel': '斑马快跑', 'price': '253'}, {'index': '2', 'category': '经济型', 'carModel': '及时用车', 'price': '259'}, {'index': '3', 'category': '经济型', 'carModel': '阳光出行', 'price': '264'}, {'index': '4', 'category': '经济型', 'carModel': '东潮出行', 'price': '265'}, {'index': '5', 'category': '经济型', 'carModel': '全民GO', 'price': '279'}, {'index': '6', 'category': '经济型', 'carModel': '中交出行', 'price': '281'}, {'index': '7', 'category': '经济型', 'carModel': '如祺出行', 'price': '282'}, {'index': '8', 'category': '经济型', 'carModel': '5U出行', 'price': '297'}, {'index': '9', 'category': '经济型', 'carModel': '中军出行', 'price': '346'}, {'index': '10', 'category': '经济型', 'carModel': '聚的新出租', 'price': '493'}, {'index': '11', 'category': '经济型', 'carModel': '深圳出租', 'price': '493'}, {'index': '12', 'category': '特快车', 'carModel': 'undefined', 'price': '433'}, {'index': '13', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '14', 'category': '惠享专车', 'carModel': 'undefined', 'price': '471-539'}, {'index': '15', 'category': '优享型', 'carModel': '阳光出行', 'price': '345'}, {'index': '16', 'category': '优享型', 'carModel': '中交出行', 'price': '345'}, {'index': '17', 'category': '优享型', 'carModel': '曹操出行', 'price': '352'}, {'index': '18', 'category': '优享型', 'carModel': '东潮出行', 'price': '353'}, {'index': '19', 'category': '优享型', 'carModel': '斑马快跑', 'price': '354'}, {'index': '20', 'category': '优享型', 'carModel': 'T3出行', 'price': '360'}, {'index': '21', 'category': '优享型', 'carModel': '全民GO', 'price': '373'}, {'index': '22', 'category': '优享型', 'carModel': '及时用车', 'price': '388'}, {'index': '23', 'category': '轻享专车', 'carModel': 'undefined', 'price': '433-491'}, {'index': '24', 'category': '六座商务', 'carModel': 'undefined', 'price': '744-819'}, {'index': '25', 'category': '豪华型', 'carModel': 'undefined', 'price': '750-880'}]}",打车去广州南站，选10元内的车型,sessionId20250626lhx0063,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,杨丽丽,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '经济型', 'carModel': 'T3出行', 'price': '224'}, {'index': '1', 'category': '经济型', 'carModel': '斑马快跑', 'price': '253'}, {'index': '2', 'category': '经济型', 'carModel': '及时用车', 'price': '258'}, {'index': '3', 'category': '经济型', 'carModel': '东潮出行', 'price': '264'}, {'index': '4', 'category': '经济型', 'carModel': '全民GO', 'price': '278'}, {'index': '5', 'category': '经济型', 'carModel': '中交出行', 'price': '280'}, {'index': '6', 'category': '经济型', 'carModel': '如祺出行', 'price': '281'}, {'index': '7', 'category': '经济型', 'carModel': '5U出行', 'price': '293'}, {'index': '8', 'category': '经济型', 'carModel': '中军出行', 'price': '344'}, {'index': '9', 'category': '经济型', 'carModel': '聚的新出租', 'price': '491'}, {'index': '10', 'category': '经济型', 'carModel': '深圳出租', 'price': '491'}, {'index': '11', 'category': '特快车', 'carModel': 'undefined', 'price': '431'}, {'index': '12', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '13', 'category': '惠享专车', 'carModel': 'undefined', 'price': '468-537'}, {'index': '14', 'category': '优享型', 'carModel': '中交出行', 'price': '343'}, {'index': '15', 'category': '优享型', 'carModel': '东潮出行', 'price': '351'}, {'index': '16', 'category': '优享型', 'carModel': '斑马快跑', 'price': '352'}, {'index': '17', 'category': '优享型', 'carModel': '曹操出行', 'price': '353'}, {'index': '18', 'category': '优享型', 'carModel': 'T3出行', 'price': '358'}, {'index': '19', 'category': '优享型', 'carModel': '全民GO', 'price': '371'}, {'index': '20', 'category': '优享型', 'carModel': '及时用车', 'price': '386'}, {'index': '21', 'category': '轻享专车', 'carModel': 'undefined', 'price': '431-490'}, {'index': '22', 'category': '六座商务', 'carModel': 'undefined', 'price': '770-816'}, {'index': '23', 'category': '豪华型', 'carModel': 'undefined', 'price': '868-875'}]}",打车去广州南站，选10元内的车型,sessionId20250626lhx0064,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,杨丽丽,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '经济型', 'carModel': 'T3出行', 'price': '231'}, {'index': '1', 'category': '经济型', 'carModel': '斑马快跑', 'price': '256'}, {'index': '2', 'category': '经济型', 'carModel': '东潮出行', 'price': '279'}, {'index': '3', 'category': '经济型', 'carModel': '全民GO', 'price': '279'}, {'index': '4', 'category': '经济型', 'carModel': '中交出行', 'price': '282'}, {'index': '5', 'category': '经济型', 'carModel': '及时用车', 'price': '288'}, {'index': '6', 'category': '经济型', 'carModel': '5U出行', 'price': '295'}, {'index': '7', 'category': '经济型', 'carModel': '中军出行', 'price': '346'}, {'index': '8', 'category': '经济型', 'carModel': '聚的新出租', 'price': '491'}, {'index': '9', 'category': '经济型', 'carModel': '深圳出租', 'price': '491'}, {'index': '10', 'category': '特快车', 'carModel': 'undefined', 'price': '432'}, {'index': '11', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '12', 'category': '优享型', 'carModel': '中交出行', 'price': '345'}, {'index': '13', 'category': '优享型', 'carModel': '东潮出行', 'price': '354'}, {'index': '14', 'category': '优享型', 'carModel': 'T3出行', 'price': '361'}, {'index': '15', 'category': '优享型', 'carModel': '曹操出行', 'price': '365'}, {'index': '16', 'category': '优享型', 'carModel': '全民GO', 'price': '373'}, {'index': '17', 'category': '优享型', 'carModel': '及时用车', 'price': '389'}, {'index': '18', 'category': '轻享专车', 'carModel': 'undefined', 'price': '434-550'}, {'index': '19', 'category': '六座商务', 'carModel': 'undefined', 'price': '776-822'}, {'index': '20', 'category': '豪华型', 'carModel': 'undefined', 'price': '875-882'}]}",打车去广州南站，选10元内的车型,sessionId20250626lhx0065,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,杨丽丽,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '经济型', 'carModel': '北京的士', 'price': '9879'}, {'index': '1', 'category': '经济型', 'carModel': '旗妙出行', 'price': '9893'}, {'index': '2', 'category': '经济型', 'carModel': '星徽出行', 'price': '10004'}, {'index': '3', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '10010'}, {'index': '4', 'category': '经济型', 'carModel': 'AA出行', 'price': '10061'}, {'index': '5', 'category': '经济型', 'carModel': '火箭出行', 'price': '10618'}, {'index': '6', 'category': '经济型', 'carModel': '首汽约车', 'price': '12695'}, {'index': '7', 'category': '特快车', 'carModel': 'undefined', 'price': '10516'}, {'index': '8', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '9', 'category': '优享型', 'carModel': '旗妙出行', 'price': '12907'}, {'index': '10', 'category': '优享型', 'carModel': '星徽出行', 'price': '12952'}, {'index': '11', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '12992'}, {'index': '12', 'category': '优享型', 'carModel': '首汽约车', 'price': '13024'}, {'index': '13', 'category': '优享型', 'carModel': '火箭出行', 'price': '13149'}, {'index': '14', 'category': '优享型', 'carModel': 'AA出行', 'price': '13433'}, {'index': '15', 'category': '优享型', 'carModel': '阳光出行', 'price': '15550'}, {'index': '16', 'category': '品质专车', 'carModel': 'undefined', 'price': '15351-16028'}, {'index': '17', 'category': '六座商务', 'carModel': 'undefined', 'price': '20512-26629'}, {'index': '18', 'category': '豪华型', 'carModel': 'undefined', 'price': '26012-31556'}]}",打车去福田CBD，选30元以内的车型,sessionId20250626lhx0066,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,杨丽丽,,,,,,,,,,,
